"MATINH","MAXA","MADIABAN","weight_final_rice","panel","weight_rice_DNA","weight_cass","weight_gift","weight_coffee"
"01","00379","009",1224.5229204804,2022,NA,NA,NA,NA
"01","00400","011",2860.18611773414,2022,NA,NA,NA,NA
"01","00415","003",989.081425190113,2022,NA,NA,NA,NA
"01","00433","007",2022.79269291344,2022,NA,NA,NA,NA
"01","00460","011",1201.40792292377,2022,NA,NA,NA,NA
"01","00484","026",1587.05260688237,2022,NA,NA,NA,NA
"01","00499","025",1234.86347151636,2022,NA,NA,NA,NA
"01","00508","034",1810.19898465379,2022,NA,NA,NA,NA
"01","00529","008",847.029336545053,2022,NA,NA,NA,NA
"01","00553","021",2759.29895930636,2022,NA,NA,NA,NA
"01","00568","006",3241.0445288789,2022,NA,NA,NA,NA
"02","00706","007",379.307381929369,2022,NA,NA,NA,NA
"02","00709","001",341.786766507385,2022,NA,NA,NA,NA
"02","00712","003",95.0159761176627,2022,NA,NA,NA,NA
"02","00724","002",237.911726285688,2022,NA,NA,NA,NA
"02","00820","021",817.148139604387,2022,NA,NA,NA,NA
"02","00844","012",395.146742078265,2022,NA,NA,NA,NA
"02","00847","007",584.914192603391,2022,NA,NA,NA,NA
"02","00859","018",345.976580875209,2022,NA,NA,NA,NA
"02","00898","003",281.917328053669,2022,NA,NA,NA,NA
"02","00925","009",345.772247272386,2022,9116.68447199795,NA,NA,NA
"02","00979","012",312.142645007707,2022,NA,NA,NA,NA
"02","00982","010",359.742175367543,2022,NA,NA,NA,NA
"02","00985","007",357.909897192424,2022,NA,NA,NA,NA
"02","01006","007",475.447284953401,2022,NA,NA,NA,NA
"02","01069","001",341.063673693265,2022,NA,NA,NA,NA
"02","01081","003",333.140809809997,2022,NA,NA,NA,NA
"02","01099","008",371.347025226878,2022,NA,NA,NA,NA
"02","01102","006",123.971448154867,2022,NA,NA,NA,NA
"02","01126","003",338.750235244081,2022,NA,NA,NA,NA
"02","01186","011",428.180057948132,2022,7827.35999772596,NA,NA,NA
"02","01189","008",346.829046603716,2022,NA,NA,NA,NA
"02","01195","001",334.440012935885,2022,NA,NA,NA,NA
"02","01198","005",361.446818073272,2022,NA,NA,NA,NA
"02","01246","006",366.137776422538,2022,NA,NA,NA,NA
"02","01264","007",331.47478086751,2022,NA,NA,NA,NA
"04","01267","005",187.623153929935,2022,NA,NA,NA,NA
"04","01270","016",257.97979130706,2022,NA,NA,NA,NA
"04","01282","010",760.759026744407,2022,NA,NA,NA,NA
"04","01285","008",768.660607240917,2022,NA,NA,NA,NA
"04","01297","005",213.352042846088,2022,NA,NA,NA,NA
"04","01316","003",234.521621609287,2022,NA,NA,NA,NA
"04","01318","003",248.13979438375,2022,NA,NA,NA,NA
"04","01321","011",78.4009166627063,2022,NA,NA,NA,NA
"04","01336","001",2356.08448357205,2022,NA,NA,NA,NA
"04","01387","001",390.127845533877,2022,NA,NA,NA,NA
"04","01393","002",214.212326963341,2022,NA,NA,NA,NA
"04","01399","002",232.516704173876,2022,NA,NA,NA,NA
"04","01477","006",130.121018718532,2022,NA,NA,NA,NA
"04","01481","001",237.862716846305,2022,NA,NA,NA,NA
"04","01498","004",243.61854590109,2022,NA,NA,NA,NA
"04","01501","006",229.36419744286,2022,NA,NA,NA,NA
"04","01522","005",281.101406373441,2022,NA,NA,NA,NA
"04","01573","004",230.211412533622,2022,NA,NA,NA,NA
"04","01594","002",526.626282894617,2022,13885.1099059701,NA,NA,NA
"04","01603","004",259.244116313088,2022,5468.21632630691,NA,NA,NA
"04","01609","001",232.077379369835,2022,NA,NA,NA,NA
"04","01648","010",218.479209705945,2022,NA,NA,NA,NA
"04","01657","009",128.805818753012,2022,NA,NA,NA,NA
"04","01666","003",256.651146853723,2022,NA,NA,NA,NA
"04","01675","003",161.376589761184,2022,NA,NA,NA,NA
"04","01687","007",242.528739599134,2022,NA,NA,NA,NA
"04","01705","013",335.054473075529,2022,NA,NA,NA,NA
"04","01720","005",215.469697138337,2022,NA,NA,NA,NA
"04","01726","001",143.452822756892,2022,NA,NA,NA,NA
"04","01756","006",238.185263905532,2022,NA,NA,NA,NA
"04","01768","004",216.336260363504,2022,NA,NA,NA,NA
"04","01792","007",278.596816089047,2022,NA,NA,NA,NA
"04","01807","001",245.681745935639,2022,NA,NA,NA,NA
"06","01837","012",80.2035057190738,2022,NA,NA,NA,NA
"06","01852","008",171.863736106424,2022,NA,NA,NA,NA
"06","01858","004",149.543632003934,2022,NA,NA,NA,NA
"06","01864","002",83.568497488964,2022,NA,NA,NA,NA
"06","01870","006",172.96149610934,2022,3161.828465998,NA,NA,NA
"06","01879","001",176.170905733878,2022,NA,NA,NA,NA
"06","01882","013",176.409618734001,2022,NA,NA,NA,NA
"06","01912","007",131.940056033277,2022,2411.9346464699,NA,NA,NA
"06","01912","009",123.327129007453,2022,NA,NA,NA,NA
"06","01924","008",202.765551080762,2022,NA,NA,NA,NA
"06","01933","010",150.720331639705,2022,NA,NA,NA,NA
"06","01936","018",168.552159783226,2022,NA,NA,NA,NA
"06","01960","001",150.251096417737,2022,NA,NA,NA,NA
"06","01975","003",144.839331350743,2022,NA,NA,NA,NA
"06","01978","002",138.970267152291,2022,NA,NA,NA,NA
"06","02020","012",276.784615982816,2022,NA,NA,NA,NA
"06","02023","003",138.385966915502,2022,NA,NA,NA,NA
"06","02035","003",181.07281385718,2022,NA,NA,NA,NA
"06","02050","006",140.462039239867,2022,NA,NA,NA,NA
"06","02059","003",161.407916451946,2022,NA,NA,NA,NA
"06","02071","004",183.107841726542,2022,NA,NA,NA,NA
"06","02077","004",140.891515085272,2022,NA,NA,NA,NA
"06","02092","003",244.18807450295,2022,NA,NA,NA,NA
"06","02113","003",159.933551651129,2022,NA,NA,NA,NA
"06","02116","004",124.071064178992,2022,NA,NA,NA,NA
"06","02125","001",143.733135699093,2022,3537.04405013576,NA,NA,NA
"06","02131","008",221.069939410338,2022,NA,NA,NA,NA
