"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","water_source","other_source","laser","pipe","STT","stage","n_day","reason","sink_feet","count","n_drydown"
"1",1,16,400,11,6,400011006,1,1,NA,99,NA,0,3,8,6,99,2,2
"2",1,16,400,11,6,400011006,1,1,NA,99,NA,1,7,9,6,99,2,2
"3",1,16,400,11,8,400011008,1,1,NA,99,NA,0,4,8,6,99,2,2
"4",1,16,400,11,8,400011008,1,1,NA,99,NA,1,6,10,6,99,2,2
"5",1,16,400,11,12,400011012,1,1,NA,99,NA,0,17,7,1,1,1,1
"6",1,16,415,3,3,415003003,1,1,NA,99,NA,0,17,10,1,1,1,1
"7",1,16,415,3,5,415003005,1,4,NA,99,2,0,4,10,6,99,2,2
"8",1,16,415,3,5,415003005,1,4,NA,99,2,1,6,15,6,99,2,2
"9",1,16,415,3,6,415003006,1,1,NA,99,NA,0,7,10,6,99,2,2
"10",1,16,415,3,6,415003006,1,1,NA,99,NA,1,6,12,6,99,2,2
"11",1,16,415,3,7,415003007,1,1,NA,99,NA,0,4,10,6,99,2,2
"12",1,16,415,3,7,415003007,1,1,NA,99,NA,1,6,12,6,99,2,2
"13",1,16,415,3,9,415003009,1,1,NA,99,NA,0,16,7,1,1,1,1
"14",1,16,415,3,14,415003014,1,1,NA,99,NA,0,2,10,6,99,2,2
"15",1,16,415,3,14,415003014,1,1,NA,99,NA,1,5,12,6,99,2,2
"16",1,16,415,3,15,415003015,1,1,NA,99,NA,0,17,7,1,1,1,1
"17",1,16,415,3,17,415003017,1,1,NA,99,NA,0,17,7,1,1,1,1
"18",2,27,811,7,3,811007003,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"19",2,27,811,7,4,811007004,1,4,NA,2,2,0,6,8,6,10,1,1
"20",2,27,811,7,5,811007005,1,3,NA,99,2,NA,NA,NA,NA,NA,1,0
"21",2,27,811,7,7,811007007,1,3,NA,2,2,NA,NA,NA,NA,NA,1,0
"22",2,27,811,7,10,811007010,1,3,NA,99,2,NA,NA,NA,NA,NA,1,0
"23",2,27,811,7,11,811007011,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"24",2,27,811,7,12,811007012,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"25",2,27,811,7,13,811007013,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"26",2,27,811,7,14,811007014,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"27",2,27,811,7,15,811007015,1,3,NA,99,2,NA,NA,NA,NA,NA,1,0
"28",2,27,811,7,16,811007016,1,3,NA,99,2,NA,NA,NA,NA,NA,1,0
"29",2,31,1006,7,1,1006007001,1,5,"nguồn",2,NA,0,4,2,6,3,2,2
"30",2,31,1006,7,1,1006007001,1,5,"nguồn",2,NA,1,3,0,99,99,2,2
"31",2,31,1006,7,2,1006007002,1,5,"nước nguồn",2,NA,0,1,2,6,99,1,1
"32",2,31,1006,7,3,1006007003,1,5,"nguồn",99,NA,0,2,1,99,1,1,1
"33",2,31,1006,7,4,1006007004,1,5,"nước nguồn",2,NA,0,2,1,6,1,1,1
"34",2,31,1006,7,5,1006007005,1,5,"nguồn",99,NA,0,4,2,6,2,1,1
"35",2,31,1006,7,6,1006007006,1,5,"nước nguồn",99,NA,0,2,2,99,3,1,1
"36",2,31,1006,7,8,1006007008,1,5,"nước nguồn",2,NA,0,4,1,6,2,1,1
"37",2,31,1006,7,9,1006007009,1,5,"nước nguồn",99,NA,0,2,1,6,1,1,1
"38",2,31,1006,7,11,1006007011,1,5,"nguồn",99,NA,0,4,2,99,2,1,1
"39",2,31,1006,7,12,1006007012,1,5,"nguồn",99,NA,0,3,1,6,2,1,1
"40",2,31,1006,7,13,1006007013,1,5,"nguồn",99,NA,0,3,1,6,2,1,1
"41",2,31,1006,7,15,1006007015,1,5,"nước nguồn",2,NA,0,3,2,6,2,2,2
"42",2,31,1006,7,15,1006007015,1,5,"nước nguồn",2,NA,1,7,1,6,3,2,2
"43",2,32,1057,1,1,1057001001,1,5,"nước khe",99,NA,NA,NA,NA,NA,NA,1,0
