"","MATINH","MAHUYEN","MAXA","MADIABAN","IDHO","KYDIEUTRA","store_method","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","timing","moisture","dry_method","n_app_drug","n_app_insect_fungi","n_insecticide","n_fungicide","n_app_fert","sum_fert","water_source","pipe","n_drydown","ws_method","ws_area_unit","ws_rate_ha","certified","rice_name","Province_name","Region","HOSO","DANTOCCHUHO","THUNHAP","TONGCHITIEU","M8_C1","dummy_1m","dummy_1r","dummy_1m1r","dummy_2r_fert","dummy_2r_n_app","dummy_1m2r","dummy_3r_n_app","dummy_3r_insect_1app","dummy_3r_fungi_2app","dummy_3r_insect_final","dummy_3r_fungi_final","dummy_1m3r","dummy_4r","dummy_1m4r","dummy_5r","dummy_1m5r"
"1",1,16,400,11,400011006,1,3,1,0,0,0,2,1,3,2,2,2,1,2,61.11,1,NA,2,4,"Sao Bac Bo (360m2)",50,1,"Khang Dân","Thanh pho Ha Noi","1_RRD","6",1,273420,NA,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"2",1,16,400,11,400011008,1,3,1,0,0,0,2,1,3,2,2,2,0,2,66.67,1,NA,2,4,"Sao Bac Bo (360m2)",50,1,"Thơm","Thanh pho Ha Noi","1_RRD","8",1,62495,NA,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"3",1,16,400,11,400011012,1,3,1,0,0,0,3,1,2,3,2,2,0,3,33.33,1,NA,1,5,"Sao Bac Bo (360m2)",55.5555555555556,1,"TBR225","Thanh pho Ha Noi","1_RRD","12",1,57717,NA,3,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
"4",1,16,415,3,415003003,1,3,1,0,0,0,3,1,2,3,2,1,2,3,33.33,1,NA,1,5,"Sao Bac Bo (360m2)",50,1,"TBR225","Thanh pho Ha Noi","1_RRD","3",1,186409,NA,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"5",1,16,415,3,415003005,1,3,1,0,0,0,2,1,2,2,2,2,0,2,18.06,4,2,2,4,"Sao Bac Bo (360m2)",55.5555555555556,1,"thơm","Thanh pho Ha Noi","1_RRD","5",1,29378,NA,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"6",1,16,415,3,415003006,1,3,1,0,0,0,2,1,2,2,2,2,0,2,0,1,NA,2,4,"Sao Bac Bo (360m2)",41.6666666666667,1,"TBR225","Thanh pho Ha Noi","1_RRD","6",1,243540,NA,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"7",1,16,415,3,415003007,1,3,1,0,0,0,2,1,2,2,2,2,0,2,0,1,NA,2,4,"Sao Bac Bo (360m2)",41.6666666666667,1,"Thơm","Thanh pho Ha Noi","1_RRD","7",1,148320,NA,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"8",1,16,415,3,415003009,1,3,1,0,0,0,3,1,2,3,2,2,2,3,26.66,1,NA,1,4,"Sao Bac Bo (360m2)",55.5555555555556,1,"TBR225","Thanh pho Ha Noi","1_RRD","9",1,273962,NA,3,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
"9",1,16,415,3,415003014,1,3,1,0,0,0,2,1,3,2,2,2,1,2,26.67,1,NA,2,4,"Sao Bac Bo (360m2)",41.6666666666667,1,"Thơm","Thanh pho Ha Noi","1_RRD","14",1,155998,195811.5,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"10",1,16,415,3,415003015,1,2,1,0,0,0,3,1,2,3,2,2,0,3,27.78,1,NA,1,4,"Sao Bac Bo (360m2)",50,1,"TBR225","Thanh pho Ha Noi","1_RRD","15",1,367485,118186,3,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
"11",1,16,415,3,415003017,1,3,1,0,0,0,3,1,2,3,2,2,0,3,44.44,1,NA,1,4,"Sao Bac Bo (360m2)",50,1,"HT01","Thanh pho Ha Noi","1_RRD","17",1,809027,NA,3,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
"12",2,27,811,7,811007003,1,2,0,0,1,0,3,2,2,1,1,1,0,1,230000,4,2,0,5,"Sao Bac Bo (360m2)",111.111111111111,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"13",2,27,811,7,811007004,1,2,0,0,1,0,3,2,3,1,1,1,0,1,92000,4,2,1,99,"Sao Bac Bo (360m2)",111.111111111111,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"14",2,27,811,7,811007005,1,2,0,0,1,0,3,1,3,0,0,0,0,1,0,3,2,0,1,"Sao Bac Bo (360m2)",111.111111111111,99,"nghi hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"15",2,27,811,7,811007011,1,2,0,0,1,0,3,2,2,1,1,1,0,1,460000,4,2,0,5,"Sao Bac Bo (360m2)",277.777777777778,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"16",2,27,811,7,811007012,1,2,0,0,1,0,3,2,2,1,1,1,0,1,584200,4,2,0,5,"Sao Bac Bo (360m2)",166.666666666667,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"17",2,31,1006,7,1006007001,1,2,0,0,1,0,2,1,3,1,0,1,0,1,27.78,5,NA,2,5,"Sao Bac Bo (360m2)",55.5555555555556,99,"bao thai","Tinh Ha Giang","2_NMMA","1",8,44063,NA,3,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
"18",2,31,1006,7,1006007002,1,2,0,0,1,0,3,1,3,2,2,2,0,2,41400,5,NA,1,99,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","2",8,114961,NA,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"19",2,31,1006,7,1006007003,1,2,0,0,1,0,3,1,3,1,1,1,0,1,9200,5,NA,1,5,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","3",8,38872,NA,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"20",2,31,1006,7,1006007004,1,2,0,0,1,0,3,1,3,2,2,2,0,1,13800,5,NA,1,5,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","4",8,47374,NA,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"21",2,31,1006,7,1006007005,1,2,0,0,1,0,3,1,3,2,2,2,0,1,36800,5,NA,1,4,"Sao Bac Bo (360m2)",138.888888888889,99,"lúa thuần","Tinh Ha Giang","2_NMMA","5",8,46391,NA,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"22",2,31,1006,7,1006007006,1,2,0,0,1,0,3,1,3,1,1,1,0,1,23000,5,NA,1,4,"Sao Bac Bo (360m2)",138.888888888889,2,"lúa thuần","Tinh Ha Giang","2_NMMA","6",8,106126,NA,6,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"23",2,31,1006,7,1006007008,1,2,0,0,1,0,3,1,3,1,1,1,0,2,59800,5,NA,1,99,"Sao Bac Bo (360m2)",138.888888888889,99,"lúa thuần","Tinh Ha Giang","2_NMMA","8",8,51551,0,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"24",2,31,1006,7,1006007009,1,2,0,0,1,0,3,1,3,1,1,1,0,1,13800,5,NA,1,5,"Sao Bac Bo (360m2)",222.222222222222,3,"lúa thuần","Tinh Ha Giang","2_NMMA","9",8,107820,NA,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"25",2,31,1006,7,1006007011,1,2,0,0,1,0,3,1,3,1,1,1,0,1,13800,5,NA,1,5,"Sao Bac Bo (360m2)",166.666666666667,3,"lúa thuần","Tinh Ha Giang","2_NMMA","11",8,98865,NA,6,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"26",2,31,1006,7,1006007012,1,2,0,0,1,0,3,1,3,1,1,1,0,1,9200,5,NA,1,5,"Sao Bac Bo (360m2)",166.666666666667,3,"lúa thuần","Tinh Ha Giang","2_NMMA","12",8,176700,NA,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"27",2,31,1006,7,1006007013,1,2,0,0,1,0,3,1,3,1,1,1,0,1,9200,5,NA,1,5,"Sao Bac Bo (360m2)",166.666666666667,3,"lúa thuần","Tinh Ha Giang","2_NMMA","13",8,104493,134983.5,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"28",2,31,1006,7,1006007015,1,2,0,0,1,0,3,1,3,1,1,1,0,1,13800,5,NA,2,5,"Sao Bac Bo (360m2)",111.111111111111,3,"lúa thuần","Tinh Ha Giang","2_NMMA","15",8,23950,29061.5,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"29",2,32,1057,1,1057001001,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"o","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"30",2,32,1057,1,1057001002,1,2,0,0,1,0,3,1,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"31",2,32,1057,1,1057001003,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"32",2,32,1057,1,1057001004,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"o","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"33",2,32,1057,1,1057001005,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"34",2,32,1057,1,1057001006,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"35",2,32,1057,1,1057001008,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"36",2,32,1057,1,1057001009,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"37",2,32,1057,1,1057001010,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,4,2,0,99,"Sao Bac Bo (360m2)",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"38",2,32,1057,1,1057001011,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,99,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"39",2,32,1057,1,1057001012,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"40",2,32,1057,1,1057001013,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,5,NA,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"41",2,32,1057,1,1057001014,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,4,2,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"42",2,32,1057,1,1057001015,1,2,0,0,1,0,3,2,3,0,0,0,0,1,0,3,2,0,1,"m2",0,99,"0","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"43",2,34,1171,4,1171004002,1,2,0,0,1,0,2,1,3,2,2,2,0,2,420000,4,2,1,4,"Sao Bac Bo (360m2)",194.444444444444,1,"pc15","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"44",2,34,1171,4,1171004013,1,2,0,0,1,0,3,2,3,1,1,1,0,2,8.33,4,2,1,5,"Sao Bac Bo (360m2)",41.6666666666667,99,"BC15","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
"45",2,34,1171,4,1171004015,1,2,0,0,1,0,3,2,3,2,1,1,1,2,102.22,4,2,2,5,NA,138.888888888889,1,"BC15","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"46",2,34,1186,11,1186011001,1,2,0,0,1,0,3,2,2,2,2,2,0,3,300,4,2,0,99,"Sao Bac Bo (360m2)",27.7777777777778,99,"lai","Tinh Ha Giang","2_NMMA","1",2,59664,NA,3,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"47",2,34,1186,11,1186011002,1,2,0,0,1,0,2,2,1,2,2,1,0,2,288.89,4,2,1,5,"Sao Bac Bo (360m2)",35,1,"Thái Bình","Tinh Ha Giang","2_NMMA","2",2,159239,0,4,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
"48",2,34,1186,11,1186011003,1,2,0,0,1,0,2,1,2,0,0,1,0,1,0,3,2,0,1,"Sao Bac Bo (360m2)",27.7777777777778,99,"lai","Tinh Ha Giang","2_NMMA","3",2,100801,NA,4,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
"49",2,34,1186,11,1186011005,1,2,0,0,1,0,2,2,1,3,1,2,0,3,101.67,2,NA,1,5,"Sao Bac Bo (360m2)",61.6666666666667,1,"lúa lai","Tinh Ha Giang","2_NMMA","5",2,212453,0,3,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
"50",2,34,1186,11,1186011006,1,2,0,1,0,0,3,2,2,3,2,2,0,3,12000,4,2,0,1,"Sao Bac Bo (360m2)",111.111111111111,99,"lúa lai","Tinh Ha Giang","2_NMMA","6",2,480923,NA,5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"51",2,34,1186,11,1186011009,1,2,0,0,1,0,2,2,1,2,2,1,0,2,546.28,4,2,1,4,"Sao Trung Bo (500m2)",25.2,1,"San ưu 838","Tinh Ha Giang","2_NMMA","9",2,126337,0,2,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
"52",2,34,1186,11,1186011010,1,2,0,0,1,0,2,2,1,2,1,2,0,2,51.67,2,NA,0,4,"Sao Bac Bo (360m2)",34.7222222222222,1,"lúa thuần","Tinh Ha Giang","2_NMMA","10",2,87026,0,4,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
"53",2,34,1186,11,1186011011,1,2,0,1,0,0,3,2,2,3,2,2,0,3,0,3,2,0,4,"Sao Bac Bo (360m2)",27.7777777777778,99,"lúa lai","Tinh Ha Giang","2_NMMA","11",2,38159,NA,4,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
"54",2,34,1186,11,1186011012,1,2,0,0,1,0,3,2,3,2,0,0,0,2,200,4,2,0,99,"Sao Bac Bo (360m2)",27.7777777777778,99,"lúa lai","Tinh Ha Giang","2_NMMA","12",2,40356,NA,2,0,1,0,0,0,0,1,1,1,NA,NA,0,0,0,0,0
"55",2,34,1186,11,1186011013,1,2,0,0,1,1,3,2,2,2,0,0,0,3,300,3,2,0,5,"Sao Bac Bo (360m2)",138.888888888889,99,"lúa lai","Tinh Ha Giang","2_NMMA","13",2,41832,8909,4,0,0,0,0,1,0,1,1,1,NA,NA,0,0,0,0,0
"56",2,34,1186,11,1186011014,1,2,0,0,1,0,2,2,1,2,1,2,0,1,33.33,2,NA,1,4,"Sao Bac Bo (360m2)",35,2,"nhi ưu","Tinh Ha Giang","2_NMMA","14",2,79628,23014.5,3,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
"57",2,34,1186,11,1186011015,1,2,0,0,1,0,2,1,1,2,1,1,0,1,27.78,2,NA,1,4,"Sao Bac Bo (360m2)",31.1111111111111,1,"thái bình","Tinh Ha Giang","2_NMMA","15",2,103320,16240,4,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0
