"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","fert_actual","formula","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count","id_ea","hh_formula","ea_formula","comm_formula","final_formula"
"1",11,"Tinh Dien Bien","2_NMMA",99,3295,20,1,3295020001,1,1,2,4,4,NA,NA,NA,NA,NA,0.02,1,3,2,"3295020",NA,NA,NA,NA
"2",11,"Tinh Dien Bien","2_NMMA",99,3295,20,9,3295020009,1,1,1,4,4,NA,NA,NA,NA,NA,0.02,1,12,1,"3295020",NA,NA,NA,NA
"3",15,"Tinh Yen Bai","2_NMMA",140,4687,11,2,4687011002,1,1,2,4,4,NA,NA,NA,NA,NA,13,2,0,2,"4687011",NA,NA,NA,NA
"4",15,"Tinh Yen Bai","2_NMMA",140,4687,11,3,4687011003,1,1,3,4,4,NA,NA,NA,NA,NA,10.8,2,0,3,"4687011",NA,NA,NA,NA
"5",15,"Tinh Yen Bai","2_NMMA",140,4687,11,7,4687011007,1,1,2,4,4,NA,NA,NA,NA,NA,19.64,2,0,2,"4687011",NA,NA,NA,NA
"6",36,"Tinh Nam Dinh","1_RRD",362,14002,2,1,14002002001,1,1,2,4,4,NA,NA,NA,NA,NA,1,2,3,2,"14002002",NA,NA,NA,NA
"7",36,"Tinh Nam Dinh","1_RRD",362,14002,2,1,14002002001,1,2,2,4,4,NA,NA,NA,NA,NA,8,2,7,2,"14002002",NA,NA,NA,NA
"8",87,"Tinh Dong Thap","6_MRD",871,30034,19,7,30034019007,1,3,4,4,4,NA,NA,NA,NA,NA,16,4,9,4,"30034019",NA,NA,NA,NA
"9",87,"Tinh Dong Thap","6_MRD",871,30034,19,8,30034019008,1,2,4,4,4,NA,NA,NA,NA,NA,15,4,7,4,"30034019",NA,NA,NA,NA
"10",87,"Tinh Dong Thap","6_MRD",871,30034,19,8,30034019008,1,3,4,4,4,NA,NA,NA,NA,NA,12,4,10,4,"30034019",NA,NA,NA,NA
"11",87,"Tinh Dong Thap","6_MRD",871,30034,19,8,30034019008,1,4,4,4,4,NA,NA,NA,NA,NA,10,4,13,4,"30034019",NA,NA,NA,NA
"12",87,"Tinh Dong Thap","6_MRD",871,30034,19,11,30034019011,1,2,4,4,4,NA,NA,NA,NA,NA,18,4,7,4,"30034019",NA,NA,NA,NA
"13",87,"Tinh Dong Thap","6_MRD",871,30034,19,11,30034019011,1,3,4,4,4,NA,NA,NA,NA,NA,15,4,9,4,"30034019",NA,NA,NA,NA
"14",87,"Tinh Dong Thap","6_MRD",871,30034,19,12,30034019012,1,2,4,4,4,NA,NA,NA,NA,NA,20,4,5,4,"30034019",NA,NA,NA,NA
"15",87,"Tinh Dong Thap","6_MRD",871,30034,19,12,30034019012,1,3,4,4,4,NA,NA,NA,NA,NA,15,4,8,4,"30034019",NA,NA,NA,NA
"16",87,"Tinh Dong Thap","6_MRD",871,30034,19,12,30034019012,1,4,4,4,4,NA,NA,NA,NA,NA,15,4,13,4,"30034019",NA,NA,NA,NA
"17",25,"Tinh Phu Tho","2_NMMA",227,8281,17,2,8281017002,2,0,2,6,4,NA,"phân tổng hợp",NA,NA,NA,40,2,2,2,"8281017",NA,NA,NA,NA
"18",25,"Tinh Phu Tho","2_NMMA",227,8281,17,2,8281017002,2,1,2,6,4,NA,"phân tổng hợp",NA,NA,NA,47,2,6,2,"8281017",NA,NA,NA,NA
"19",30,"Tinh Hai Duong","1_RRD",299,11203,6,13,11203006013,2,0,3,6,4,NA,"Phân tông hơp",NA,NA,NA,8,2,2,3,"11203006",NA,NA,NA,NA
"20",30,"Tinh Hai Duong","1_RRD",299,11203,6,13,11203006013,2,1,3,6,4,NA,"Phân tông hơp",NA,NA,NA,6,2,5,3,"11203006",NA,NA,NA,NA
"21",30,"Tinh Hai Duong","1_RRD",299,11203,6,13,11203006013,2,2,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,8,3,"11203006",NA,NA,NA,NA
"22",30,"Tinh Hai Duong","1_RRD",299,11203,6,14,11203006014,2,0,2,6,4,NA,"phân tổng hợp",NA,NA,NA,3,2,1,2,"11203006",NA,NA,NA,NA
"23",30,"Tinh Hai Duong","1_RRD",299,11203,6,14,11203006014,2,1,2,6,4,NA,"phân tổng hợp",NA,NA,NA,7,2,5,2,"11203006",NA,NA,NA,NA
"24",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,2,11722008002,2,0,3,6,4,NA,"phân tổng hợp",NA,NA,NA,6,2,2,3,"11722008",NA,NA,NA,NA
"25",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,2,11722008002,2,1,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,9,3,"11722008",NA,NA,NA,NA
"26",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,2,11722008002,2,2,3,6,4,NA,"phân tổng hợp",NA,NA,NA,2,2,12,3,"11722008",NA,NA,NA,NA
"27",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,5,11722008005,2,0,3,6,4,NA,"phân tổng hợp",NA,NA,NA,3,2,1,3,"11722008",NA,NA,NA,NA
"28",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,5,11722008005,2,1,3,6,4,NA,"phân bón tổng hợp",NA,NA,NA,7,2,10,3,"11722008",NA,NA,NA,NA
"29",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,6,11722008006,2,0,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,1,3,"11722008",NA,NA,NA,NA
"30",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,6,11722008006,2,1,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,9,3,"11722008",NA,NA,NA,NA
