"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count"
"1",1,"Thanh pho Ha Noi","1_RRD",16,400,11,6,400011006,1,0,2,4,NA,20,20,15,11,2,3,2
"2",1,"Thanh pho Ha Noi","1_RRD",16,400,11,6,400011006,1,1,2,3,NA,NA,NA,NA,6,2,6,2
"3",1,"Thanh pho Ha Noi","1_RRD",16,400,11,8,400011008,1,0,2,4,NA,20,20,15,12,2,2,2
"4",1,"Thanh pho Ha Noi","1_RRD",16,400,11,8,400011008,1,1,2,3,NA,NA,NA,NA,5,2,5,2
"5",1,"Thanh pho Ha Noi","1_RRD",16,400,11,12,400011012,1,0,3,2,NA,NA,NA,NA,22,2,0,3
"6",1,"Thanh pho Ha Noi","1_RRD",16,400,11,12,400011012,1,1,3,1,NA,20,20,15,4,2,3,3
"7",1,"Thanh pho Ha Noi","1_RRD",16,400,11,12,400011012,1,2,3,4,NA,20,20,15,2,2,8,3
"8",1,"Thanh pho Ha Noi","1_RRD",16,415,3,3,415003003,1,0,3,2,NA,NA,NA,NA,25,2,0,3
"9",1,"Thanh pho Ha Noi","1_RRD",16,415,3,3,415003003,1,1,3,1,NA,20,20,15,4,2,3,3
"10",1,"Thanh pho Ha Noi","1_RRD",16,415,3,3,415003003,1,2,3,4,NA,20,20,15,2,2,7,3
"11",1,"Thanh pho Ha Noi","1_RRD",16,415,3,5,415003005,1,0,2,4,NA,5,10,3,13,2,2,2
"12",1,"Thanh pho Ha Noi","1_RRD",16,415,3,5,415003005,1,1,2,3,NA,NA,NA,NA,5,2,5,2
"13",1,"Thanh pho Ha Noi","1_RRD",16,415,3,6,415003006,1,0,2,4,NA,0,0,0,12,2,2,2
"14",1,"Thanh pho Ha Noi","1_RRD",16,415,3,6,415003006,1,1,2,3,NA,NA,NA,NA,5,2,5,2
"15",1,"Thanh pho Ha Noi","1_RRD",16,415,3,7,415003007,1,0,2,4,NA,0,0,0,13,2,2,2
"16",1,"Thanh pho Ha Noi","1_RRD",16,415,3,7,415003007,1,1,2,3,NA,NA,NA,NA,5,2,5,2
"17",1,"Thanh pho Ha Noi","1_RRD",16,415,3,9,415003009,1,0,3,2,NA,NA,NA,NA,22,2,0,3
"18",1,"Thanh pho Ha Noi","1_RRD",16,415,3,9,415003009,1,1,3,1,NA,20,20,15,4,2,3,3
