"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","timing","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","other_specify","n_year_harvest","dry_method","dry_other","n_year_dry","store_method","moisture","KYDIEUTRA","dry_mechan","hermetic"
"1",1,16,400,11,6,400011006,2,1,0,0,0,NA,6,3,NA,NA,3,1,1,0,0
"2",1,16,400,11,8,400011008,2,1,0,0,0,NA,6,3,NA,NA,3,1,1,0,0
"3",1,16,400,11,12,400011012,3,1,0,0,0,NA,8,2,NA,NA,3,1,1,0,0
"4",1,16,415,3,3,415003003,3,1,0,0,0,NA,8,2,NA,NA,3,1,1,0,0
"5",1,16,415,3,5,415003005,2,1,0,0,0,NA,5,2,NA,NA,3,1,1,0,0
"6",1,16,415,3,6,415003006,2,1,0,0,0,NA,5,2,NA,NA,3,1,1,0,0
"7",1,16,415,3,7,415003007,2,1,0,0,0,NA,5,2,NA,NA,3,1,1,0,0
"8",1,16,415,3,9,415003009,3,1,0,0,0,NA,8,2,NA,NA,3,1,1,0,0
"9",1,16,415,3,14,415003014,2,1,0,0,0,NA,5,3,NA,NA,3,1,1,0,0
"10",1,16,415,3,15,415003015,3,1,0,0,0,NA,8,2,NA,NA,2,1,1,0,0
"11",1,16,415,3,17,415003017,3,1,0,0,0,NA,10,2,NA,NA,3,1,1,0,0
"12",2,27,811,7,3,811007003,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"13",2,27,811,7,4,811007004,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"14",2,27,811,7,5,811007005,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"15",2,27,811,7,7,811007007,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"16",2,27,811,7,10,811007010,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"17",2,27,811,7,11,811007011,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"18",2,27,811,7,12,811007012,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"19",2,27,811,7,13,811007013,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"20",2,27,811,7,14,811007014,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"21",2,27,811,7,15,811007015,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"22",2,27,811,7,16,811007016,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"23",2,31,1006,7,1,1006007001,2,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"24",2,31,1006,7,2,1006007002,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"25",2,31,1006,7,3,1006007003,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"26",2,31,1006,7,4,1006007004,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"27",2,31,1006,7,5,1006007005,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"28",2,31,1006,7,6,1006007006,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"29",2,31,1006,7,8,1006007008,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"30",2,31,1006,7,9,1006007009,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"31",2,31,1006,7,11,1006007011,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"32",2,31,1006,7,12,1006007012,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"33",2,31,1006,7,13,1006007013,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"34",2,31,1006,7,15,1006007015,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"35",2,32,1057,1,1,1057001001,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"36",2,32,1057,1,2,1057001002,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"37",2,32,1057,1,3,1057001003,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"38",2,32,1057,1,4,1057001004,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
