"","sowing_day","sowing_month","sowing_year","lunar_day","lunar_month","lunar_year","final_result","gre_day","gre_month","gre_year"
"1",22,4,2022,"Ngày 22","Tháng 4","Năm 2022","Chủ Nhật, ngày 22/05/2022","22","5","2022"
"2",24,4,2022,"Ngày 24","Tháng 4","Năm 2022","Thứ Ba, ngày 24/05/2022","24","5","2022"
"3",15,4,2022,"Ngày 15","Tháng 4","Năm 2022","Chủ Nhật, ngày 15/05/2022","15","5","2022"
"4",10,4,2022,"Ngày 10","Tháng 4","Năm 2022","Thứ Ba, ngày 10/05/2022","10","5","2022"
"5",11,4,2022,"Ngày 11","Tháng 4","Năm 2022","Thứ Tư, ngày 11/05/2022","11","5","2022"
"6",5,4,2022,"Ngày 5","Tháng 4","Năm 2022","Thứ Năm, ngày 05/05/2022","5","5","2022"
"7",18,4,2022,"Ngày 18","Tháng 4","Năm 2022","Thứ Tư, ngày 18/05/2022","18","5","2022"
"8",25,4,2022,"Ngày 25","Tháng 4","Năm 2022","Thứ Tư, ngày 25/05/2022","25","5","2022"
"9",23,4,2022,"Ngày 23","Tháng 4","Năm 2022","Thứ Hai, ngày 23/05/2022","23","5","2022"
"10",20,4,2022,"Ngày 20","Tháng 4","Năm 2022","Thứ Sáu, ngày 20/05/2022","20","5","2022"
"11",19,4,2022,"Ngày 19","Tháng 4","Năm 2022","Thứ Năm, ngày 19/05/2022","19","5","2022"
"12",16,4,2022,"Ngày 16","Tháng 4","Năm 2022","Thứ Hai, ngày 16/05/2022","16","5","2022"
"13",17,4,2022,"Ngày 17","Tháng 4","Năm 2022","Thứ Ba, ngày 17/05/2022","17","5","2022"
"14",14,4,2022,"Ngày 14","Tháng 4","Năm 2022","Thứ Bảy, ngày 14/05/2022","14","5","2022"
"15",13,4,2022,"Ngày 13","Tháng 4","Năm 2022","Thứ Sáu, ngày 13/05/2022","13","5","2022"
"16",12,4,2022,"Ngày 12","Tháng 4","Năm 2022","Thứ Năm, ngày 12/05/2022","12","5","2022"
"17",8,4,2022,"Ngày 8","Tháng 4","Năm 2022","Chủ Nhật, ngày 08/05/2022","8","5","2022"
"18",4,4,2022,"Ngày 4","Tháng 4","Năm 2022","Thứ Tư, ngày 04/05/2022","4","5","2022"
"19",3,4,2022,"Ngày 3","Tháng 4","Năm 2022","Chủ Nhật, ngày 22/05/2022","22","05","2022"
"20",1,4,2022,"Ngày 1","Tháng 4","Năm 2022","Thứ Ba, ngày 10/05/2022","10","5","2022"
"21",25,2,2022,"Ngày 25","Tháng 2","Năm 2022","Chủ Nhật, ngày 27/03/2022","27","3","2022"
"22",4,5,2022,"Ngày 4","Tháng 5","Năm 2022","Thứ Năm, ngày 02/06/2022","2","6","2022"
"23",6,5,2022,"Ngày 6","Tháng 5","Năm 2022","Thứ Bảy, ngày 04/06/2022","4","6","2022"
"24",9,2,2022,"Ngày 9","Tháng 2","Năm 2022","Thứ Sáu, ngày 11/03/2022","11","3","2022"
"25",10,5,2022,"Ngày 10","Tháng 5","Năm 2022","Thứ Tư, ngày 08/06/2022","8","6","2022"
"26",11,2,2022,"Ngày 11","Tháng 2","Năm 2022","Chủ Nhật, ngày 13/03/2022","13","3","2022"
"27",15,5,2022,"Ngày 15","Tháng 5","Năm 2022","Thứ Hai, ngày 13/06/2022","13","6","2022"
"28",5,2,2022,"Ngày 5","Tháng 2","Năm 2022","Thứ Hai, ngày 07/03/2022","7","3","2022"
"29",25,5,2022,"Ngày 25","Tháng 5","Năm 2022","Thứ Năm, ngày 23/06/2022","23","6","2022"
"30",8,2,2022,"Ngày 8","Tháng 2","Năm 2022","Thứ Năm, ngày 10/03/2022","10","3","2022"
"31",5,5,2022,"Ngày 5","Tháng 5","Năm 2022","Thứ Sáu, ngày 03/06/2022","3","6","2022"
"32",27,5,2022,"Ngày 27","Tháng 5","Năm 2022","Thứ Bảy, ngày 25/06/2022","25","6","2022"
"33",15,2,2022,"Ngày 15","Tháng 2","Năm 2022","Thứ Năm, ngày 17/03/2022","17","3","2022"
"34",28,5,2022,"Ngày 28","Tháng 5","Năm 2022","Chủ Nhật, ngày 26/06/2022","26","6","2022"
"35",16,5,2022,"Ngày 16","Tháng 5","Năm 2022","Thứ Ba, ngày 14/06/2022","14","6","2022"
"36",8,5,2022,"Ngày 8","Tháng 5","Năm 2022","Thứ Hai, ngày 06/06/2022","6","6","2022"
"37",6,1,2022,"Ngày 6","Tháng 1","Năm 2022","Chủ Nhật, ngày 06/02/2022","6","2","2022"
"38",8,1,2022,"Ngày 8","Tháng 1","Năm 2022","Thứ Ba, ngày 08/02/2022","8","2","2022"
"39",20,5,2022,"Ngày 20","Tháng 5","Năm 2022","Thứ Bảy, ngày 18/06/2022","18","6","2022"
"40",10,1,2022,"Ngày 10","Tháng 1","Năm 2022","Thứ Năm, ngày 10/02/2022","10","2","2022"
"41",22,5,2022,"Ngày 22","Tháng 5","Năm 2022","Thứ Hai, ngày 20/06/2022","20","6","2022"
"42",9,6,2022,"Ngày 9","Tháng 6","Năm 2022","Thứ Năm, ngày 07/07/2022","7","7","2022"
"43",25,12,2021,"Ngày 25","Tháng 12","Năm 2021","Thứ Năm, ngày 27/01/2022","27","1","2022"
"44",18,5,2022,"Ngày 18","Tháng 5","Năm 2022","Thứ Năm, ngày 16/06/2022","16","6","2022"
"45",7,1,2022,"Ngày 7","Tháng 1","Năm 2022","Thứ Hai, ngày 07/02/2022","7","2","2022"
"46",7,5,2022,"Ngày 7","Tháng 5","Năm 2022","Chủ Nhật, ngày 05/06/2022","5","6","2022"
"47",12,1,2022,"Ngày 12","Tháng 1","Năm 2022","Thứ Bảy, ngày 12/02/2022","12","2","2022"
"48",21,5,2022,"Ngày 21","Tháng 5","Năm 2022","Chủ Nhật, ngày 19/06/2022","19","6","2022"
"49",17,5,2022,"Ngày 17","Tháng 5","Năm 2022","Thứ Tư, ngày 15/06/2022","15","6","2022"
"50",14,5,2022,"Ngày 14","Tháng 5","Năm 2022","Chủ Nhật, ngày 12/06/2022","12","6","2022"
"51",13,5,2022,"Ngày 13","Tháng 5","Năm 2022","Thứ Bảy, ngày 11/06/2022","11","6","2022"
"52",10,6,2022,"Ngày 10","Tháng 6","Năm 2022","Thứ Sáu, ngày 08/07/2022","8","7","2022"
"53",10,2,2023,"Ngày 10","Tháng 2","Năm 2023","Thứ Tư, ngày 01/03/2023","1","3","2023"
"54",12,2,2023,"Ngày 12","Tháng 2","Năm 2023","Thứ Sáu, ngày 03/03/2023","3","3","2023"
"55",14,2,2023,"Ngày 14","Tháng 2","Năm 2023","Chủ Nhật, ngày 05/03/2023","5","3","2023"
"56",10,12,2022,"Ngày 10","Tháng 12","Năm 2022","Chủ Nhật, ngày 01/01/2023","1","1","2023"
"57",13,12,2022,"Ngày 13","Tháng 12","Năm 2022","Thứ Tư, ngày 04/01/2023","4","1","2023"
"58",12,5,2022,"Ngày 12","Tháng 5","Năm 2022","Thứ Sáu, ngày 10/06/2022","10","6","2022"
"59",15,12,2022,"Ngày 15","Tháng 12","Năm 2022","Thứ Sáu, ngày 06/01/2023","6","1","2023"
"60",12,7,2022,"Ngày 12","Tháng 7","Năm 2022","Thứ Ba, ngày 09/08/2022","9","8","2022"
"61",17,12,2022,"Ngày 17","Tháng 12","Năm 2022","Chủ Nhật, ngày 08/01/2023","8","1","2023"
