"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","panel","Pl_date","CS_reach_SA","CS_reach_WS","CSMAP_reach"
"1","80","794","27703","5","10","2023",2022-11-18,FALSE,FALSE,0
"4","80","794","27706","001","005","2022",2022-07-09,FALSE,FALSE,0
"6","80","794","27703","005","006","2022",2021-06-22,FALSE,FALSE,0
"7","80","794","27703","5","10","2023",2022-07-28,FALSE,FALSE,0
"10","80","794","27703","5","6","2023",2022-05-24,FALSE,FALSE,0
"11","80","794","27706","001","005","2022",2021-12-10,FALSE,FALSE,0
"12","80","794","27703","5","8","2023",2021-10-14,FALSE,FALSE,0
"13","80","794","27703","005","006","2022",2021-12-27,FALSE,TRUE,1
"15","80","794","27703","5","6","2023",2022-11-23,FALSE,FALSE,0
"19","80","794","27703","005","010","2022",2021-05-20,FALSE,FALSE,0
"20","80","794","27703","005","010","2022",2021-11-22,FALSE,FALSE,0
"23","80","795","27793","1","10","2023",2022-12-07,FALSE,FALSE,0
"25","80","795","27793","001","005","2022",2021-10-09,FALSE,FALSE,0
"26","80","795","27793","001","008","2022",2022-05-09,FALSE,FALSE,0
"27","80","795","27793","1","2","2023",2022-05-10,FALSE,FALSE,0
"28","80","795","27793","1","2","2023",2022-10-15,FALSE,FALSE,0
"29","80","795","27793","001","008","2022",2021-11-09,FALSE,TRUE,1
"30","80","795","27793","001","005","2022",2022-05-18,FALSE,FALSE,0
"31","80","796","27751","5","6","2023",2023-05-07,FALSE,FALSE,0
"32","80","796","27751","5","15","2023",2023-02-03,FALSE,FALSE,0
"33","80","796","27751","5","2","2023",2023-01-08,FALSE,FALSE,0
"34","80","796","27751","5","2","2023",2022-05-05,FALSE,FALSE,0
"35","80","796","27751","5","4","2023",2022-05-09,FALSE,FALSE,0
"36","80","796","27751","5","8","2023",2023-01-07,FALSE,FALSE,0
"37","80","796","27751","5","8","2023",2023-06-07,FALSE,FALSE,0
"39","80","796","27751","5","7","2023",2022-01-06,FALSE,FALSE,0
"40","80","796","27751","5","6","2023",2022-01-05,FALSE,FALSE,0
"41","80","796","27751","5","3","2023",2022-05-07,FALSE,FALSE,0
"42","80","796","27751","5","7","2023",2022-05-08,FALSE,FALSE,0
"43","80","796","27751","5","4","2023",2023-01-05,FALSE,FALSE,0
"44","80","796","27751","5","3","2023",2022-01-02,FALSE,FALSE,0
"45","80","796","27751","5","15","2023",2022-10-10,FALSE,FALSE,0
"47","80","797","27763","004","012","2022",2021-05-18,FALSE,FALSE,0
"48","80","797","27766","4","3","2023",2023-05-10,FALSE,FALSE,0
"49","80","797","27766","4","4","2023",2023-04-25,TRUE,FALSE,1
"50","80","797","27763","4","15","2023",2022-11-15,FALSE,FALSE,0
"52","80","797","27763","4","13","2023",2023-04-09,FALSE,FALSE,0
"53","80","797","27763","4","10","2023",2023-04-28,TRUE,FALSE,1
"54","80","797","27763","004","006","2022",2020-12-16,FALSE,FALSE,0
"55","80","797","27763","4","7","2023",2022-12-24,FALSE,FALSE,0
"56","80","797","27763","4","6","2023",2023-04-29,TRUE,FALSE,1
"57","80","797","27766","4","3","2023",2022-12-24,FALSE,FALSE,0
"59","80","797","27766","4","4","2023",2022-12-16,FALSE,FALSE,0
"60","80","797","27766","4","11","2023",2023-04-11,FALSE,FALSE,0
"61","80","797","27763","004","009","2022",2020-11-15,FALSE,FALSE,0
"63","80","797","27763","004","009","2022",2021-05-20,FALSE,FALSE,0
"64","80","797","27763","4","10","2023",2022-12-20,FALSE,FALSE,0
"65","80","797","27766","4","13","2023",2023-04-11,FALSE,FALSE,0
"66","80","797","27763","4","3","2023",2022-12-27,FALSE,FALSE,0
"68","80","797","27763","4","15","2023",2023-04-09,FALSE,FALSE,0
"69","80","797","27763","4","7","2023",2023-04-20,TRUE,FALSE,1
"70","80","797","27766","4","14","2023",2023-04-11,FALSE,FALSE,0
"71","80","797","27763","004","006","2022",2021-06-22,FALSE,FALSE,0
"72","80","797","27775","003","007","2022",2021-11-16,FALSE,FALSE,0
"74","80","797","27766","4","5","2023",2022-12-24,FALSE,FALSE,0
"75","80","797","27766","4","13","2023",2022-11-18,FALSE,FALSE,0
"76","80","797","27766","4","11","2023",2022-11-20,FALSE,FALSE,0
"77","80","797","27766","4","2","2023",2023-06-29,FALSE,FALSE,0
"78","80","797","27766","4","5","2023",2023-04-30,TRUE,FALSE,1
"79","80","797","27763","004","003","2022",2020-11-09,FALSE,FALSE,0
"80","80","797","27763","4","13","2023",2022-11-15,FALSE,FALSE,0
"81","80","797","27775","003","007","2022",2022-04-16,TRUE,FALSE,1
"82","80","797","27763","004","015","2022",2021-01-18,FALSE,FALSE,0
"83","80","797","27763","4","6","2023",2022-12-20,FALSE,FALSE,0
"84","80","797","27763","4","3","2023",2023-04-20,TRUE,FALSE,1
"85","80","797","27763","004","015","2022",2021-05-20,FALSE,FALSE,0
"87","80","797","27763","004","003","2022",2021-05-20,FALSE,FALSE,0
"89","80","797","27766","4","14","2023",2022-11-20,FALSE,FALSE,0
"90","80","797","27763","004","012","2022",2021-01-19,FALSE,FALSE,0
"91","80","797","27766","4","2","2023",2022-12-25,FALSE,FALSE,0
"93","80","799","27847","4","17","2023",2022-06-22,FALSE,FALSE,0
"94","80","799","27862","007","009","2022",2021-03-23,FALSE,FALSE,0
"95","80","799","27862","7","6","2023",2022-02-15,TRUE,FALSE,1
"97","80","799","27853","4","3","2023",2022-11-08,FALSE,FALSE,0
"98","80","799","27862","007","014","2022",2021-10-04,FALSE,FALSE,0
"99","80","799","27862","7","2","2023",2022-09-04,FALSE,FALSE,0
"100","80","799","27862","7","3","2023",2022-06-19,FALSE,FALSE,0
"101","80","799","27862","7","6","2023",2022-10-20,FALSE,FALSE,0
"102","80","799","27862","007","004","2022",2021-10-14,FALSE,FALSE,0
"103","80","799","27853","4","3","2023",2022-07-13,FALSE,FALSE,0
"104","80","799","27853","4","1","2023",2022-09-28,FALSE,FALSE,0
"105","80","799","27847","4","17","2023",2022-02-09,FALSE,FALSE,0
"106","80","799","27862","007","008","2022",2021-10-14,FALSE,FALSE,0
"108","80","799","27862","7","10","2023",2022-10-12,FALSE,FALSE,0
"110","80","799","27847","4","11","2023",2022-02-08,FALSE,FALSE,0
"111","80","799","27853","4","7","2023",2022-09-14,FALSE,FALSE,0
"112","80","799","27862","7","3","2023",2021-12-08,FALSE,FALSE,0
"113","80","799","27862","007","002","2022",2021-04-24,FALSE,FALSE,0
"114","80","799","27859","13","15","2023",2023-01-25,FALSE,FALSE,0
"115","80","799","27862","7","8","2023",2022-03-04,FALSE,FALSE,0
"118","80","799","27847","4","1","2023",2022-03-09,FALSE,FALSE,0
"119","80","799","27862","7","8","2023",2022-10-28,FALSE,FALSE,0
"120","80","799","27853","4","13","2023",2022-10-28,FALSE,FALSE,0
"121","80","799","27862","007","002","2022",2021-11-03,FALSE,FALSE,0
"122","80","799","27859","13","9","2023",2022-10-10,FALSE,FALSE,0
"124","80","799","27862","007","004","2022",2021-03-18,FALSE,FALSE,0
"125","80","799","27853","4","9","2023",2022-10-05,FALSE,FALSE,0
"126","80","799","27853","4","7","2023",2022-02-25,FALSE,FALSE,0
"127","80","799","27859","13","15","2023",2022-10-09,FALSE,FALSE,0
"128","80","799","27859","13","9","2023",2023-01-28,FALSE,FALSE,0
"129","80","799","27862","007","003","2022",2021-10-06,FALSE,FALSE,0
"130","80","799","27862","007","014","2022",2022-01-21,FALSE,FALSE,0
"131","80","799","27853","4","4","2023",2022-01-05,FALSE,FALSE,0
"132","80","799","27853","4","9","2023",2022-06-09,FALSE,FALSE,0
"133","80","799","27862","007","009","2022",2021-11-10,FALSE,FALSE,0
"134","80","799","27862","007","010","2022",2021-04-20,FALSE,FALSE,0
"135","80","799","27862","7","2","2023",2022-01-04,FALSE,FALSE,0
"136","80","799","27862","7","10","2023",2022-02-25,FALSE,FALSE,0
"137","80","799","27862","007","005","2022",2021-01-10,FALSE,FALSE,0
"139","80","799","27853","4","13","2023",2022-03-02,FALSE,FALSE,0
"140","80","799","27862","007","003","2022",2021-02-15,TRUE,FALSE,1
"141","80","799","27847","4","11","2023",2022-06-10,FALSE,FALSE,0
"142","80","799","27862","007","010","2022",2021-11-06,FALSE,FALSE,0
"143","80","799","27853","4","1","2023",2022-02-04,TRUE,FALSE,1
"144","80","799","27862","007","005","2022",2021-10-17,FALSE,FALSE,0
"153","80","801","27910","004","010","2022",2022-03-05,FALSE,FALSE,0
"154","80","801","27910","004","012","2022",2022-02-12,FALSE,FALSE,0
"159","80","801","27910","004","010","2022",2021-05-12,FALSE,FALSE,0
"166","80","801","27910","004","014","2022",2022-03-07,FALSE,FALSE,0
"168","80","802","27964","1","5","2023",2022-12-08,FALSE,FALSE,0
"169","80","802","27967","021","008","2022",2021-12-18,FALSE,FALSE,0
"170","80","802","27967","021","008","2022",2021-07-18,FALSE,FALSE,0
"171","80","802","27967","021","002","2022",2021-12-05,FALSE,FALSE,0
"172","80","802","27958","020","007","2022",2021-10-08,FALSE,FALSE,0
"173","80","802","27973","12","5","2023",2022-10-07,FALSE,FALSE,0
"174","80","802","27952","3","10","2023",2023-01-10,FALSE,FALSE,0
"175","80","802","27964","1","4","2023",2022-10-15,FALSE,FALSE,0
"176","80","802","27964","1","2","2023",2022-05-05,FALSE,FALSE,0
"177","80","802","27952","3","3","2023",2022-06-04,FALSE,FALSE,0
"178","80","802","27952","003","006","2022",2021-06-18,FALSE,FALSE,0
"179","80","802","27952","003","009","2022",2021-01-24,FALSE,FALSE,0
"181","80","802","27952","3","5","2023",2022-12-01,FALSE,FALSE,0
"182","80","802","27973","12","17","2023",2023-05-02,FALSE,FALSE,0
"183","80","802","27964","1","10","2023",2022-12-01,FALSE,FALSE,0
"184","80","802","27967","021","007","2022",2021-07-15,FALSE,FALSE,0
"185","80","802","27973","12","7","2023",2022-10-05,FALSE,FALSE,0
"186","80","802","27967","021","010","2022",2021-12-16,FALSE,FALSE,0
"187","80","802","27952","003","008","2022",2021-02-12,FALSE,FALSE,0
"188","80","802","27964","1","1","2023",2023-02-14,FALSE,FALSE,0
"189","80","802","27952","3","8","2023",2022-06-22,FALSE,FALSE,0
"190","80","802","27952","3","19","2023",2022-11-18,FALSE,FALSE,0
"191","80","802","27967","021","014","2022",2021-12-18,FALSE,FALSE,0
"192","80","802","27967","021","007","2022",2021-12-17,FALSE,FALSE,0
"193","80","802","27952","003","008","2022",2021-06-18,FALSE,FALSE,0
"194","80","802","27940","22","9","2023",2022-01-10,FALSE,FALSE,0
"195","80","802","27964","1","10","2023",2022-06-01,FALSE,FALSE,0
"196","80","802","27973","12","17","2023",2023-01-10,FALSE,FALSE,0
"197","80","802","27952","3","2","2023",2022-12-22,FALSE,FALSE,0
"198","80","802","27952","003","003","2022",2021-06-18,FALSE,FALSE,0
"199","80","802","27967","021","010","2022",2021-07-17,FALSE,FALSE,0
"200","80","802","27940","22","9","2023",2022-07-10,FALSE,FALSE,0
"201","80","802","27952","3","5","2023",2022-06-01,FALSE,FALSE,0
"202","80","802","27952","3","19","2023",2022-05-05,FALSE,FALSE,0
