"","X","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B13A_C1","M4B13A_C2","M4B13A_C3","M4B13A_C4","SWCP","SWCP_confirmed"
"1",1,4117004010,14,125,4117,4,10,3,5,1,1400,4,0,0
"2",2,4117004012,14,125,4117,4,12,3,5,1,1333,4,0,0
"3",3,23443003001,62,612,23443,3,1,3,1,2,150,3,1,1
"4",4,23443003002,62,612,23443,3,2,3,1,3,120,3,1,1
"5",5,23443003003,62,612,23443,3,3,3,1,3,120,3,1,1
"6",6,23443003004,62,612,23443,3,4,3,1,2,150,3,1,1
"7",7,23443003005,62,612,23443,3,5,3,3,2,120,2,1,1
"8",8,23443003007,62,612,23443,3,7,3,1,2,120,3,1,1
"9",9,23443003009,62,612,23443,3,9,3,1,2,100,4,1,0
"10",10,23443003010,62,612,23443,3,10,3,1,2,120,3,1,1
"11",11,23443003011,62,612,23443,3,11,3,1,2,150,3,1,1
"12",12,23443003012,62,612,23443,3,12,3,1,2,150,3,1,1
"13",13,23443003015,62,612,23443,3,15,3,3,2,120,3,1,1
"14",14,23497004002,62,614,23497,4,2,3,1,3,170,2,1,1
"15",15,23497004003,62,614,23497,4,3,3,1,3,200,2,1,1
"16",16,23497004006,62,614,23497,4,6,3,1,3,170,2,1,1
"17",17,23497004008,62,614,23497,4,8,3,1,3,200,2,1,1
"18",18,23497004010,62,614,23497,4,10,3,1,3,210,2,1,1
"19",19,23497004013,62,614,23497,4,13,3,1,3,200,2,1,1
"20",20,23500004006,62,615,23500,4,6,3,2,3,300,4,1,0
"21",21,23500004007,62,615,23500,4,7,3,2,5,310,4,0,0
"22",22,23500004008,62,615,23500,4,8,3,1,1,200,4,1,0
"23",23,23500004009,62,615,23500,4,9,3,2,5,300,4,0,0
"24",24,23500004010,62,615,23500,4,10,3,2,3,320,4,1,0
"25",25,23500004012,62,615,23500,4,12,3,1,3,300,4,1,0
"26",26,23500004013,62,615,23500,4,13,3,1,3,370,4,1,0
"27",27,23500004014,62,615,23500,4,14,3,2,3,280,4,1,0
"28",28,23500004015,62,615,23500,4,15,3,2,4,310,4,0,0
