"","Correct_name.DNA2","MATINH","IDHO","region","MAHUYEN","MAXA","MADIABAN","HOSO","M4B113_C5","M4B113_C7","M4B113_C8","M4B113_C9","Province_name","Region","Decision","Convergence.on.Year","IRRI_Parentage","Saltol","qSub1"
"1","BC15",19,"05812004005",2,"171","05812","004","005","khang dân",1,5,NA,"Tinh Thai Nguyen","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"2","BC15",8,"02530008011",2,"075","02530","008","011","BC15 thai binh",1,3,NA,"Tinh Tuyen Quang","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"3","BC15",14,"03928006009",2,"122","03928","006","009","BC15",1,7,NA,"Tinh Son La","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"4","BC15",8,"02530008009",2,"075","02530","008","009","Thái Bình",1,3,NA,"Tinh Tuyen Quang","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"5","BC15",14,"03928006011",2,"122","03928","006","011","BC 15",1,7,NA,"Tinh Son La","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"6","BC15",10,"02971005005",2,"087","02971","005","005","thái bình",1,3,NA,"Tinh Lao Cai","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"7","BC15",64,"23778004003",4,"628","23778","004","003","1",1,1,1,"Tinh Gia Lai","4_Central Highlands","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"8","BC15",14,"03928006001",2,"122","03928","006","001","BC 15",1,7,NA,"Tinh Son La","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"9","BC15",10,"02971005003",2,"087","02971","005","003","BC 15",1,3,NA,"Tinh Lao Cai","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"10","BC15",34,"12643007013",1,"339","12643","007","013","C15 kháng khuẩn",1,6,NA,"Tinh Thai Binh","1_RRD","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"11","BC15",15,"04765007009",2,"141","04765","007","009","Thái Bình",1,3,NA,"Tinh Yen Bai","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"12","BC15",30,"11137006011",1,"298","11137","006","011","BC15",2,7,NA,"Tinh Hai Duong","1_RRD","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"13","BC15",8,"02530008005",2,"075","02530","008","005","thái bình",1,7,NA,"Tinh Tuyen Quang","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"14","BC15",31,"11503005007",1,"311","11503","005","007","TBR 225",1,3,NA,"Thanh pho Hai Phong","1_RRD","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"15","BC15",22,"07153005009",1,"206","07153","005","009","BTR25",1,5,NA,"Tinh Quang Ninh","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"16","BC15",10,"02971005001",2,"087","02971","005","001","BC 15",1,3,NA,"Tinh Lao Cai","2_NMMA","354/QD-TT-CLT dated November 22, 2022
Decision to extend circulation","No","IRRI-related (P)","[+p]-Aro","[--]"
"17","BT7",34,"13189002005",1,"343","13189","002","005","Q5",1,3,NA,"Tinh Thai Binh","1_RRD","","","Chinese purebred variety","[--]","[--]"
"18","BT7",45,"19603006001",3,"468","19603","006","001","HC95",1,6,NA,"Tinh Quang Tri","3_NCCCA","","","Chinese purebred variety","[--]","[--]"
"19","BT7",36,"14005024005",1,"362","14005","024","005","bắc thơm",1,3,NA,"Tinh Nam Dinh","1_RRD","","","Chinese purebred variety","[--]","[--]"
