MATINH,IDHO,MAHUYEN,MAXA,MADIABAN,HOSO,breeding_main_variety,Correct_name.DNA2,breeding_seed_origin,breeding_seed_duration,Decision,Convergence.on.Year,IRRI_Parentage,Saltol,qSub1,breeding_certified_seed,KYDIEUTRA,mech_mini_combiner,mech_combine_harvester,mech_straw_baler,mech_row_seeder,mech_seed_blower,straw_burn,straw_incorporated_soil,straw_mulching,straw_other,straw_remove_completely,straw_remove_partly,straw_rm_compost,straw_rm_cooking,straw_rm_livestock,straw_rm_mushroom,straw_rm_other,straw_rm_sold,panel,weight_final_rice,weight_rice_DNA,THUNHAP,TONGCHITIEU,ethnic,rls_head,age,edu_grade,n_member,male,female,internet,land_area_sum,poor_commune,dummy_main_str,dist_main_str,type_main_str,dummy_local_market_wholesale,dist_market_wholesale,dummy_ext_center,dist_ext_center,farmer_participation_pct,dummy_protection_staff,main_str_asphalt,IRRI_Parentage_edited,Quintiles,Bottom_20,Bottom_40,Sub1
19,05812004005,171,05812,004,005,khang dân,BC15,5,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,1,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,549.828187421829,6443.04662399689,149136,,0,1,36,6,4,1,0,1,1800,0,1,,1,0,7,0,8,,0,1,1,,,,0
08,02530008011,075,02530,008,011,BC15 thai binh,BC15,3,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,331.24582381832,6055.35045979039,149519,,0,1,59,4,5,0,1,0,3080,0,1,,2,0,15,0,25,,0,0,1,,,,0
14,03928006009,122,03928,006,009,BC15,BC15,7,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,486.447726206721,9576.56438684325,98219,,1,1,44,5,5,1,0,1,800,0,1,,1,0,2,0,3,,0,1,1,,,,0
08,02530008009,075,02530,008,009,Thái Bình,BC15,3,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,0,0,0,0,0,0,1,0,0,0,,,,,,,2022,331.24582381832,6055.35045979039,237361,,0,1,52,9,5,1,0,1,6480,0,1,,2,0,15,0,25,,0,0,1,,,,0
14,03928006011,122,03928,006,011,BC 15,BC15,7,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,486.447726206721,9576.56438684325,120767,,1,1,43,3,4,1,0,1,650,0,1,,1,0,2,0,3,,0,1,1,,,,0
10,02971005005,087,02971,005,005,thái bình,BC15,3,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,9,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,297.861942111197,7329.90903581143,133779,,1,1,53,2,6,1,0,0,10100,1,1,,1,0,21,0,24,,0,1,1,,,,0
64,23778004003,628,23778,004,003,1,BC15,1,1,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2022,185.29614592195,3647.87494412372,201816,,1,1,29,8,6,1,0,1,15500,0,1,,1,0,1,0,8,,0,1,1,,,,0
14,03928006001,122,03928,006,001,BC 15,BC15,7,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,0,0,0,0,1,0,0,0,0,0,,,,,,,2022,486.447726206721,9576.56438684325,90286,,1,1,39,5,2,1,0,1,600,0,1,,1,0,2,0,3,,0,1,1,,,,0
10,02971005003,087,02971,005,003,BC 15,BC15,3,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,9,0,0,0,0,0,0,0,1,0,0,0,,,,,,,2022,297.861942111197,7329.90903581143,65844,,1,1,27,12,3,1,0,1,6980,1,1,,1,0,21,0,24,,0,1,1,,,,0
34,12643007013,339,12643,007,013,C15 kháng khuẩn,BC15,6,,"354/QD-TT-CLT dated November 22, 2022 Decision to extend circulation",No,IRRI-related (P),1,[--],1,3,0,1,0,0,0,0,0,1,0,0,0,,,,,,,2022,1147.24514269814,13443.7522714475,126745,53732.5,0,1,60,9,2,1,0,1,570,0,1,,1,0,5,0,2,,0,1,1,2,0,1,0
