"","ID","Genotype_rec","Genotype","CMD","DMC","Year","Institutional.source.of.this.variety","Pedigree","CIAT.related","CMD.Resistance","Dry.matter.content..in...","X.1","MATINH","ID.y","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"1","10","Dịa phương","sắn nếp/giống địa phương",FALSE,FALSE,NA,NA,NA,"No",NA,NA,353,26,"26-248-8914019011",1428,8914019011,248,8914,19,11,4,1,NA,NA,NA,1,NA,"","ĐẤT VƯỜN",1,1,"sắn nếp",1,6,"",15,2,1,2,1,2,1,10,11,NA,NA,NA,1,4,"","",NA,NA,NA,3000,"Vinh Phuc","RRD"
"2","1002","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,660,62,"62-613-23455005010",1573,23455005010,613,23455,5,10,4,1,2,2,2,1,1,"","VÁC Y NHÔNG 1",1,1,"km140",2,2,"",2,1,1,1,1,1,1,17,11,NA,NA,NA,1,1,"","nhà máy mỳ Kon rẫy",23488,5,NA,23000,"Kon Tum","Central Highlands"
"3","1003","Dịa phương","sắn địa phương",TRUE,TRUE,NA,NA,NA,"No",NA,NA,624,62,"62-610-23350006001",283,23350006001,610,23350,6,1,3,1,2,2,2,1,1,"","THỬA 1",1,1,"sắn địa phương",1,6,"",8,2,1,1,1,2,1,23,8,NA,NA,NA,1,2,"","phương hoa",23371,8,NA,80000,"Kon Tum","Central Highlands"
"4","1005","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,653,62,"62-612-23443003002",297,23443003002,612,23443,3,2,3,1,2,2,2,1,1,"","SUỐI ĐĂK MƠ",2,1,"KM94",2,6,"",5,2,1,1,1,1,1,13,8,NA,NA,NA,1,3,"","Nhà máy tinh bột sắn Đăk Tô",23437,10,NA,93600,"Kon Tum","Central Highlands"
"5","1006","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,651,62,"62-612-23437001010",1553,23437001010,612,23437,1,10,4,1,2,2,2,1,1,"","CÁNH ĐỒNG THÔN 5",1,1,"cao sản",1,6,"",8,2,1,1,1,1,1,19,11,NA,NA,NA,1,1,"","Nhà máy chế biến tinh bột sắn Đăk Tô",23437,8,NA,36000,"Kon Tum","Central Highlands"
"6","1007","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,627,62,"62-610-23353005007",1160,23353005007,610,23353,5,7,1,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"km98-5",1,3,NA,5,2,1,1,1,1,1,7,3,NA,NA,NA,1,2,NA,"nhà máy phương hoa",23371,6,NA,90000,"Kon Tum","Central Highlands"
"7","1008","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,621,62,"62-608-23320001001",1534,23320001001,608,23320,1,1,4,1,2,2,2,1,NA,"","THỬA ĐẤT 1",1,1,"km94",2,2,"",7,2,1,1,1,1,1,10,11,NA,NA,NA,1,1,"","công ty tnhh tinh bột sắn Kon tum",23545,8,NA,95000,"Kon Tum","Central Highlands"
"8","1010","Cao San","Cao sản",TRUE,TRUE,NA,NA,NA,"No",NA,NA,640,62,"62-611-23395004011",773,23395004011,611,23395,4,11,2,1,2,2,2,1,NA,NA,"CÁNH ĐỒNG THÔN BẮC PHONG",1,1,"km95",2,5,NA,4,2,1,2,1,2,1,19,5,NA,NA,NA,1,3,NA,"nhà máy tinh bột sắn ngọc hồi",23386,5,NA,20000,"Kon Tum","Central Highlands"
"9","1011","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,631,62,"62-610-23374007002",759,23374007002,610,23374,7,2,2,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"giống địa phương",1,6,NA,5,2,1,1,1,1,1,13,5,NA,NA,NA,1,2,NA,"nhà máy phương hoa",23371,8,NA,90000,"Kon Tum","Central Highlands"
"10","1012","HL-S11","HL-S11",FALSE,TRUE,8,"IAS","SM937-26 x KM60","Yes","Yes",42,747,64,"64-639-23983012009",393,23983012009,639,23983,12,9,3,1,2,2,2,1,NA,"","BRIÊNG",1,1,"cao sản",1,5,"",4,2,1,1,1,1,1,17,8,NA,NA,NA,1,1,"","99",23983,4,NA,15000,"Gia lai","Central Highlands"
"11","1014","Unknown","",FALSE,TRUE,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1016","Cao San","cao sản",FALSE,FALSE,NA,NA,NA,"No",NA,NA,709,64,"64-632-23888002013",1203,23888002013,632,23888,2,13,1,1,2,2,2,1,NA,NA,"LÀNG  K L Ã",1,1,"cao sản",2,6,NA,3,2,1,1,1,1,1,27,2,NA,NA,NA,1,1,NA,"99",23563,3,NA,70000,"Gia lai","Central Highlands"
"13","1017","Cao San","mỳ cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,697,64,"64-629-23800013002",335,23800013002,629,23800,13,2,3,1,2,2,2,1,NA,"","CÁNH ĐỒNG GLOM",3,1,"mỳ cao sản",1,6,"",6,2,1,1,1,1,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gia lai","Central Highlands"
"14","1018","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,701,64,"64-630-23824014001",339,23824014001,630,23824,14,1,3,1,2,2,2,1,NA,"","M1",1,1,"k94",1,5,"",3,2,1,2,1,2,1,11,8,NA,NA,NA,1,1,"","99",23633,1,NA,24200,"Gia lai","Central Highlands"
"15","1019","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,729,64,"64-637-24112006001",356,24112006001,637,24112,6,1,3,1,2,2,2,1,1,"","THỬA 2",2,1,"KM98.5",2,6,"",2,2,1,1,1,1,1,19,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn Gia Lai",24076,3,NA,182160,"Gia lai","Central Highlands"
"16","1020","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,728,64,"64-637-24091004013",1605,24091004013,637,24091,4,13,4,1,2,2,2,1,NA,"","RUỘNG 1",1,1,"KM140",2,6,"",8,2,1,2,2,2,1,22,11,NA,NA,NA,1,3,"","Nhà máy chế biến tinh bột sắn sắn gia lai",24076,5,NA,240000,"Gia lai","Central Highlands"
"17","1021","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,737,64,"64-637-24115003014",366,24115003014,637,24115,3,14,3,1,2,2,2,1,1,"","BUÔN JI",1,1,"KM94",99,6,"",2,2,1,2,1,1,1,14,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn Gia Lai",24076,5,NA,27600,"Gia lai","Central Highlands"
"18","1022","KM60","KM60/R60/TAI8",FALSE,FALSE,28,"RFCRC","MCol 1684 x R 1","Yes","No",39.5,711,64,"64-632-23926004010",1205,23926004010,632,23926,4,10,1,1,2,2,2,1,NA,NA,"LÀNG HÁT",1,1,"cao sản",2,6,NA,4,2,1,1,1,1,1,4,3,NA,NA,NA,1,1,NA,"99",23563,4,NA,20000,"Gia lai","Central Highlands"
