Name,Year,Institutional source of this variety,Pedigree,CIAT-related,CMD Resistance,Dry matter content (in %)
13Sa05,2020,FCRI,NA,No,No,NA
18Sa07,2023,FCRI,NA,No,No,NA
BK,2019,FCRI,Mother: BKA900,No,No,NA
HL2004-28,2016,TUAF,Mother: KM94,Yes,No,NA
HL-S10,2015,IAS,KM146x KM140,No,No,37.5
HL-S11,2015,IAS,SM937-26 x KM60,Yes,Yes,42
HN1,2023,IITA/AGI,TMEB419,Yes,Yes,NA
HN3,2023,IITA/AGI,ITA-TMS-IBA920057,Yes,Yes,NA
HN36,2023,CIAT/AGI,C-18 x CM7951-5,Yes,Yes,NA
HN5,2022,IITA/AGI,IITA-TMS-IBA980581,Yes,Yes,NA
HN80,2023,CIAT/AGI,C-243 x CM7951-5,Yes,Yes,28.5
HN97,2023,CIAT/AGI,CW257-12 x C243,Yes,Yes,28.5
KM10,2010,IAS,,Yes,,
KM140,2010,IAS,KM 36 x KM98-1,Yes,No,38.5
KM297,2002,CIAT/IAS,Mother: CM9914,Yes,,
KM419,2016,TUAF,BKA900 x (KM98-5 x KM98-5,No,No,NA
KM505,,,,,,
KM539,,,C39 selection,,Yes,
KM568,,,KM440 x (KM419 x KM539),,Yes,
KM60,1995,RFCRC,MCol 1684 x R 1,Yes,No,39.5
KM7,2016,ASINCV,Mother: SM937-26,Yes,No,42
KM94,1995,Kassetsart University/IAS,Rayong1 x Rayong90,Yes,No,40.5
KM95,1995,RFCRC,OMR33-17-15,Yes,,
KM95-3,1998,RFCRC,SM1157-3,Yes,,
KM98,,,CR63/TAI9,Yes,,
KM98-1,2005,RFCRC/IAS,Rayong 1x Rayong 5,Yes,No,38.5
KM98-5,2005,IAS,Rayong 90  * KM 98-1,Yes,,
KM98-7,1998,CIAT/FCRI,Mother: CM321-188,Yes,No,NA
NA1,2012,AGI,Mother: MIF,No,No,
Sa06,2012,FCRI,CMR31-19-23xOMR29-20-118,Yes,No,NA
SM937-26,1995,CIAT/IAS,Mother: SM937,Yes,No,40.3
STB1,2021,ASISOV,KM444,No,No,NA
