indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-1,5.68E-240,9.09E-219,7.70E-234,3.47E-230,7.86E-10,2.65E-118,3.89E-303,5.09E-211,0,0.999999999,0,0,10_Mossambicus,HH_015,Unspecified
Q1-10,1.68E-212,1.05E-202,1.35E-283,1.27E-236,5.52656114291193e-312,1.14E-224,4.8440936542478e-311,1.72E-230,0,0,1.00E-24,1,RIA1,HH_003,Unspecified
Q1-101,6.43E-170,9.05E-159,3.14E-225,8.43E-186,3.29E-253,6.69E-180,1.94E-235,2.41E-172,7.56E-306,0.00E+00,2.72E-22,1,RIA1,HH_002,Unspecified
Q1-104,5.55E-232,4.95E-214,1.58E-228,6.19E-232,8.03E-10,3.35E-117,3.03E-297,1.74E-201,0,0.999999999,0,0,10_Mossambicus,HH_018,Unspecified
Q1-106,1.76E-241,6.47E-220,2.35E-233,6.34E-230,2.89E-13,4.71E-119,1.77E-305,7.47E-208,0,1,0,0,10_Mossambicus,HH_023,Unspecified
Q1-107,3.34E-241,1.41E-221,1.90E-235,9.55E-232,1.70E-06,1.24E-123,3.57E-300,1.73E-209,0,0.999998301,0,0,10_Mossambicus,HH_012,Unspecified
Q1-109,5.72E-254,9.29E-233,3.49E-243,7.65E-242,7.21E-14,8.47E-128,3.74984147596239e-313,1.51E-221,0,1,0,0,10_Mossambicus,HH_026,Unspecified
Q1-11,1.23E-50,1.46E-29,1,2.49E-30,1.23E-41,1.51E-18,3.09E-120,6.02E-44,1.50E-144,4.81E-57,5.52E-91,9.83E-81,03_BEST,HH_032,Unspecified
Q1-111,2.29E-247,1.65E-226,7.68E-235,6.11E-237,9.55E-18,7.28E-120,3.80E-307,1.81E-214,0,1,0,0,10_Mossambicus,HH_023,Unspecified
Q1-114,6.67E-253,2.67E-230,1.95E-237,1.10E-241,1.33E-10,9.20E-129,8.07856906991727e-313,8.91E-221,0,1,0,0,10_Mossambicus,HH_086,Unspecified
Q1-118,8.63E-244,4.94E-223,8.02E-231,2.32E-233,3.88E-12,2.34E-125,2.53E-304,4.02E-212,0,1,0,0,10_Mossambicus,HH_018,Unspecified
Q1-119,1.79E-103,1.67E-93,2.50E-147,2.15E-116,3.15E-136,6.37E-73,5.87E-179,2.57E-104,2.25E-242,1.82E-174,2.74E-17,1,RIA1,HH_006,Unspecified
Q1-125,4.87E-187,2.34E-175,4.35E-245,4.10E-205,3.86E-270,2.70E-189,1.16E-262,1.33E-191,1.26676202863567e-315,4.94065645841247e-324,2.07E-23,1,RIA1,HH_031,Unspecified
Q1-129,3.61E-184,4.23E-176,5.26E-239,5.94E-196,5.39E-279,4.76E-193,1.09E-254,2.32E-194,0.00E+00,0,1.67E-19,1,RIA1,HH_038,Unspecified
Q1-131,9.02E-243,9.40E-222,1.80E-234,1.11E-232,1.47E-05,2.24E-120,1.86E-299,8.26E-213,0,0.999985345,0,0,10_Mossambicus,HH_020,Unspecified
Q1-132,2.70E-252,6.33E-232,2.50E-237,4.54E-240,3.36E-14,7.81E-125,1.2381119925899e-312,3.79E-222,0,1,0,0,10_Mossambicus,HH_030,Unspecified
Q1-135,1.54E-242,6.56E-220,6.99E-224,9.70E-230,1.39E-06,1.87E-120,2.23E-299,4.16E-209,0,0.99999861,0,0,10_Mossambicus,HH_014,Unspecified
Q1-139,1.87E-233,3.35E-213,2.92E-224,1.98E-225,0.008367385,2.84E-117,2.62E-281,1.34E-203,0,0.991632615,0,0,10_Mossambicus,HH_034,Unspecified
Q1-141,4.88E-179,9.41E-154,3.49E-175,1.15E-164,1,9.60E-79,1.39E-231,7.19E-144,0,7.52E-12,0,0,05_Molobicus,HH_035,Unspecified
Q1-144,2.37E-143,2.95E-137,4.50E-185,2.83E-157,4.08E-200,8.41E-141,1.47E-213,3.70E-150,1.25E-256,3.83E-254,3.25E-13,1,RIA1,HH_032,Unspecified
Q1-145,3.01E-250,5.58E-231,2.93E-241,1.60E-236,1.59E-14,2.48E-124,8.78E-304,1.27E-216,0,1,0,0,10_Mossambicus,HH_030,Unspecified
