indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-100,1.81E-211,7.06E-203,4.68E-274,5.53E-235,1.43E-296,1.00E-222,3.38E-305,2.87E-224,0,0,7.12E-17,1,RIA1,Ha_29,Unspecified
Q1-105,1.68E-167,5.57E-166,6.85E-226,1.10E-184,4.68E-254,1.58E-175,6.23E-250,4.36E-180,1.01953209575531e-314,4.96E-305,5.44E-13,1,RIA1,Ha_35,Unspecified
Q1-108,2.32E-205,5.92E-200,5.00E-266,2.64E-230,3.74E-288,7.23E-212,1.71E-286,1.12E-214,0,0,1.30E-16,1,RIA1,Ha_30,Unspecified
Q1-112,8.85E-169,8.35E-167,8.36E-229,1.02E-189,3.38E-253,3.07E-179,2.69E-269,2.73E-177,7.82E-290,2.62740964753712e-310,3.62E-14,1,RIA1,Ha_22,Unspecified
Q1-115,7.93E-225,1.29E-214,2.22E-280,2.16E-248,3.80308527905206e-316,5.14E-235,0,8.02E-236,0,0,5.83E-14,1,RIA1,Ha_11,Unspecified
Q1-117,1.22E-181,7.05E-176,1.53E-246,4.67E-200,7.48E-267,1.35E-190,6.23E-269,1.66E-190,8.81E-303,0,7.75E-23,1,RIA1,Ha_33,Unspecified
Q1-120,3.68E-224,9.46E-225,1.78E-291,1.97E-251,4.61923266526317e-317,2.70E-232,1.01663887944753e-319,1.77E-244,0,0,1.93E-20,1,RIA1,Ha_39,Unspecified
Q1-124,4.60E-199,7.92E-202,1.49E-264,1.10E-227,1.46E-298,3.47E-219,2.97282254356339e-314,5.27E-221,0,0,8.87E-05,0.999911328,RIA1,Ha_18,Unspecified
Q1-126,2.42E-168,1.93E-167,1.02E-228,9.28E-185,1.06E-263,3.61E-187,1.02E-271,6.94E-182,2.58E-281,9.88131291682493e-324,2.97E-07,0.999999703,RIA1,Ha_39,Unspecified
Q1-128,4.57E-46,2.78E-36,2.00E-103,4.23E-67,1.20E-47,1.31E-31,9.33E-122,1.64E-52,1.79E-216,2.92E-102,5.74E-15,1,RIA1,Ha_16,Unspecified
Q1-13,8.81E-197,9.26E-195,9.43E-261,6.59E-220,2.79E-294,2.86E-214,5.40E-301,9.24E-217,0,0,1.61E-23,1,RIA1,Ha_12,Unspecified
Q1-130,4.20E-171,1.97E-161,1.40E-231,1.18E-183,1.14E-261,5.29E-178,1.99E-251,4.47E-175,2.93E-303,1.27554779432376e-311,2.04E-23,1,RIA1,Ha_27,Unspecified
Q1-136,1.48E-202,2.90E-206,4.24E-265,5.70E-232,1.26E-304,1.35E-219,0,4.04E-227,0,0,1.35E-13,1,RIA1,Ha_18,Unspecified
Q1-137,1.20E-178,4.95E-180,1.47E-244,1.92E-214,3.94E-284,3.33E-204,6.16E-284,1.67E-203,0,0,1.85E-20,1,RIA1,Ha_30,Unspecified
Q1-138,2.20E-213,7.66E-210,8.17E-274,4.17E-240,2.07637239462946e-310,1.31E-223,1.16E-304,1.92E-230,0,0,1.88E-16,1,RIA1,Ha_17,Unspecified
Q1-14,4.14E-206,7.35E-206,6.76E-271,9.77E-231,2.15E-301,2.10E-220,8.07E-308,9.71E-224,0,0,3.35E-10,1,RIA1,Ha_18,Unspecified
