indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
ST1-1,3.86E-215,1.02E-215,4.91E-285,1.27E-248,0.00E+00,1.06E-231,1.96791287395027e-319,5.37E-237,0,0,1.30E-22,1,RIA1,GIFT_13th,Unspecified
ST1-10,6.19E-223,2.87E-220,2.91E-290,2.84E-252,3.36090625911737e-317,3.07E-237,0,4.20E-239,0,0,1.11E-30,1,RIA1,GIFT_13th,Unspecified
ST1-11,2.36E-214,4.09E-211,2.45E-279,7.09E-244,5.12579959309177e-310,6.93E-230,0,8.28E-231,0,0,1.07E-27,1,RIA1,GIFT_13th,Unspecified
ST1-12,4.17E-223,5.92E-219,5.06E-288,7.68E-251,0,8.14E-242,0,4.30E-246,0,0,1.48E-24,1,RIA1,GIFT_13th,Unspecified
ST1-13,3.47E-233,1.30E-226,6.55E-300,9.15E-263,0,8.65E-248,0,2.69E-254,0,0,1.69E-21,1,RIA1,GIFT_13th,Unspecified
ST1-14,5.67E-212,1.60E-204,9.03E-284,4.90E-232,2.12E-292,3.39E-213,7.80E-296,2.80E-222,0,0,2.29E-29,1,RIA1,GIFT_13th,Unspecified
ST1-15,1.12E-193,1.33E-187,3.91E-257,3.56E-216,4.20E-291,1.39E-206,3.25E-298,9.70E-208,0,0,6.53E-26,1,RIA1,GIFT_13th,Unspecified
ST1-16,8.83E-224,4.06E-215,4.10E-289,1.46E-244,1.97626258336499e-323,9.80E-236,0,3.64E-241,0,0,1.96E-27,1,RIA1,GIFT_13th,Unspecified
ST1-17,5.46E-219,7.75E-223,6.34E-291,1.09E-245,4.94065645841247e-324,8.83E-236,3.15146442086058e-317,5.37E-246,0,0,2.84E-21,1,RIA1,GIFT_13th,Unspecified
ST1-18,9.25E-210,2.59E-208,3.45E-286,6.05E-247,2.76811969652002e-314,1.71E-230,8.60E-299,1.15E-232,0,0,2.77E-21,1,RIA1,GIFT_13th,Unspecified
ST1-19,1.26E-234,1.21E-230,5.10E-305,6.48E-270,0,1.26E-248,0,1.11E-254,0,0,1.17E-27,1,RIA1,GIFT_13th,Unspecified
