"","I_Q2","total_samples","S1_Strain","S1_StrainB","S2_Strain","S2_StrainB","S3_Strain","S3_StrainB"
"1",36311466,3,"GenoMAR Gain","GIFT-derived",NA,NA,NA,NA
"2",326221322,2,"RIA1","GIFT-derived",NA,NA,NA,NA
"3",328284324,4,"RIA1","GIFT-derived","RIA1","GIFT-derived",NA,NA
"4",342296346,3,"RIA1","GIFT-derived","RIA1","GIFT-derived",NA,NA
"5",342504172,3,"RIA1","GIFT-derived","RIA1","GIFT-derived",NA,NA
"6",343850999,3,"RIA1","GIFT-derived","RIA1","GIFT-derived",NA,NA
"7",349411068,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"8",349445875,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"9",353343678,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"10",353492590,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"11",364226416,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"12",367212746,2,"RIA1","GIFT-derived",NA,NA,NA,NA
"13",372758738,3,"Molobicus","GIFT-derived",NA,NA,NA,NA
"14",376111859,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"15",377224722,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"16",377977122,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"17",383050340,5,"RIA1","GIFT-derived","RIA1","GIFT-derived",NA,NA
"18",383611625,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"19",386633289,1,"RIA1",NA,NA,NA,NA,NA
"20",386868832,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"21",388902726,6,"RIA1","GIFT-derived","RIA1","GIFT-derived","RIA1","GIFT-derived"
"22",394727427,2,"RIA1","GIFT-derived",NA,NA,NA,NA
"23",396504572,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"24",398990955,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"25",399928888,5,"GenoMAR Gain","GIFT-derived","Unassigned",NA,NA,NA
"26",827331888,6,"RIA1","GIFT-derived","RIA1","GIFT-derived",NA,NA
"27",833731191,5,"RIA1","GIFT-derived","RIA1","GIFT-derived",NA,NA
"28",837843579,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"29",839994539,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"30",902669429,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"31",903472918,3,"RIA1","GIFT-derived",NA,NA,NA,NA
"32",905197325,3,"RIA1","GIFT-derived",NA,NA,"RIA1","GIFT-derived"
"33",909645640,3,"RIA1","GIFT-derived",NA,NA,NA,NA
