...1,Province_ID,SubmissionDate,start,end,today,deviceid,Enumerator_ID,District_name,Commune_name,Hatchery_ID,I_Q3,I_Q4,I_Q4o,Start.PlotRoster,numplots,plot_roster_count,plotnum_1,R_Q1_1,R_Q2_1,R_Q2o_1,R_Q3_1,R_Q3_0_1,R_Q301_1,R_Q3a_1,District_name_source_1,Commune_name_source_1,R_Q4_1,R_Q4a_1,R_Q5_1,R_Q6_1,R_Q7_1,R_Q8_1,R_Q8a_1,R_Q8b_1,R_Q8c_1,R_Q9_1,R_Q10_1,plotnum_2,R_Q1_2,R_Q2_2,R_Q2o_2,R_Q3_2,R_Q3_0_2,R_Q301_2,R_Q3a_2,District_name_source_2,Commune_name_source_2,R_Q4_2,R_Q4a_2,R_Q5_2,R_Q6_2,R_Q7_2,R_Q8_2,R_Q8a_2,R_Q8b_2,R_Q8c_2,R_Q9_2,R_Q10_2,plotnum_3,R_Q1_3,R_Q2_3,R_Q2o_3,R_Q3_3,R_Q3_0_3,R_Q301_3,R_Q3a_3,District_name_source_3,Commune_name_source_3,R_Q4_3,R_Q4a_3,R_Q5_3,R_Q6_3,R_Q7_3,R_Q8_3,R_Q8a_3,R_Q8b_3,R_Q8c_3,R_Q9_3,R_Q10_3,R_Q11,R_Q12,R_Q11b,R_Q11c,R_Q11c_option_1,R_Q11c_option_2,R_Q11c_option_3,R_Q11c_option_4,R_Q11c_option_5,R_Q11c_option_6,R_Q11c_option_7,R_Q11c1,End.PlotRoster,Sampling_roster_count,Samplenum_1,Strain_name_1,S_Q0b_1,S_Q1.Altitude_1,S_Q1.Accuracy_1,S_Q2_1,Ponds_1,Sample_count_1,S_Q10_1_1,S_Q10b_1_1,S_Q10_1_2,S_Q10b_1_2,S_Q10_1_3,S_Q10b_1_3,Samplenum_2,Strain_name_2,S_Q0b_2,S_Q1.Latitude_2,S_Q1.Longitude_2,S_Q1.Altitude_2,S_Q1.Accuracy_2,S_Q2_2,Ponds_2,Sample_count_2,S_Q10_2_1,S_Q10b_2_1,S_Q10_2_2,S_Q10b_2_2,S_Q10_2_3,S_Q10b_2_3,Samplenum_3,Strain_name_3,S_Q0b_3,S_Q1.Latitude_3,S_Q1.Longitude_3,S_Q1.Altitude_3,S_Q1.Accuracy_3,S_Q2_3,Ponds_3,Sample_count_3,S_Q10_3_1,S_Q10b_3_1,S_Q10_3_2,S_Q10b_3_2,S_Q10_3_3,S_Q10b_3_3,nb_samples,End.Sampling_roster,Dur.Roster,Dur.Sampling,signature,End_Comments,X__version__,instanceID,formdef_version,KEY,X,S1_ID,S1_assign,S2_ID,S2_assign,S3_ID,S3_assign,S4_ID,S4_assign,S5_ID,S5_assign,S6_ID,S6_assign,S7_ID,S7_assign,S8_ID,S8_assign,S9_ID,S9_assign,total_samples,Str1_similar,Str2_similar,Str3_similar,Str1_dominant,Str2_dominant,Str3_dominant,Strain_present_1_sample,Strain_present_1_pond,Province_name,Region,CSMAP,R_Q8_rec,GIFT_for_sale,Origin_fin,S_Q1.Latitude_anonymized,S_Q1.Longitude_anonymized
1,2,4/25/2023 17:00,4/25/2023 16:05,4/25/2023 16:26,25-Apr-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,Vị xuyên,Đạo đức,250401,Cán bộ kỹ thuật,option_5,Đơn vị sự nghiệp công lập thuộc sở nông nghiệp hà giang,16:09:00,1,1,1,Trại cá nhập lâu nên không nhớ dòng cá là gì vì lấy giống ở Hải Dương,option_3,,Viện nghiên cứu giống cá nước ngọt miền bắc ở hải dương,option_1,964376315,30,Phú tảo,Phú tảo,option_2,,,,option_99,20,option_3,option_2,0,1000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_1,Tên giống không biết vì là giống nhập từ hải dương về nên không biết rõ tên giống,option_2,,,,,,,,,,16:21:00,1,1,Trại cá nhập lâu nên không nhớ dòng cá là gì vì lấy giống ở Hải Dương,1,96.5,8,18,1 cơ sở,3,Q1-083,,Q1-277,,Q1-466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16:23:00,11,2,https://vhlss23test.surveycto.com/view/submission-attachment/1682414635903.jpg?uuid=uuid%3A65a6e7ae-607e-4b2f-a9c8-92c68cfd2840,"Lưu ye về bảng hỏi tên trại giống ( đã viết cụ thể lại ) , tên dòng cá khoing nhớ ( vì nhập lâu nên k nắm rõ) , và tên trại cá nhập giống ở hải dương ( lưu ý vì chủ trại nhớ không rõ )",vPLgT4JJBcbPzUGUssuxcS,uuid:65a6e7ae-607e-4b2f-a9c8-92c68cfd2840,2304241104,uuid:65a6e7ae-607e-4b2f-a9c8-92c68cfd2840,23,Q1-083,RIA1,Q1-277,RIA1,Q1-466,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Ha Giang,2_NMMA,,2.00E+05,FALSE,FALSE,22.7131686,104.9969984
2,4,6/27/2023 6:32,6/26/2023 10:17,6/26/2023 12:48,26-Jun-23,668fa2006a285b94,1,51,1708,0,Phụ trách trại,option_1,,09:21:21,2,2,1,Đường nghiệp,option_1,,A hai,option_1,946500601,27,261,9394,option_1,option_1,option_2,,option_99,10,option_3,option_1,99,1500,5,2,Đường nghiệp,option_3,,"Trại cá phú bình, a luân",option_1,985088743,19,173,,option_1,option_2,option_2,,option_99,3,option_3,option_1,90,1500,5,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_7,0,0,0,0,0,0,1,"Dàn cá bố mẹ và kỹ thuật từ năm 2010, của thái nguyên",09:35:18,2,1,Đường nghiệp,1,212.4,4.9,5,1 cơ sở,3,,Q31279,,Q2503,,Q31295,2,Đường nghiệp,2,22.6521663,106.1880824,183.2,4.3,17,2 cơ sở (2:1),3,,Q2585,,Q31196,,Q31168,,,,,,,,,,,,,,,,,6,10:20:51,13,45,https://vhlss23test.surveycto.com/view/submission-attachment/1687753223951.jpg?uuid=uuid%3Ac086e907-a805-4cbf-b9f9-4a0e4e5c053a,"Trai nhập 2 đợt 1 năm thường là bán hết, chỉ nuôi ít để kiểm tra giống, từ 2010 có đc hỗ trợ cá bố mẹ và kĩ thuật trường nông lám thái nguyên",vPLgT4JJBcbPzUGUssuxcS,uuid:c086e907-a805-4cbf-b9f9-4a0e4e5c053a,2306161529,uuid:c086e907-a805-4cbf-b9f9-4a0e4e5c053a,26,Q3-1279,RIA1,Q2-503,RIA1,Q3-1295,RIA1,Q2-585,RIA1,Q3-1196,RIA1,Q3-1168,RIA1,,,,,,,6,TRUE,TRUE,FALSE,RIA1,RIA1,,GIFT-derived,GIFT-derived,Tinh Cao Bang,2_NMMA,,1.00E+05,FALSE,FALSE,22.61801746,106.1708101
3,4,4/28/2023 16:29,4/28/2023 16:17,4/28/2023 16:29,28-Apr-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,Thành phố cao bằng,Hưng đạo,280401,Quản lý trại cá,option_4,,16:20:00,1,1,1,Bảo lộc,option_3,,Trại cá bắc giang,option_2,,24,Thành phố bắc giang,Thành phố bắc giang,option_1,option_1,option_2,,option_99,3,option_3,option_2,0,1500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,16:25:00,1,1,Bảo lộc,1,196.2,16,15,1 cơ sở,3,,Q1-343,Q1-289,,Q1-315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16:28:00,4,3,https://vhlss23test.surveycto.com/view/submission-attachment/1682674126969.jpg?uuid=uuid%3Ad3e9ed21-996d-4048-aa69-80d3a579ce26,Lưu ý về mã huyện và xã nhập cá của trại cá vì là ở thành phố bắc giang,vPLgT4JJBcbPzUGUssuxcS,uuid:d3e9ed21-996d-4048-aa69-80d3a579ce26,2304241104,uuid:d3e9ed21-996d-4048-aa69-80d3a579ce26,24,Q1-343,RIA1,Q1-289,RIA1,Q1-315,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Cao Bang,2_NMMA,,30000,FALSE,FALSE,22.70860186,106.1487552
4,6,10/02/2023 18:56,10/02/2023 14:51,10/02/2023 15:58,02-Oct-23,3.58E+14,1,63,2008,2911,Trại trưởng,option_1,,14:39:19,1,1,1,Đường Nghiệp,option_4,,Công ty Thủy sản Cường Dung,option_1,915144419,27,261,9394,option_1,option_1,option_2,,option_2,50,option_3,option_2,0,1500,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,14:46:20,1,1,Đường Nghiệp,1,140.3,7,5,1 cơ sở,3,,Q5-1175,,Q5-1477,,Q5-1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14:49:29,7,3,https://vhlss23test.surveycto.com/view/submission-attachment/1696236581687.jpg?uuid=uuid%3A667d8bbd-562f-4536-9fdb-60c6915d5602,Cá nhỏ,vPLgT4JJBcbPzUGUssuxcS,uuid:667d8bbd-562f-4536-9fdb-60c6915d5602,2306161529,uuid:667d8bbd-562f-4536-9fdb-60c6915d5602,77,Q5-1175,RIA1,Q5-1477,RIA1,Q5-1082,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Bac Kan,2_NMMA,,5.00E+05,FALSE,FALSE,22.21129106,105.8308824
5,8,6/23/2023 19:10,6/23/2023 16:45,6/23/2023 18:05,23-Jun-23,668fa2006a285b94,1,75,2488,220601,Chủ hộ,option_4,,16:58:33,2,2,1,Đường nghiệp,option_4,,Không nhớ,option_1,377679659,26,,,option_1,option_1,option_2,,option_99,7,option_3,option_1,99,900,4,2,Bảo lộc,option_4,,Ko nhớ,option_1,377679659,26,246,,option_1,option_1,option_2,,option_99,12,option_3,option_1,99,1000,4,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,17:13:02,2,1,Đường nghiệp,1,59.4,4.8,17,1 cơ sở,3,,Q2675,,Q2552,,Q41566,2,Bảo lộc,1,21.8198364,105.1697622,14.4,4.9,7,1 cơ sở,3,,Q2659,,Q31434,,Q31261,,,,,,,,,,,,,,,,,6,18:03:24,14,50,https://vhlss23test.surveycto.com/view/submission-attachment/1687518216552.jpg?uuid=uuid%3A3dcfe2d2-d067-4acf-b984-a4d2d40b76aa,Chủ yếu bán cho hộ dân và đại lý đến lấy,vPLgT4JJBcbPzUGUssuxcS,uuid:3dcfe2d2-d067-4acf-b984-a4d2d40b76aa,2306161529,uuid:3dcfe2d2-d067-4acf-b984-a4d2d40b76aa,3,,,Q2-552,RIA1,,,Q2-659,RIA1,Q3-1434,RIA1,Q3-1261,RIA1,,,,,,,4,FALSE,TRUE,FALSE,None,RIA1,,GIFT-derived,GIFT-derived,Tinh Tuyen Quang,2_NMMA,,70000,FALSE,FALSE,21.80890881,105.1817562
6,8,4/22/2023 19:17,4/21/2023 17:48,4/22/2023 19:14,21-Apr-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,Sơn dương,Sơn dương,2101,Phụ trách,option_2,,15:51:00,1,1,1,Đường nghiệp,option_4,,Trung tâm trại cá uông bí quảng ninh,,,22,Sơn dương,Sơn dương,option_1,option_1,option_2,,option_2,6,option_3,option_2,0,1000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,15:56:00,1,1,Đường nghiệp,1,70.2,12,20,1 cơ sở,3,Q1-246,,Q1-115,,Q1-246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17:33:00,4,97,,"Lưu ý lại mã số trại , mã số huyện xã , mẫu này là ở trại cá ( không có trong danh sách khảo sát ) ở sơn dương tuyên quang",vPLgT4JJBcbPzUGUssuxcS,uuid:565ab5be-7cfd-4e2d-8ddd-13b1f4c5559e,2304200923,uuid:565ab5be-7cfd-4e2d-8ddd-13b1f4c5559e,61,Q1-246,RIA1,Q1-115,RIA1,Q1-246,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Tuyen Quang,2_NMMA,,60000,FALSE,FALSE,21.67614473,105.4536104
7,8,10/03/2023 18:44,10/03/2023 18:14,10/03/2023 18:44,03-Oct-23,3.58E+14,1,74,2398,31001,Chủ trại cá,option_4,,18:15:30,2,2,1,Bảo lộc,option_4,,Công ty nguyễn đức trí,option_1,399928888,30,298,11086,option_1,option_1,option_2,,option_2,15,option_3,option_2,0,2000,5,2,Đường nghiệp,option_4,,99,option_1,342894742,22,205,7069,option_1,option_1,option_1,option_3,option_2,30,option_3,option_2,,1000,5,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,18:26:59,2,1,Bảo lộc,0,6,16,,3 cơ sở ngẫu nhiên (1:1:1,3,,,,,,,2,Đường nghiệp,1,22.1118092,104.9987915,2,17.2,5,1 cơ sở,3,Q5-1109,,Q5-1333,,Q5-1457,,,,,,,,,,,,,,,,,,6,18:43:31,11,16,https://vhlss23test.surveycto.com/view/submission-attachment/1696333420812.jpg?uuid=uuid%3A48c56889-809e-478c-a774-d9739ee47b26,"Trại trong 12 tháng qua có 2 dòng, nhưng hiện nay chỉ có 1 dòng đường nghiệp. Nên chỉ lấy 3 mẫu cá dòng đường nghiệp",vPLgT4JJBcbPzUGUssuxcS,uuid:48c56889-809e-478c-a774-d9739ee47b26,2306161529,uuid:48c56889-809e-478c-a774-d9739ee47b26,67,,,,,,,Q5-1109,RIA1,Q5-1333,RIA1,Q5-1457,03_BEST,,,,,,,3,FALSE,FALSE,FALSE,,None,,GIFT-derived,Other,Tinh Tuyen Quang,2_NMMA,,150000,FALSE,FALSE,22.08094781,104.98855
8,8,4/24/2023 18:41,4/24/2023 18:17,4/24/2023 18:26,24-Apr-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,Na hang,Sơn phú,240401,Chủ trại,option_4,,18:19:00,1,1,1,Không nhớ,option_4,,Trại cá cường ở bắc kan,option_2,,6,Na hang,Sơn phú,option_1,option_1,option_2,,option_99,1,option_4,option_2,0,1500,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,18:24:00,1,1,Không nhớ,1,220.3,6,15,1 cơ sở,3,Q1-146,,Q1-128,,Q1-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18:25:00,5,0,https://vhlss23test.surveycto.com/view/submission-attachment/1682335552473.jpg?uuid=uuid%3A2e511e51-c7b6-4708-8a7d-fc68b4182d79,Lưu ý phần giá bán và nhập cá vì trại cá đã lâu rồi k bán cá giống hay nhập về,vPLgT4JJBcbPzUGUssuxcS,uuid:2e511e51-c7b6-4708-8a7d-fc68b4182d79,2304241104,uuid:2e511e51-c7b6-4708-8a7d-fc68b4182d79,13,Q1-146,05_Molobicus,Q1-128,RIA1,Q1-016,05_Molobicus,,,,,,,,,,,,,3,FALSE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Tuyen Quang,2_NMMA,,900,FALSE,FALSE,22.39494376,105.4580555
9,8,6/24/2023 13:12,6/24/2023 9:35,6/24/2023 11:05,24-Jun-23,668fa2006a285b94,1,70,2512,240601,Phụ trách đơn vị,option_1,,09:38:03,2,2,1,Đường nghiệp,option_6,Tự sản xuất,Trung tâm giống thủy sản,option_1,914095880,8,70,2512,option_2,,,,option_99,110,option_3,option_1,99,1000,5,2,Bảo lộc,option_4,,Không nhớ,option_2,,31,316,,option_1,option_1,option_2,,option_99,20,option_3,option_1,99,1500,5,,,,,,,,,,,,,,,,,,,,,,option_1,Đường nghiệp,option_1,option_2,0,1,0,0,0,0,0,,09:51:47,2,1,Đường nghiệp,10,30.4,4.9,5,3 cơ sở ngẫu nhiên (1:1:1,3,,Q2627,,Q31314,,Q31452,2,Bảo lộc,2,21.7588403,105.19842,32.2,4.2,18,2 cơ sở (2:1),3,,Q2597,,Q41524,,Q31487,,,,,,,,,,,,,,,,,6,10:05:56,13,14,https://vhlss23test.surveycto.com/view/submission-attachment/1687579450032.jpg?uuid=uuid%3Ab3e83812-4422-48aa-963d-2e2ab5780a4b,TT có cá bố mẹ sx giống đơn tính khoảng 75-95  phần trăm tùy thời tiết,vPLgT4JJBcbPzUGUssuxcS,uuid:b3e83812-4422-48aa-963d-2e2ab5780a4b,2306161529,uuid:b3e83812-4422-48aa-963d-2e2ab5780a4b,27,Q2-627,RIA1,Q3-1314,RIA1,,,Q2-597,RIA1,Q4-1524,RIA1,Q3-1487,RIA1,,,,,,,5,TRUE,TRUE,FALSE,RIA1,RIA1,,GIFT-derived,GIFT-derived,Tinh Tuyen Quang,2_NMMA,,1100000,FALSE,TRUE,21.78531305,105.2351668
10,10,4/22/2023 17:14,4/22/2023 16:36,4/22/2023 16:46,22-Apr-23,3.58E+14,5,Bảo Thắng,Phú Nhuận,2949,Kế toán,option_1,,15:39:28,1,1,1,Đường Nghiệp,option_4,,99,,,20,99,99,option_1,option_2,option_1,option_3,option_99,10,option_3,option_2,0,600,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,15:40:47,1,1,Đường Nghiệp,1,62.2,13.1,20,1 cơ sở,3,,Q1-477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15:41:44,1,0,https://vhlss23test.surveycto.com/view/submission-attachment/1682156513924.jpg?uuid=uuid%3A5b239835-bef4-45c3-941f-889cc42d48b5,"Phiếu nhập lại nên định vị trong phiếu không chính xác, tọa độ chính xác là:
Tọa độ: N 22°15'21""
Kinh độ: E 104°10'29""
Độ cao: 58,5m
Độ chính xác: 10m",vPLgT4JJBcbPzUGUssuxcS,uuid:5b239835-bef4-45c3-941f-889cc42d48b5,2304211647,uuid:5b239835-bef4-45c3-941f-889cc42d48b5,19,Q1-477,RIA1,,,,,,,,,,,,,,,,,1,FALSE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Lao Cai,2_NMMA,,1.00E+05,FALSE,FALSE,22.49834583,103.9957428
