"IDHO","HOSO","MATINH","MAHUYEN","MAXA","MADIABAN","ethnic","THUNHAP","TONGCHITIEU","rls_head","age","edu_grade","KYDIEUTRA","n_member","male","female","internet","land_area_sum","poor_commune","dummy_main_str","dist_main_str","type_main_str","dummy_local_market_wholesale","dist_market_wholesale","dummy_irrigation","dist_irrigation","farmer_participation_pct","dummy_protection_staff","panel","main_str_asphalt"
"00379009003","003","01","016","00379","009",0,353237,83718.5,1,33,12,7,4,0,1,1,1800,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009005","005","01","016","00379","009",0,331919,NA,1,32,12,7,4,1,0,1,1080,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009006","006","01","016","00379","009",0,309169,NA,1,56,5,7,6,1,0,0,2880,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009007","007","01","016","00379","009",0,321047,NA,1,63,9,7,6,1,0,1,2880,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009008","008","01","016","00379","009",0,166509,106924.5,1,52,9,7,2,1,0,1,2160,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009010","010","01","016","00379","009",0,88345,NA,1,49,7,7,3,1,0,1,2520,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009012","012","01","016","00379","009",0,258419,NA,1,40,5,7,5,1,0,1,1440,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009013","013","01","016","00379","009",0,606335,123008,1,50,9,7,4,1,0,1,2148,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009014","014","01","016","00379","009",0,44172,NA,1,63,5,7,1,0,1,0,672,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00379009015","015","01","016","00379","009",0,69698,NA,1,40,9,7,3,0,1,1,672,0,1,NA,1,0,2,0,25,NA,1,"2022 (n = 13939)",1
"00400011006","006","01","016","00400","011",0,273420,NA,1,63,9,5,5,0,1,0,1800,0,1,NA,1,0,2,1,5,100,1,"2022 (n = 13939)",1
"00400011008","008","01","016","00400","011",0,62495,NA,1,62,9,5,2,1,0,0,1440,0,1,NA,1,0,2,1,5,100,1,"2022 (n = 13939)",1
"00400011012","012","01","016","00400","011",0,57717,NA,1,61,9,5,5,1,0,0,1440,0,1,NA,1,0,2,1,5,100,1,"2022 (n = 13939)",1
"00415003003","003","01","016","00415","003",0,186409,NA,1,56,9,7,6,1,0,1,1620,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003004","004","01","016","00415","003",0,39883,NA,1,58,9,7,4,0,1,0,552,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003005","005","01","016","00415","003",0,29378,NA,1,65,9,7,3,1,0,1,1860,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003006","006","01","016","00415","003",0,243540,NA,1,67,5,7,5,1,0,0,1440,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003007","007","01","016","00415","003",0,148320,NA,1,62,9,7,5,0,1,0,1440,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003009","009","01","016","00415","003",0,273962,NA,1,36,9,7,5,1,0,1,1440,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003014","014","01","016","00415","003",0,155998,195811.5,1,27,12,7,5,1,0,1,720,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003015","015","01","016","00415","003",0,367485,118186,1,48,8,7,4,1,0,1,540,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00415003017","017","01","016","00415","003",0,809027,NA,1,54,9,7,9,1,0,1,1800,0,1,NA,1,1,5,1,5,100,1,"2022 (n = 13939)",1
"00433007001","001","01","016","00433","007",0,277199,0,1,50,12,2,5,0,1,1,1080,0,1,NA,1,0,5,1,5,95,1,"2022 (n = 13939)",1
"00433007003","003","01","016","00433","007",0,112753,0,1,46,9,2,4,1,0,1,1080,0,1,NA,1,0,5,1,5,95,1,"2022 (n = 13939)",1
"00433007004","004","01","016","00433","007",0,324503,0,1,66,6,2,6,1,0,1,2880,0,1,NA,1,0,5,1,5,95,1,"2022 (n = 13939)",1
"00433007005","005","01","016","00433","007",0,227221,0,1,35,9,2,5,1,0,1,3432,0,1,NA,1,0,5,1,5,95,1,"2022 (n = 13939)",1
"00433007008","008","01","016","00433","007",0,92304,0,1,67,6,2,2,1,0,1,1350,0,1,NA,1,0,5,1,5,95,1,"2022 (n = 13939)",1
"00433007009","009","01","016","00433","007",0,222958,0,1,47,12,2,5,1,0,1,360,0,1,NA,1,0,5,1,5,95,1,"2022 (n = 13939)",1
"00460011001","001","01","017","00460","011",0,427309,NA,1,76,12,10,7,1,0,1,1080,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00460011002","002","01","017","00460","011",0,364567,NA,1,68,9,10,7,1,0,1,1980,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00460011005","005","01","017","00460","011",0,273056,NA,1,54,5,10,3,1,0,1,1440,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00460011006","006","01","017","00460","011",0,332713,NA,1,69,5,10,6,1,0,1,1800,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00460011008","008","01","017","00460","011",0,231889,NA,1,38,12,10,4,1,0,1,900,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00460011010","010","01","017","00460","011",0,160489,NA,1,36,12,10,6,0,1,1,720,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00460011012","012","01","017","00460","011",0,557565,NA,1,59,9,10,6,1,0,1,950,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00460011013","013","01","017","00460","011",0,358012,215608,1,74,9,10,7,1,0,1,1620,0,1,NA,1,0,8,0,9,NA,1,"2022 (n = 13939)",1
"00484026001","001","01","017","00484","026",0,78907,0,1,57,8,1,5,0,1,1,1080,0,1,NA,1,0,0.1,0,10,NA,1,"2022 (n = 13939)",1
"00484026003","003","01","017","00484","026",0,190753,0,1,67,12,1,2,1,0,1,1080,0,1,NA,1,0,0.1,0,10,NA,1,"2022 (n = 13939)",1
"00484026004","004","01","017","00484","026",0,130108,0,1,62,9,1,2,1,0,1,1620,0,1,NA,1,0,0.1,0,10,NA,1,"2022 (n = 13939)",1
"00484026006","006","01","017","00484","026",0,140760,0,1,39,9,1,6,1,0,1,1260,0,1,NA,1,0,0.1,0,10,NA,1,"2022 (n = 13939)",1
"00484026014","014","01","017","00484","026",0,183941,142984,1,48,4,1,4,1,0,1,360,0,1,NA,1,0,0.1,0,10,NA,1,"2022 (n = 13939)",1
"00499025001","001","01","017","00499","025",0,433192,NA,1,55,9,12,7,0,1,0,1080,0,1,NA,1,0,3,0,10,NA,1,"2022 (n = 13939)",1
"00499025002","002","01","017","00499","025",0,255421,NA,1,59,9,12,3,0,1,0,1080,0,1,NA,1,0,3,0,10,NA,1,"2022 (n = 13939)",1
"00499025011","011","01","017","00499","025",0,78588,NA,1,65,5,12,3,0,1,0,2520,0,1,NA,1,0,3,0,10,NA,1,"2022 (n = 13939)",1
"00508034001","001","01","017","00508","034",0,312901,NA,1,66,12,5,7,1,0,1,2160,0,1,NA,1,1,5,0,7,NA,1,"2022 (n = 13939)",1
"00529008001","001","01","018","00529","008",0,243216,0,1,47,9,6,4,1,0,1,1150,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008002","002","01","018","00529","008",0,224976,0,1,34,9,6,4,1,0,1,1080,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008004","004","01","018","00529","008",0,199007,0,1,37,9,6,4,1,0,1,576,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008005","005","01","018","00529","008",0,165265,0,1,55,9,6,2,0,1,0,1440,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008007","007","01","018","00529","008",0,355537,0,1,44,9,6,6,1,0,1,720,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008008","008","01","018","00529","008",0,502059,0,1,31,9,6,6,1,0,1,1440,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008010","010","01","018","00529","008",0,585690,0,1,43,7,6,4,1,0,1,720,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008011","011","01","018","00529","008",0,108672,0,1,60,4,6,2,0,1,0,720,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008014","014","01","018","00529","008",0,216817,184805,1,50,9,6,4,1,0,1,36000,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00529008015","015","01","018","00529","008",0,492674,152773.5,1,26,10,6,8,1,0,1,1440,0,1,NA,1,0,4,0,12,NA,1,"2022 (n = 13939)",1
"00553021006","006","01","018","00553","021",0,186983,0,1,73,9,8,6,1,0,1,2160,0,1,NA,1,0,10,1,5,21,1,"2022 (n = 13939)",1
"00568006009","009","01","018","00568","006",0,118801,0,1,48,9,10,4,1,0,1,300,0,1,NA,1,0,1,0,8,NA,1,"2022 (n = 13939)",1
"00568006010","010","01","018","00568","006",0,415039,0,1,74,6,10,7,1,0,1,6072,0,1,NA,1,0,1,0,8,NA,1,"2022 (n = 13939)",1
"00568006013","013","01","018","00568","006",0,169341,72684,1,59,9,10,3,0,1,1,1080,0,1,NA,1,0,1,0,8,NA,1,"2022 (n = 13939)",1
"00706007001","001","02","030","00706","007",1,51000,NA,1,35,9,9,5,1,0,1,11800,0,0,3,1,0,0,0,15,NA,1,"2022 (n = 13939)",1
