"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"00379009003","01","016","00379","009","003",7,2,1800,25,1,2022,NA,800,6400,1065
"00379009003","01","016","00379","009","003",7,4,1800,26,5,2022,NA,750,6400,1065
"00379009005","01","016","00379","009","005",7,2,1080,10,1,2022,NA,500,4000,1065
"00379009005","01","016","00379","009","005",7,4,1080,5,7,2022,NA,450,4050,1065
"00379009006","01","016","00379","009","006",7,2,2880,23,1,2022,NA,1280,10240,1065
"00379009006","01","016","00379","009","006",7,4,2880,5,7,2022,NA,1200,10200,1065
"00379009007","01","016","00379","009","007",7,1,4320,NA,NA,NA,NA,2550,19100,1065
"00379009008","01","016","00379","009","008",7,1,1440,NA,NA,NA,NA,700,5600,1065
"00379009010","01","016","00379","009","010",7,1,2160,NA,NA,NA,NA,1100,8800,1065
"00379009012","01","016","00379","009","012",7,1,2880,NA,NA,NA,NA,1450,11600,1065
"00379009013","01","016","00379","009","013",7,1,1776,NA,NA,NA,NA,1030,7870,1065
"00379009014","01","016","00379","009","014",7,1,1344,NA,NA,NA,NA,780,5960,1065
"00379009015","01","016","00379","009","015",7,1,1344,NA,NA,NA,NA,780,5960,1065
"00400011006","01","016","00400","011","006",5,1,3600,NA,NA,NA,NA,2000,17000,1049
"00400011008","01","016","00400","011","008",5,1,2880,NA,NA,NA,NA,1520,12920,1049
"00400011012","01","016","00400","011","012",5,1,2880,NA,NA,NA,NA,1500,11450,1049
"00415003003","01","016","00415","003","003",7,1,3240,NA,NA,NA,NA,1910,14590,1044
"00415003004","01","016","00415","003","004",7,2,552,18,1,2022,NA,700,5600,1044
"00415003005","01","016","00415","003","005",7,2,1560,20,1,2022,NA,800,6400,1044
"00415003005","01","016","00415","003","005",7,4,1560,20,5,2021,NA,750,6375,1044
"00415003006","01","016","00415","003","006",7,1,2880,NA,NA,NA,NA,1550,12400,1044
"00415003007","01","016","00415","003","007",7,1,2880,NA,NA,NA,NA,1500,12000,1044
"00415003009","01","016","00415","003","009",7,1,2880,NA,NA,NA,NA,1730,13230,1044
"00415003014","01","016","00415","003","014",7,1,1440,NA,NA,NA,NA,780,6300,1044
"00415003015","01","016","00415","003","015",7,1,1080,NA,NA,NA,NA,630,4810,1044
"00415003017","01","016","00415","003","017",7,1,3600,NA,NA,NA,NA,2090,15970,1044
"00433007001","01","016","00433","007","001",2,1,2160,NA,NA,NA,NA,1170,9360,1115
"00433007003","01","016","00433","007","003",2,1,2160,NA,NA,NA,NA,1200,9600,1115
"00433007004","01","016","00433","007","004",2,1,2880,NA,NA,NA,NA,1500,12000,1115
"00433007005","01","016","00433","007","005",2,1,5760,NA,NA,NA,NA,3050,24500,1115
"00433007008","01","016","00433","007","008",2,1,720,NA,NA,NA,NA,400,3100,1115
"00433007009","01","016","00433","007","009",2,1,720,NA,NA,NA,NA,410,3190,1115
"00460011001","01","017","00460","011","001",10,1,1080,NA,NA,NA,NA,670,5220,1074
"00460011001","01","017","00460","011","001",10,6,1080,10,7,2022,NA,480,7350,1074
"00460011002","01","017","00460","011","002",10,1,1980,NA,NA,NA,NA,1170,9500,1074
"00460011002","01","017","00460","011","002",10,6,1980,9,7,2022,NA,850,12800,1074
"00460011005","01","017","00460","011","005",10,1,1440,NA,NA,NA,NA,892,7232,1074
"00460011005","01","017","00460","011","005",10,6,1440,9,7,2022,NA,662,9805,1074
"00460011006","01","017","00460","011","006",10,1,1800,NA,NA,NA,NA,1060,8500,1074
"00460011006","01","017","00460","011","006",10,6,1800,10,7,2022,NA,800,12150,1074
"00460011008","01","017","00460","011","008",10,1,900,NA,NA,NA,NA,545,4330,1074
"00460011008","01","017","00460","011","008",10,6,900,9,7,2022,NA,400,6150,1074
"00460011010","01","017","00460","011","010",10,1,720,NA,NA,NA,NA,440,3515,1074
"00460011010","01","017","00460","011","010",10,6,720,7,7,2022,NA,330,4930,1074
"00460011012","01","017","00460","011","012",10,1,950,NA,NA,NA,NA,570,4560,1074
"00460011012","01","017","00460","011","012",10,6,950,7,7,2022,NA,435,6460,1074
"00460011013","01","017","00460","011","013",10,1,1620,NA,NA,NA,NA,980,7800,1074
"00460011013","01","017","00460","011","013",10,6,1620,8,7,2022,NA,730,10935,1074
"00484026001","01","017","00484","026","001",1,1,1440,NA,NA,NA,NA,835,6760,1065
"00484026001","01","017","00484","026","001",1,6,720,22,6,2021,NA,330,4965,1065
"00484026003","01","017","00484","026","003",1,1,1080,NA,NA,NA,NA,640,5120,1065
"00484026003","01","017","00484","026","003",1,6,1080,23,6,2021,NA,480,7290,1065
"00484026004","01","017","00484","026","004",1,1,2220,NA,NA,NA,NA,1330,10920,1065
"00484026004","01","017","00484","026","004",1,6,1020,22,6,2021,NA,460,6930,1065
"00484026006","01","017","00484","026","006",1,1,1260,NA,NA,NA,NA,770,6300,1065
"00484026006","01","017","00484","026","006",1,6,1260,20,6,2021,NA,580,8750,1065
"00484026014","01","017","00484","026","014",1,1,720,NA,NA,NA,NA,430,3540,1065
"00499025001","01","017","00499","025","001",12,1,2160,NA,NA,NA,NA,1170,10530,1104
"00499025002","01","017","00499","025","002",12,2,1080,20,1,2022,NA,600,5400,1104
"00499025011","01","017","00499","025","011",12,2,2520,20,12,2021,1,1330,11970,1104
"00508034001","01","017","00508","034","001",5,1,2160,NA,NA,NA,NA,1200,12000,852
"00529008001","01","018","00529","008","001",6,1,1150,NA,NA,NA,NA,1100,7700,1046
"00529008002","01","018","00529","008","002",6,1,1080,NA,NA,NA,NA,1200,9400,1046
"00529008004","01","018","00529","008","004",6,1,576,NA,NA,NA,NA,700,6300,1046
"00529008005","01","018","00529","008","005",6,1,1440,NA,NA,NA,NA,1800,16200,1046
"00529008007","01","018","00529","008","007",6,2,1440,15,2,2022,NA,400,3200,1046
"00529008007","01","018","00529","008","007",6,4,720,1,7,2021,NA,370,3000,1046
"00529008008","01","018","00529","008","008",6,2,1440,15,2,2022,NA,800,6500,1046
"00529008008","01","018","00529","008","008",6,4,1440,1,7,2021,NA,720,5800,1046
"00529008010","01","018","00529","008","010",6,2,720,15,2,2022,NA,450,3600,1046
"00529008010","01","018","00529","008","010",6,4,720,1,7,2021,NA,400,3200,1046
"00529008011","01","018","00529","008","011",6,2,720,15,2,2022,NA,420,3400,1046
"00529008011","01","018","00529","008","011",6,4,720,1,7,2021,NA,400,3200,1046
"00529008014","01","018","00529","008","014",6,1,36000,NA,NA,NA,NA,16000,128000,1046
