"","MATINH","ID","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A3_C11","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"1",2,"2-27-811007007",821,811007007,27,811,7,7,1,2,2,2,1,1,NA,NA,"BẢN RUỘC",1,1,"Địa phương",1,6,NA,0,2,2,2,2,2,1,3,3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"2",2,"2-27-811007015",822,811007015,27,811,7,15,1,2,2,2,1,1,NA,NA,"BẢN RUỘC",1,1,"Địa phương",1,6,NA,0,2,2,2,2,2,2,2,3,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"3",2,"2-30-961009006",1231,961009006,30,961,9,6,4,2,2,2,1,1,NA,"","NÀ CAU",1,1,"sắn thường",1,6,"",5,2,2,2,1,2,1,23,11,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"4",2,"2-30-961009011",1233,961009011,30,961,9,11,4,2,2,2,1,1,NA,"","NÀ TRÀ",1,1,"sắn địa phương",1,5,"",12,2,2,1,1,2,1,23,11,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"5",2,"2-31-1006007001",823,1006007001,31,1006,7,1,1,2,2,2,1,1,1,NA,"THỬA 1",1,1,"giống sắn địa phương",1,5,NA,6,2,2,2,1,2,1,6,3,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"6",2,"2-30-961009003",1230,961009003,30,961,9,3,4,2,2,1,2,1,NA,"","NÀ ỶAF",1,1,"địa phương",1,6,"",15,2,2,1,1,2,1,24,11,66,NA,NA,NA,3,2,"","99",961,10,NA,1200,"Ha Giang","NMMA"
"7",2,"2-31-1006007005",825,1006007005,31,1006,7,5,1,2,2,2,1,1,NA,NA,"THỬA 1",1,1,"sắn địa phương",1,5,NA,6,2,2,2,1,2,1,7,3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"8",2,"2-31-1006007007",826,1006007007,31,1006,7,7,1,2,2,2,1,1,NA,NA,"THỬA 1",1,1,"sắn địa phương",1,7,"tự gây giống",9,2,2,2,1,2,1,5,3,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"9",2,"2-31-1006007009",827,1006007009,31,1006,7,9,1,2,2,2,1,1,NA,NA,"THỬA 1",1,1,"giống địa phương",1,5,NA,7,2,2,2,1,2,1,7,3,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"10",2,"2-32-1057001001",831,1057001001,32,1057,1,1,1,2,2,2,1,1,NA,NA,"THỬA 1",1,1,"sắn trắng",1,7,"tự túc",3,2,2,2,2,2,1,22,2,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"11",2,"2-32-1057001003",833,1057001003,32,1057,1,3,1,2,2,2,1,1,NA,NA,"THỬA 2",2,1,"sắn trắng",1,7,"tự túc",2,2,2,2,2,2,2,6,3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
