"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","STT","M4B51A_C6","M4B51A_C7","M4B51A_C8","M4B51A_C9","M4B51A_C9_GHIRO","M4B51A_C10","M4B51A_C11"
"1","02398009002","08","074","02398","009","002",3,0,1,700,1,5,"nước khe mó",2,2
"2","02422019004","08","074","02422","019","004",3,0,1,720,1,3,"",2,2
"3","02422019005","08","074","02422","019","005",3,0,1,1440,1.5,1,"",2,2
"4","02422019009","08","074","02422","019","009",3,0,1,360,1.2,1,"",2,2
"5","03673013001","14","116","03673","013","001",3,0,1,200,2,1,"",2,2
"6","04765007006","15","141","04765","007","006",3,0,1,360,0.8,1,"",2,2
"7","05320002006","17","157","05320","002","006",3,0,1,200,1.6,1,"",2,2
"8","05320002010","17","157","05320","002","010",3,0,1,300,1.5,1,"",2,2
"9","19402012013","45","464","19402","012","013",3,0,1,500,0.6,3,"",2,2
"10","19519004010","45","466","19519","004","010",3,0,1,19850,1.5,1,"",2,2
"11","23239010013","60","601","23239","010","013",3,0,1,1000,2,2,"",2,2
"12","24253033001","66","647","24253","033","001",3,0,1,1500,1.8,1,"",2,2
"13","24253033007","66","647","24253","033","007",3,0,1,2000,1.6,1,"",2,2
"14","24253033010","66","647","24253","033","010",3,0,1,1000,1.5,5,"nươc trơi",2,2
"15","24253033010","66","647","24253","033","010",3,1,1,1500,1.5,5,"nươc trơi",2,2
"16","32050018002","96","966","32050","018","002",3,0,1,23328,0.4,1,"",2,2
"17","32050018003","96","966","32050","018","003",3,0,1,13830,0.4,1,"",2,2
"18","32050018004","96","966","32050","018","004",3,0,1,51840,0.3,1,"",2,2
"19","32050018006","96","966","32050","018","006",3,0,1,53136,0.5,1,"",2,2
"20","32050018008","96","966","32050","018","008",3,0,1,20000,0.5,1,"",2,2
"21","32050018009","96","966","32050","018","009",3,0,1,12960,0.4,1,"",2,2
"22","32050018013","96","966","32050","018","013",3,0,1,7776,0.3,1,"",3,2
"23","32059023004","96","966","32059","023","004",3,0,1,30000,0.4,1,"",2,2
"24","32059023015","96","966","32059","023","015",3,0,3,16000,0.8,1,"",3,2
"25","32059023019","96","966","32059","023","019",3,0,1,25000,0.5,1,"",2,1
"26","32124014001","96","968","32124","014","001",3,0,3,16848,7,3,"",3,2
"27","32124014002","96","968","32124","014","002",3,0,3,3888,0.8,3,"",2,2
"28","32124014003","96","968","32124","014","003",3,0,3,42768,7,3,"",3,2
"29","32124014004","96","968","32124","014","004",3,0,3,7000,0.7,3,"",2,2
"30","32124014007","96","968","32124","014","007",3,0,3,19440,0.7,3,"",3,2
"31","32124014008","96","968","32124","014","008",3,0,3,19440,0.6,3,"",2,2
