"","MATINH","MAHUYEN","MAXA","MADIABAN","IDHO","ws_method","ws_area_unit","ws_rate_ha","certified","rice_name","KYDIEUTRA","dummy_1m","dummy_1r","dummy_1m1r","n_app_fert","sum_fert","dummy_2r_fert","dummy_2r_app","dummy_2r","n_app_drug","n_app_insect_fungi","n_insect","n_fungi","dummy_3r_n_app","dummy_3r_stage","dummy_3r","water_source","pipe","n_drydown","dummy_4r","store_method","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","timing","moisture","dry_method","dummy_5r","dummy_1m2r","dummy_1m3r","dummy_1m4r","dummy_1m5r"
"1",1,16,400,11,400011006,4,2,50,1,"Khang Dân",1,1,1,1,2,61.11,1,0,0,2,2,2,1,1,0,NA,1,NA,2,0,3,1,0,0,0,2,1,3,1,0,0,0,0
"2",1,16,400,11,400011008,4,2,50,1,"Thơm",1,1,1,1,2,66.67,1,0,0,2,2,2,0,1,0,NA,1,NA,2,0,3,1,0,0,0,2,1,3,1,0,0,0,0
"3",1,16,400,11,400011012,5,2,55.5555555555556,1,"TBR225",1,1,1,1,3,33.33,1,1,1,3,2,2,0,1,0,NA,1,NA,1,0,3,1,0,0,0,3,1,2,0,1,NA,0,0
"4",1,16,415,3,415003003,5,2,50,1,"TBR225",1,1,1,1,3,33.33,1,1,1,3,2,1,2,1,0,NA,1,NA,1,0,3,1,0,0,0,3,1,2,0,1,NA,0,0
"5",1,16,415,3,415003005,4,2,55.5555555555556,1,"thơm",1,1,1,1,2,18.06,1,0,0,2,2,2,0,1,0,NA,4,2,2,0,3,1,0,0,0,2,1,2,1,0,0,0,0
"6",1,16,415,3,415003006,4,2,41.6666666666667,1,"TBR225",1,1,1,1,2,0,1,0,0,2,2,2,0,1,0,NA,1,NA,2,0,3,1,0,0,0,2,1,2,1,0,0,0,0
"7",1,16,415,3,415003007,4,2,41.6666666666667,1,"Thơm",1,1,1,1,2,0,1,0,0,2,2,2,0,1,0,NA,1,NA,2,0,3,1,0,0,0,2,1,2,1,0,0,0,0
"8",1,16,415,3,415003009,4,2,55.5555555555556,1,"TBR225",1,1,1,1,3,26.66,1,1,1,3,2,2,2,1,0,NA,1,NA,1,0,3,1,0,0,0,3,1,2,0,1,NA,0,0
"9",1,16,415,3,415003014,4,2,41.6666666666667,1,"Thơm",1,1,1,1,2,26.67,1,0,0,2,2,2,1,1,0,NA,1,NA,2,0,3,1,0,0,0,2,1,3,1,0,0,0,0
"10",1,16,415,3,415003015,4,2,50,1,"TBR225",1,1,1,1,3,27.78,1,1,1,3,2,2,0,1,0,NA,1,NA,1,0,2,1,0,0,0,3,1,2,0,1,NA,0,0
"11",1,16,415,3,415003017,4,2,50,1,"HT01",1,1,1,1,3,44.44,1,1,1,3,2,2,0,1,0,NA,1,NA,1,0,3,1,0,0,0,3,1,2,0,1,NA,0,0
"12",2,27,811,7,811007003,5,1,40000,1,"Nghi Hương",1,1,0,0,1,230000,0,0,0,1,1,1,0,1,0,NA,4,2,0,0,2,0,0,1,0,3,2,2,0,0,0,0,0
"13",2,27,811,7,811007004,99,1,40000,1,"Nghi Hương",1,1,0,0,1,92000,0,0,0,1,1,1,0,1,0,NA,4,2,1,0,2,0,0,1,0,3,2,3,0,0,0,0,0
"14",2,27,811,7,811007005,1,1,40000,99,"nghi hương",1,0,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"15",2,27,811,7,811007007,1,1,3000000,99,"tạp giao",1,0,0,0,2,240000,0,0,0,1,1,1,0,1,0,NA,3,2,0,0,2,0,0,1,0,3,1,3,0,0,0,0,0
"16",2,27,811,7,811007010,1,1,0,99,"0",1,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,NA,3,2,0,0,2,0,0,1,0,3,1,3,0,0,0,0,0
