"","IDHO","HOSO","MATINH","MAHUYEN","MAXA","MADIABAN","DANTOCCHUHO","THUNHAP","TONGCHITIEU","ethnic","rls_head","age","edu_grade","KYDIEUTRA","n_member","male","female","internet","land_area_1","land_area_2","land_area_5","land_area_7","land_area_4","land_area_3","land_area_6","land_area_sum","land_ha","poor_commune","dummy_main_str","dist_main_str","type_main_str","disease_1","disease_2","disease_3","road","road_cement_asphalt","road_dirt_earth","road_gravel","road_tar_on_gravel","dummy_local_market_daily","dummy_local_market_periodic","dummy_local_market_wholesale","dist_market_daily","dist_market_periodic","dist_market_wholesale","dummy_irrigation","dist_irrigation","dummy_protection_staff","irrigation_info_1","irrigation_info_2","irrigation_info_3","farmer_participation_pct","ag_challenge_1","ag_challenge_2","ag_challenge_3","panel"
"1","00379009003","003","01","016","00379","009",1,353237,83718.5,0,1,33,12,7,4,0,1,1,1800,NA,NA,NA,NA,NA,NA,1800,0.18,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"2","00379009005","005","01","016","00379","009",1,331919,NA,0,1,32,12,7,4,1,0,1,1080,NA,NA,NA,NA,NA,NA,1080,0.108,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"3","00379009006","006","01","016","00379","009",1,309169,NA,0,1,56,5,7,6,1,0,0,2880,NA,NA,NA,NA,NA,NA,2880,0.288,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"4","00379009007","007","01","016","00379","009",1,321047,NA,0,1,63,9,7,6,1,0,1,2880,NA,NA,NA,NA,NA,NA,2880,0.288,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"5","00379009008","008","01","016","00379","009",1,166509,106924.5,0,1,52,9,7,2,1,0,1,720,1440,NA,NA,NA,NA,NA,2160,0.216,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"6","00379009010","010","01","016","00379","009",1,88345,NA,0,1,49,7,7,3,1,0,1,1080,1440,NA,NA,NA,NA,NA,2520,0.252,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"7","00379009012","012","01","016","00379","009",1,258419,NA,0,1,40,5,7,5,1,0,1,1440,NA,NA,NA,NA,NA,NA,1440,0.144,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"8","00379009013","013","01","016","00379","009",1,606335,123008,0,1,50,9,7,4,1,0,1,888,1260,NA,NA,NA,NA,NA,2148,0.2148,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"9","00379009014","014","01","016","00379","009",1,44172,NA,0,1,63,5,7,1,0,1,0,672,NA,NA,NA,NA,NA,NA,672,0.0672,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"10","00379009015","015","01","016","00379","009",1,69698,NA,0,1,40,9,7,3,0,1,1,672,NA,NA,NA,NA,NA,NA,672,0.0672,0,1,NA,1,4,6,13,"cement_asphalt",1,0,0,0,1,1,0,NA,NA,2,0,25,1,NA,NA,NA,NA,1,8,NA,"2022 (n = 13885)"
"11","00400011006","006","01","016","00400","011",1,273420,NA,0,1,63,9,5,5,0,1,0,1800,NA,NA,NA,NA,NA,NA,1800,0.18,0,1,NA,1,5,6,11,"cement_asphalt",1,0,0,0,1,0,0,NA,1,2,1,NA,1,1,2,3,100,1,3,NA,"2022 (n = 13885)"
