"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","STT","M4B11A5_C6","M4B11A5_C7","M4B11A5_C8","M4B11A5_C9"
"1","00382001001","01","016","00382","001","001",3,2,14,4,6,0
"2","00382001016","01","016","00382","001","016",3,0,16,7,1,1
"3","00382001011","01","016","00382","001","011",3,0,16,7,1,1
"4","00382001001","01","016","00382","001","001",3,1,8,5,6,0
"5","00382001001","01","016","00382","001","001",3,0,7,5,6,0
"6","00382001005","01","016","00382","001","005",3,0,17,7,1,5
"7","00499025016","01","017","00499","025","016",3,0,18,11,1,0
"8","09733013015","01","272","09733","013","015",3,0,18,10,1,2
"9","10027002010","01","277","10027","002","010",3,0,6,7,2,99
"10","10027002012","01","277","10027","002","012",3,1,17,7,3,99
"11","10027002006","01","277","10027","002","006",3,0,6,7,2,99
"12","10027002010","01","277","10027","002","010",3,1,17,7,2,99
"13","10027002004","01","277","10027","002","004",3,0,6,7,3,1
"14","10027002013","01","277","10027","002","013",3,0,6,7,2,99
"15","10027002001","01","277","10027","002","001",3,1,18,7,2,99
"16","10027002004","01","277","10027","002","004",3,1,17,7,3,0
"17","10027002003","01","277","10027","002","003",3,0,6,7,2,99
"18","10027002003","01","277","10027","002","003",3,1,17,7,2,99
"19","10027002012","01","277","10027","002","012",3,0,6,7,3,1
"20","10027002013","01","277","10027","002","013",3,1,18,7,2,99
"21","10027002008","01","277","10027","002","008",3,1,18,7,2,99
"22","10027002011","01","277","10027","002","011",3,1,17,7,2,99
"23","10027002006","01","277","10027","002","006",3,1,17,7,2,99
"24","10027002002","01","277","10027","002","002",3,0,6,7,2,99
"25","10027002007","01","277","10027","002","007",3,1,18,7,2,99
"26","10027002001","01","277","10027","002","001",3,0,6,7,2,99
"27","10027002014","01","277","10027","002","014",3,0,6,7,2,99
"28","10027002011","01","277","10027","002","011",3,0,6,7,2,99
"29","10027002002","01","277","10027","002","002",3,1,18,7,2,99
"30","10027002014","01","277","10027","002","014",3,1,17,7,2,99
"31","10027002007","01","277","10027","002","007",3,0,6,7,2,99
"32","10027002008","01","277","10027","002","008",3,0,6,7,2,99
"33","10030006017","01","277","10030","006","017",3,0,6,7,3,99
"34","10030006010","01","277","10030","006","010",3,1,9,7,3,99
"35","10030006013","01","277","10030","006","013",3,0,9,7,3,99
"36","10030006010","01","277","10030","006","010",3,0,8,7,3,99
"37","10030006012","01","277","10030","006","012",3,0,7,7,3,99
"38","10030006009","01","277","10030","006","009",3,0,11,7,3,99
"39","10030006002","01","277","10030","006","002",3,0,6,7,3,99
"40","10030006005","01","277","10030","006","005",3,0,10,7,3,99
"41","10030006008","01","277","10030","006","008",3,0,7,7,3,99
"42","10030006008","01","277","10030","006","008",3,1,16,7,3,99
"43","10030006013","01","277","10030","006","013",3,1,16,7,3,99
"44","10030006017","01","277","10030","006","017",3,1,16,7,3,99
"45","10030006003","01","277","10030","006","003",3,0,7,7,3,99
"46","10030006011","01","277","10030","006","011",3,0,6,7,3,99
"47","10030006002","01","277","10030","006","002",3,1,16,7,3,99
"48","10030006012","01","277","10030","006","012",3,1,15,7,3,99
"49","10030006009","01","277","10030","006","009",3,1,16,7,3,99
"50","10030006011","01","277","10030","006","011",3,1,17,7,3,99
"51","10030006007","01","277","10030","006","007",3,1,16,7,3,99
"52","10030006005","01","277","10030","006","005",3,1,16,7,3,99
"53","10030006003","01","277","10030","006","003",3,1,16,7,3,99
"54","10030006007","01","277","10030","006","007",3,0,7,7,3,99
"55","10078011010","01","277","10078","011","010",3,1,16,7,3,99
"56","10078011007","01","277","10078","011","007",3,0,6,7,3,99
"57","10078011013","01","277","10078","011","013",3,0,7,7,3,99
"58","10078011007","01","277","10078","011","007",3,1,16,7,3,99
"59","10078011004","01","277","10078","011","004",3,1,17,7,2,99
"60","10078011008","01","277","10078","011","008",3,1,18,7,2,99
"61","10078011006","01","277","10078","011","006",3,1,16,7,3,99
"62","10078011012","01","277","10078","011","012",3,0,6,7,2,99
"63","10078011009","01","277","10078","011","009",3,1,16,7,3,99
"64","10078011009","01","277","10078","011","009",3,0,6,7,3,99
"65","10078011012","01","277","10078","011","012",3,1,15,7,2,99
"66","10078011006","01","277","10078","011","006",3,0,6,7,3,99
"67","10078011008","01","277","10078","011","008",3,0,6,7,2,99
"68","10078011011","01","277","10078","011","011",3,0,6,7,2,99
"69","10078011004","01","277","10078","011","004",3,0,6,7,2,99
"70","10078011010","01","277","10078","011","010",3,0,6,7,3,99
"71","10078011011","01","277","10078","011","011",3,1,18,7,2,99
"72","10078011005","01","277","10078","011","005",3,0,6,7,2,99
"73","10078011005","01","277","10078","011","005",3,1,18,7,2,99
"74","10078011013","01","277","10078","011","013",3,1,16,7,3,99
"75","00814006006","02","027","00814","006","006",3,2,9,20,6,2
"76","00814006003","02","027","00814","006","003",3,0,6,30,6,3
"77","00814006006","02","027","00814","006","006",3,0,6,30,6,2
"78","00814006004","02","027","00814","006","004",3,0,1,10,6,99
"79","00814006004","02","027","00814","006","004",3,1,3,4,6,99
