"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A3_C11","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD"
"1","01102006003","02","033","01102","006","003",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"2","01102006001","02","033","01102","006","001",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"3","01102006014","02","033","01102","006","014",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"4","01102006010","02","033","01102","006","010",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"5","01102006012","02","033","01102","006","012",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"6","01102006011","02","033","01102","006","011",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"7","01102006013","02","033","01102","006","013",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"8","01102006008","02","033","01102","006","008",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"9","01102006009","02","033","01102","006","009",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"10","01102006007","02","033","01102","006","007",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"11","01102006015","02","033","01102","006","015",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"12","01102006005","02","033","01102","006","005",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"13","01102006002","02","033","01102","006","002",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"14","01102006004","02","033","01102","006","004",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"15","01102006006","02","033","01102","006","006",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"16","01144006004","02","033","01144","006","004",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"17","01144006002","02","033","01144","006","002",3,2,2,2,1,1,NA,"","RUỘNG SẮN",1,1,"Sắn địa phương",1,6,"",20,2,2,1,1,2,1,25,8,"00050",NA,NA,NA
"18","01144006014","02","033","01144","006","014",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"19","01144006003","02","033","01144","006","003",3,2,2,2,1,1,NA,"","RUỘNG SẮN",1,1,"Giống địa phương",1,6,"",25,2,2,1,1,2,1,25,8,"00072",NA,NA,NA
"20","01144006008","02","033","01144","006","008",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"21","01144006010","02","033","01144","006","010",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"22","01144006015","02","033","01144","006","015",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"23","01144006006","02","033","01144","006","006",3,2,2,2,1,1,NA,"","NƯƠNG SẮN",1,1,"Sắn địa phương",1,6,"",25,2,2,1,1,2,1,25,8,"00077",NA,NA,NA
"24","01144006011","02","033","01144","006","011",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"25","01144006013","02","033","01144","006","013",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"26","01144006001","02","033","01144","006","001",3,2,2,2,1,1,NA,"","THỬA 1",1,1,"Giống địa phương",1,5,"",20,2,2,2,1,2,1,25,8,"00035",NA,NA,NA
"27","01144006012","02","033","01144","006","012",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"28","01144006009","02","033","01144","006","009",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"29","01144006007","02","033","01144","006","007",3,2,2,2,1,1,NA,"","RUỘNG SẮN",1,1,"Sắn địa phương",1,6,"",25,2,2,1,1,2,1,25,8,"00032",NA,NA,NA
"30","01228002002","02","035","01228","002","002",3,1,2,2,2,1,NA,"","NẶM NGOA",1,1,"sắn cao sản",2,6,"",2,2,1,1,1,1,1,16,8,"00052",NA,NA,NA
"31","01228002001","02","035","01228","002","001",3,2,2,2,1,1,NA,"","THÔN NẶM NGOA",1,1,"Sắn Chuối",1,6,"",20,2,2,1,1,1,1,16,8,"00056",NA,NA,NA
"32","01228002003","02","035","01228","002","003",3,1,2,2,2,1,NA,"","NẶM NGOA",1,1,"sắn lá tre",2,6,"",3,2,1,1,1,1,1,16,8,"00054",NA,NA,NA
"33","01290011003","04","042","01290","011","003",3,2,2,2,1,2,2,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"34","01290011004","04","042","01290","011","004",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"35","01290011007","04","042","01290","011","007",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"36","01290011016","04","042","01290","011","016",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"37","01618006005","04","049","01618","006","005",3,1,2,2,2,2,3,"chưa lấy mẫu","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"38","01618006011","04","049","01618","006","011",3,1,2,2,2,2,3,"chưa lấy","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"39","01618006013","04","049","01618","006","013",3,1,2,2,2,2,3,"chưa lấy mẫu","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"40","01618006008","04","049","01618","006","008",3,1,2,2,2,2,3,"chưa lấy mẫu","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"41","01618006012","04","049","01618","006","012",3,1,2,2,2,2,3,"chưa lấy mẫu","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"42","01618006007","04","049","01618","006","007",3,1,2,2,2,2,3,"không phải hộ mẫu","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"43","02092004009","06","065","02092","004","009",3,2,2,2,1,2,1,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"44","02221015004","08","072","02221","015","004",3,2,2,2,1,2,3,"chưa có dụng cụ","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"45","02422019005","08","074","02422","019","005",3,2,2,2,1,2,2,"","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
