"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6"
"1","01228002002","02","035","01228","002","002",3,1,1,"","99","01156",2,NA,4604
"2","01228002003","02","035","01228","002","003",3,1,1,"","99","01156",1,NA,5116
"3","01618006008","04","049","01618","006","008",3,1,3,"","công ty cổ phần Khánh Hạ","01279",3,NA,12600
"4","01618006011","04","049","01618","006","011",3,1,1,"","99","01279",3,NA,40000
"5","01618006005","04","049","01618","006","005",3,1,1,"","nhà máy chế biến tinh bột sắn cao bằng","01696",2,NA,1500
"6","01618006007","04","049","01618","006","007",3,1,3,"","công ty cổ phần Khánh Hạ","01279",3,NA,10500
"7","01618006012","04","049","01618","006","012",3,1,3,"","công ty cổ phần Khánh Hạ","01279",3,NA,4650
"8","01618006013","04","049","01618","006","013",3,1,2,"","99","01696",2,NA,9000
"9","02623007001","08","076","02623","007","001",3,1,1,"","99","02623",5,NA,2588
"10","02623007009","08","076","02623","007","009",3,1,1,"","99","02623",5,NA,64000
"11","03161006006","11","096","03161","006","006",3,1,4,"","","",NA,NA,500
"12","03161006004","11","096","03161","006","004",3,1,2,"","99","03161",8,NA,600
"13","03161006008","11","096","03161","006","008",3,1,4,"","","",NA,NA,800
"14","03161006012","11","096","03161","006","012",3,1,4,"","","",NA,NA,3120
"15","03161006010","11","096","03161","006","010",3,1,4,"","","",NA,NA,840
"16","03161006013","11","096","03161","006","013",3,1,4,"","","",NA,NA,1000
"17","03161006002","11","096","03161","006","002",3,1,2,"","99","03161",3,NA,1500
"18","03161006005","11","096","03161","006","005",3,1,2,"","99","03161",6,NA,600
"19","03161006003","11","096","03161","006","003",3,1,2,"","99","03161",8,NA,900
"20","03526006006","12","108","03526","006","006",3,1,1,"","99","03517",3,NA,36000
"21","03526006005","12","108","03526","006","005",3,1,2,"","99","03517",3,NA,45000
"22","03526006004","12","108","03526","006","004",3,1,1,"","99","03517",2,NA,37500
"23","03526006013","12","108","03526","006","013",3,1,1,"","99","03517",6,NA,45000
"24","03526006012","12","108","03526","006","012",3,1,1,"","99","03517",5,NA,30000
"25","03526006009","12","108","03526","006","009",3,1,1,"","99","03517",3,NA,31200
"26","03526006011","12","108","03526","006","011",3,1,1,"","99","03517",8,NA,39200
"27","03526006014","12","108","03526","006","014",3,1,1,"","99","03517",5,NA,45000
"28","03526006015","12","108","03526","006","015",3,1,1,"","99","09604",3,NA,48000
"29","03565003012","12","109","03565","003","012",3,1,5,"để chăn nuôi","99","03565",3,NA,400
"30","04058001004","14","128","04058","001","004",3,1,1,"","99","04058",3,NA,60000
"31","04058001007","14","128","04058","001","007",3,1,1,"","99","04058",5,NA,10800
"32","04058001012","14","128","04058","001","012",3,1,2,"","99","04058",1,NA,15600
"33","04058001010","14","128","04058","001","010",3,1,1,"","99","04058",1,NA,4000
"34","04058001001","14","128","04058","001","001",3,1,2,"","99","04058",4,NA,22320
"35","04058001011","14","128","04058","001","011",3,1,1,"","99","04058",2,NA,14300
"36","04058001006","14","128","04058","001","006",3,1,1,"","hộ gia đình","04058",7,NA,8400
"37","04058001003","14","128","04058","001","003",3,1,1,"","hộ gia đình","04058",2,NA,30000
"38","04058001015","14","128","04058","001","015",3,1,2,"","99","04058",1,NA,18000
"39","04058001002","14","128","04058","001","002",3,1,1,"","hộ gia đình","04058",3,NA,16800
"40","04058001014","14","128","04058","001","014",3,1,2,"","99","04058",1,NA,10000
"41","04058001009","14","128","04058","001","009",3,1,2,"","99","04058",3,NA,14400
"42","04058001008","14","128","04058","001","008",3,1,1,"","99","04058",10,NA,10800
"43","04058001005","14","128","04058","001","005",3,1,1,"","99","04058",1,NA,6000
"44","05320002003","17","157","05320","002","003",3,1,1,"","99","05344",5,NA,10800
"45","05344001015","17","157","05344","001","015",3,1,1,"","Nhà máy tinh bột sắn Tân Hiếu Hưng","05344",1,NA,1300
"46","05344001002","17","157","05344","001","002",3,1,1,"","Nhà máy tinh bột sắn Tân Hiếu Hưng","05344",1,NA,4000
"47","05374001006","17","158","05374","001","006",3,3,1,"","99","05389",2,NA,2340
"48","05374001001","17","158","05374","001","001",3,1,1,"","99","05374",1,NA,1980
"49","05374001007","17","158","05374","001","007",3,3,1,"","99","05389",2,NA,8280
"50","05374001008","17","158","05374","001","008",3,3,1,"","99","05389",2,NA,1150
"51","05374001011","17","158","05374","001","011",3,3,1,"","99","05389",5,NA,1200
"52","06799002008","22","195","06799","002","008",3,1,2,"","99","06799",0,NA,1870
"53","07402016002","24","217","07402","016","002",3,3,4,"","","",NA,NA,520
"54","08380011013","25","235","08380","011","013",3,1,2,"","99","07924",2,NA,1044
"55","08380011006","25","235","08380","011","006",3,1,2,"","99","08416",1,NA,500
"56","08821002001","26","253","08821","002","001",3,1,4,"","","",NA,NA,4800
"57","08851005001","26","253","08851","005","001",3,1,4,"","","",NA,NA,2800
"58","17032001014","40","419","17032","001","014",3,1,1,"","99","17026",1,NA,20000
"59","17800004006","40","428","17800","004","006",3,1,4,"","","",NA,NA,1000
"60","18838005009","42","447","18838","005","009",3,1,1,"","Vedan","18838",10,NA,34000
"61","18838005010","42","447","18838","005","010",3,1,1,"","Kb","18838",10,NA,5000
"62","19255007016","44","457","19255","007","016",3,1,1,"","99","19273",5,NA,4200
"63","19255007004","44","457","19255","007","004",3,1,1,"","99","19273",4,NA,3100
"64","19255007009","44","457","19255","007","009",3,1,1,"","99","19255",5,NA,16000
"65","19255007018","44","457","19255","007","018",3,1,1,"","99","19273",5,NA,9500
"66","19378001006","45","464","19378","001","006",3,1,1,"","99","19471",5,NA,1000
"67","19378001012","45","464","19378","001","012",3,1,1,"","99","19729",5,NA,3500
"68","19378001001","45","464","19378","001","001",3,1,1,"","99","19447",12,NA,6480
"69","19378001010","45","464","19378","001","010",3,1,1,"","99","19471",10,NA,1530
"70","19378001003","45","464","19378","001","003",3,1,1,"","99","19471",10,NA,8510
"71","19378001007","45","464","19378","001","007",3,1,1,"","99","19471",2,NA,200
"72","19378001009","45","464","19378","001","009",3,1,1,"","99","19471",10,NA,510
"73","19378001013","45","464","19378","001","013",3,1,1,"","99","19708",10,NA,2700
"74","19402012004","45","464","19402","012","004",3,1,1,"","99","19552",5,NA,3780
"75","19495002005","45","466","19495","002","005",3,1,1,"","km94","19495",15,NA,1500
"76","19495002009","45","466","19495","002","009",3,1,4,"","","",NA,NA,1000
"77","19519004015","45","466","19519","004","015",3,1,2,"","99","19600",2,NA,800
"78","19561003005","45","467","19561","003","005",3,1,3,"","nhà máy tinh bột sắn ăn thái","19600",2,NA,5865
"79","19561003009","45","467","19561","003","009",3,1,1,"","99","19600",4,NA,21750
"80","19561003001","45","467","19561","003","001",3,1,1,"","99","19600",3,NA,12320
"81","19561003003","45","467","19561","003","003",3,1,3,"","99","19600",3,NA,33000
"82","19561003002","45","467","19561","003","002",3,1,1,"","99","19600",3,NA,7000
"83","19561003004","45","467","19561","003","004",3,1,3,"","tinh bột","19600",2,NA,8000
"84","19561003006","45","467","19561","003","006",3,1,1,"","99","19600",3,NA,7000
"85","19657004013","45","469","19657","004","013",3,1,1,"","99","19657",10,NA,1920
"86","19657004008","45","469","19657","004","008",3,1,1,"","99","19657",2,NA,1000
"87","19657004011","45","469","19657","004","011",3,1,5,"để gia đình sửa dụng","99","19657",10,NA,0
"88","19657004014","45","469","19657","004","014",3,1,1,"","99","19657",10,NA,2400
"89","19657004004","45","469","19657","004","004",3,1,1,"","99","19657",5,NA,960
"90","19657004006","45","469","19657","004","006",3,1,1,"","99","19657",2,NA,500
"91","19657004007","45","469","19657","004","007",3,1,1,"","99","19657",3,NA,500
"92","19678009014","45","469","19678","009","014",3,1,1,"","k94","19678",15,NA,1440
"93","20011009015","46","480","20011","009","015",3,1,1,"","tình bột sắn Phong điền","19858",2,NA,1600
"94","20011009013","46","480","20011","009","013",3,1,1,"","99","19858",10,NA,1500
"95","20011009012","46","480","20011","009","012",3,1,1,"","99","19858",10,NA,12000
"96","20011009002","46","480","20011","009","002",3,1,1,"","nhà máy phong điền","19858",5,NA,1400
"97","20650019007","49","509","20650","019","007",3,1,1,"","99","20651",6,NA,1000
"98","20650019001","49","509","20650","019","001",3,1,1,"","99","20651",5,NA,540
"99","20650019013","49","509","20650","019","013",3,1,1,"","99","20651",4,NA,1500
"100","20650019010","49","509","20650","019","010",3,1,1,"","99","20651",5,NA,6300
"101","20650019012","49","509","20650","019","012",3,1,1,"","ruộng săn","20651",7,NA,6000
"102","21820003001","52","547","21820","003","001",3,1,1,"","99","21811",5,NA,4400
"103","22132009013","54","559","22132","009","013",3,1,4,"","","",NA,NA,810
"104","22141006001","54","559","22141","006","001",3,1,3,"","nhà máy sắn đồng xuân","22081",1,NA,50000
"105","22285021014","54","562","22285","021","014",3,1,1,"","nhà máy mì sông hinh","22213",2,NA,36000
"106","22285021002","54","562","22285","021","002",3,1,1,"","Cty cp tinh bột sắn phú yên","22228",5,NA,285800
"107","22285021004","54","562","22285","021","004",3,1,2,"","nhà máy mì sông hinh","22222",3,NA,45000
"108","22285021011","54","562","22285","021","011",3,1,1,"","nhà máy mì sông hinh","22222",3,NA,146700
