"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B13A_C1","M4B13A_C2","M4B13A_C3","M4B13A_C4"
"1","04117004010","14","125","04117","004","010",3,5,1,1400,4
"2","04117004012","14","125","04117","004","012",3,5,1,1333,4
"3","23443003001","62","612","23443","003","001",3,1,2,150,3
"4","23443003002","62","612","23443","003","002",3,1,3,120,3
"5","23443003003","62","612","23443","003","003",3,1,3,120,3
"6","23443003004","62","612","23443","003","004",3,1,2,150,3
"7","23443003005","62","612","23443","003","005",3,3,2,120,2
"8","23443003007","62","612","23443","003","007",3,1,2,120,3
"9","23443003009","62","612","23443","003","009",3,1,2,100,4
"10","23443003010","62","612","23443","003","010",3,1,2,120,3
"11","23443003011","62","612","23443","003","011",3,1,2,150,3
"12","23443003012","62","612","23443","003","012",3,1,2,150,3
"13","23443003015","62","612","23443","003","015",3,3,2,120,3
"14","23497004002","62","614","23497","004","002",3,1,3,170,2
"15","23497004003","62","614","23497","004","003",3,1,3,200,2
"16","23497004006","62","614","23497","004","006",3,1,3,170,2
"17","23497004008","62","614","23497","004","008",3,1,3,200,2
"18","23497004010","62","614","23497","004","010",3,1,3,210,2
"19","23497004013","62","614","23497","004","013",3,1,3,200,2
"20","23500004006","62","615","23500","004","006",3,2,3,300,4
"21","23500004007","62","615","23500","004","007",3,2,5,310,4
"22","23500004008","62","615","23500","004","008",3,1,1,200,4
"23","23500004009","62","615","23500","004","009",3,2,5,300,4
"24","23500004010","62","615","23500","004","010",3,2,3,320,4
"25","23500004012","62","615","23500","004","012",3,1,3,300,4
"26","23500004013","62","615","23500","004","013",3,1,3,370,4
"27","23500004014","62","615","23500","004","014",3,2,3,280,4
"28","23500004015","62","615","23500","004","015",3,2,4,310,4
"29","23506014001","62","615","23506","014","001",3,2,5,300,4
"30","23506014002","62","615","23506","014","002",3,2,4,320,4
"31","23506014003","62","615","23506","014","003",3,2,3,320,4
"32","23506014004","62","615","23506","014","004",3,2,3,340,4
"33","23506014005","62","615","23506","014","005",3,1,2,350,4
"34","23506014006","62","615","23506","014","006",3,2,3,300,4
"35","23506014007","62","615","23506","014","007",3,2,4,280,4
"36","23506014008","62","615","23506","014","008",3,2,4,280,4
"37","23506014009","62","615","23506","014","009",3,2,3,300,4
"38","23506014011","62","615","23506","014","011",3,2,3,300,4
"39","23506014012","62","615","23506","014","012",3,2,3,300,4
"40","23506014013","62","615","23506","014","013",3,2,3,310,4
"41","23506014014","62","615","23506","014","014",3,2,3,300,4
"42","23785020001","64","628","23785","020","001",3,1,3,30,2
"43","23785020002","64","628","23785","020","002",3,2,3,30,2
"44","23785020003","64","628","23785","020","003",3,2,3,30,1
"45","23785020005","64","628","23785","020","005",3,1,3,30,2
"46","23785020006","64","628","23785","020","006",3,1,3,30,2
"47","23785020007","64","628","23785","020","007",3,2,3,30,2
"48","23785020008","64","628","23785","020","008",3,1,3,30,2
"49","23785020009","64","628","23785","020","009",3,2,3,30,1
"50","23785020010","64","628","23785","020","010",3,1,3,30,2
"51","23785020011","64","628","23785","020","011",3,1,3,30,2
"52","23785020012","64","628","23785","020","012",3,1,3,30,1
"53","23785020013","64","628","23785","020","013",3,1,3,20,4
"54","23785020014","64","628","23785","020","014",3,1,3,30,2
"55","23785020015","64","628","23785","020","015",3,1,3,30,2
"56","23794010001","64","629","23794","010","001",3,1,3,190,2
"57","23794010002","64","629","23794","010","002",3,1,4,250,2
"58","23794010004","64","629","23794","010","004",3,1,3,20,2
"59","23794010005","64","629","23794","010","005",3,1,3,20,2
"60","23794010006","64","629","23794","010","006",3,1,4,250,2
"61","23794010010","64","629","23794","010","010",3,1,3,20,2
"62","23794010015","64","629","23794","010","015",3,1,4,180,2
"63","23800013001","64","629","23800","013","001",3,1,3,180,2
"64","23800013002","64","629","23800","013","002",3,1,3,210,2
"65","23800013004","64","629","23800","013","004",3,1,3,180,2
"66","23800013005","64","629","23800","013","005",3,1,4,22,2
"67","23800013007","64","629","23800","013","007",3,1,3,180,2
"68","23800013008","64","629","23800","013","008",3,1,3,20,2
"69","23800013009","64","629","23800","013","009",3,1,3,20,2
"70","23800013010","64","629","23800","013","010",3,1,3,150,2
"71","23800013011","64","629","23800","013","011",3,1,3,180,2
"72","23800013013","64","629","23800","013","013",3,1,3,20,2
"73","23800013014","64","629","23800","013","014",3,1,3,20,2
"74","23800013015","64","629","23800","013","015",3,1,3,20,2
"75","23863009001","64","631","23863","009","001",3,1,4,100,2
"76","23863009002","64","631","23863","009","002",3,1,4,100,2
"77","23863009003","64","631","23863","009","003",3,1,4,80,2
"78","23863009004","64","631","23863","009","004",3,1,4,100,4
"79","23863009005","64","631","23863","009","005",3,1,4,95,2
"80","23863009007","64","631","23863","009","007",3,1,4,100,2
"81","23863009008","64","631","23863","009","008",3,1,4,1000,2
"82","23863009009","64","631","23863","009","009",3,1,4,100,3
"83","23863009011","64","631","23863","009","011",3,1,4,90,2
