"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B51A_C1","M4B51A_C2","M4B51A_C3","M4B51A_C4","M4B51A_C5","M4B51A_C12M","M4B51A_C12Y","M4B51A_C131","M4B51A_C132","M4B51A_C133","M4B51A_C134","M4B51A_C135","M4B51A_C136","M4B51A_C137","M4B51A_C138","M4B51A_C138_GHIRO","M4B51A_C14","M4B51A_C15","M4B51A_C16","M4B51A_C17","M4B51A_C18","M4B51A_C19","M4B51A_C20","M4B51A_C21","M4B51A_C22","M4B51A_C23A","M4B51A_C23M","M4B51A_C23Y","M4B51A_C24","M4B51A_C25"
"1","02398009002","08","074","02398","009","002",3,2015,1,NA,1,1,3,2023,2,2,2,2,2,2,2,1,"mua của tư nhân","99","02374",15,8,"đường nghiệp",20000,19500,2,3200,2,NA,NA,1,5
"2","02422019004","08","074","02422","019","004",3,2011,1,NA,2,1,6,2021,2,1,2,2,2,2,2,2,"","99","02374",24,10,"đường nghiệp",1000,960,2,2000,2,NA,NA,1,5
"3","02422019005","08","074","02422","019","005",3,2022,1,NA,1,1,8,2022,2,2,2,2,1,2,2,2,"","trại cá km23","02422",5,5,"cá giống",50,50,1.5,100,2,NA,NA,1,2
"4","02422019009","08","074","02422","019","009",3,2022,2,0,2,1,2,2022,2,2,2,2,1,2,2,2,"","99","02518",50,2,"Đường Nghiệp",200,200,1,240,1,2,2023,1,1
"5","03673013001","14","116","03673","013","001",3,2022,1,NA,1,1,8,2022,2,2,2,2,1,2,2,2,"","99","03646",10,1,"rô phi đơn tính",2000,2000,1,1200,2,5,2023,1,3
"6","04765007006","15","141","04765","007","006",3,2018,1,NA,1,1,4,2022,2,2,2,2,2,2,2,1,"thương lái mang tận nhà","99","02536",50,5,"Rô phi đơn tính đường nghiệp",200,200,10,500,2,0,2022,1,2
"7","05320002006","17","157","05320","002","006",3,2022,1,NA,2,1,3,2022,2,2,2,2,1,2,2,2,"","trại cá giống Thanh Hải, Vũ Bình","05335",10,1,"rô phi đơn tính",100,30,3,140,1,7,2023,1,2
"8","05320002010","17","157","05320","002","010",3,2021,1,NA,2,1,2,2021,2,2,2,2,1,2,2,2,"","Cá giống Thanh Hải, Vũ Bình","05335",10,2,"Rô phi đơn tính",100,30,3,140,1,4,2023,1,2
"9","19402012013","45","464","19402","012","013",3,2008,1,NA,2,1,12,2021,2,1,2,2,2,2,2,2,"","99","19402",5,5,"Rô Phi đơn tính",50,40,2,0,2,NA,NA,1,2
"10","19519004010","45","466","19519","004","010",3,2008,1,NA,1,1,9,2022,2,2,2,2,1,2,2,2,"","Giống cá Đồng Hới Quảng Bình","18883",100,5,"Rô phi lai đơn tính",5000,2500,1,60000,2,NA,NA,1,0
"11","23239010013","60","601","23239","010","013",3,2019,1,NA,2,1,2,2022,2,2,2,2,1,2,2,2,"","trại cá Trảng Bom","26248",90,3,"Cá rô phi, diêu hồng, cá chép",350,160,5,800,1,12,2022,1,1
"12","24253033001","66","647","24253","033","001",3,2020,1,NA,1,1,4,2022,2,2,2,2,1,2,2,2,"","trại cá thép","24136",10,2,"rô phi, mè dưng, chép",3500,0,5,1000,1,7,2023,1,2
"13","24253033007","66","647","24253","033","007",3,2020,1,NA,1,1,6,2023,2,2,2,2,1,2,2,2,"","trại cá thép","24136",10,2,"rô phi",2000,0,5,1000,1,10,2022,1,2
"14","24253033010","66","647","24253","033","010",3,2015,1,NA,1,2,10,2022,2,2,2,2,1,2,2,2,"","99","24151",7,7,"ca rô phi thương",500,0,5,1000,1,4,2023,4,2
"15","32050018002","96","966","32050","018","002",3,2000,1,NA,2,1,7,2021,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",0,0,0,0,1,7,2023,1,2
"16","32050018003","96","966","32050","018","003",3,2022,1,NA,2,1,10,2022,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",0,0,0,0,2,NA,NA,1,2
"17","32050018004","96","966","32050","018","004",3,2010,1,NA,2,1,1,2020,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",1000,0,5,0,2,NA,NA,1,2
"18","32050018006","96","966","32050","018","006",3,2002,1,NA,2,1,10,2021,1,2,2,2,2,2,2,2,"","","",NA,NA,"0",0,0,0,0,2,NA,NA,1,2
"19","32050018008","96","966","32050","018","008",3,2002,1,NA,2,1,8,2018,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",0,0,0,0,2,NA,NA,1,2
"20","32050018009","96","966","32050","018","009",3,2010,1,NA,2,1,11,2018,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",1000,0,5,0,2,NA,NA,1,2
"21","32050018013","96","966","32050","018","013",3,2003,1,NA,2,1,1,2013,1,2,2,2,2,2,2,2,"","","",NA,NA,"cá phi thiên nhiên",500,0,2,0,2,NA,NA,1,2
"22","32059023004","96","966","32059","023","004",3,2000,1,NA,2,1,6,2023,1,2,2,2,2,2,2,2,"","","",NA,NA,"không",0,0,0,0,2,NA,NA,1,2
