"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","Province_name","ws_method","ws_area_unit","ws_rate","seed_rate_duration","pre_area_unit","pre_rate","certified","rice_name","KYDIEUTRA","Region","ws_rate_ha","pre_rate_ha"
"1",1,16,400,11,6,400011006,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",1.8,99,NA,NA,1,"Khang Dân",1,"1_RRD",50,NA
"2",1,16,400,11,8,400011008,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",1.8,99,NA,NA,1,"Thơm",1,"1_RRD",50,NA
"3",1,16,400,11,12,400011012,"Thanh pho Ha Noi",5,"Sao Bac Bo (360m2)",2,8,"Sao Bac Bo (360m2)",2,1,"TBR225",1,"1_RRD",55.5555555555556,55.5555555555556
"4",1,16,415,3,3,415003003,"Thanh pho Ha Noi",5,"Sao Bac Bo (360m2)",1.8,10,"Sao Bac Bo (360m2)",1.8,1,"TBR225",1,"1_RRD",50,50
"5",1,16,415,3,5,415003005,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",2,1,"Sao Bac Bo (360m2)",2,1,"thơm",1,"1_RRD",55.5555555555556,55.5555555555556
"6",1,16,415,3,6,415003006,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",1.5,99,NA,NA,1,"TBR225",1,"1_RRD",41.6666666666667,NA
"7",1,16,415,3,7,415003007,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",1.5,99,NA,NA,1,"Thơm",1,"1_RRD",41.6666666666667,NA
"8",1,16,415,3,9,415003009,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",2,9,"Sao Bac Bo (360m2)",2,1,"TBR225",1,"1_RRD",55.5555555555556,55.5555555555556
"9",1,16,415,3,14,415003014,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",1.5,99,NA,NA,1,"Thơm",1,"1_RRD",41.6666666666667,NA
"10",1,16,415,3,15,415003015,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",1.8,99,NA,NA,1,"TBR225",1,"1_RRD",50,NA
"11",1,16,415,3,17,415003017,"Thanh pho Ha Noi",4,"Sao Bac Bo (360m2)",1.8,10,"Sao Bac Bo (360m2)",1.8,1,"HT01",1,"1_RRD",50,50
"12",2,27,811,7,3,811007003,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",4,2,"m2",4,1,"Nghi Hương",1,"2_NMMA",111.111111111111,111.111111111111
"13",2,27,811,7,4,811007004,"Tinh Ha Giang",99,"Sao Bac Bo (360m2)",4,1,"m2",4,1,"Nghi Hương",1,"2_NMMA",111.111111111111,111.111111111111
"14",2,27,811,7,5,811007005,"Tinh Ha Giang",1,"Sao Bac Bo (360m2)",4,99,NA,NA,99,"nghi hương",1,"2_NMMA",111.111111111111,NA
"17",2,27,811,7,11,811007011,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",10,2,"m2",10,1,"Nghi Hương",1,"2_NMMA",277.777777777778,277.777777777778
"18",2,27,811,7,12,811007012,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",6,2,"m2",6,1,"Nghi Hương",1,"2_NMMA",166.666666666667,166.666666666667
"23",2,31,1006,7,1,1006007001,"Tinh Ha Giang",5,"Sao Bac Bo (360m2)",2,99,NA,NA,99,"bao thai",1,"2_NMMA",55.5555555555556,NA
