"MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","Province_name","ws_method","ws_area_unit","ws_rate","seed_rate_duration","pre_area_unit","pre_rate","certified","rice_name","KYDIEUTRA","wt45","Region","count","dom_ea","dom_commune","ws_rate_ha","pre_rate_ha"
1,16,400,11,6,400011006,"Thanh pho Ha Noi",4,2,1.8,99,2,NA,1,"Khang Dân",1,1172,"1_RRD",3,2,2,50,NA
1,16,400,11,8,400011008,"Thanh pho Ha Noi",4,2,1.8,99,2,NA,1,"Thơm",1,1172,"1_RRD",3,2,2,50,NA
1,16,400,11,12,400011012,"Thanh pho Ha Noi",5,2,2,8,2,2,1,"TBR225",1,1172,"1_RRD",3,2,2,55.5555555555556,55.5555555555556
1,16,415,3,3,415003003,"Thanh pho Ha Noi",5,2,1.8,10,2,1.8,1,"TBR225",1,1120,"1_RRD",8,2,2,50,50
1,16,415,3,5,415003005,"Thanh pho Ha Noi",4,2,2,1,2,2,1,"thơm",1,1120,"1_RRD",8,2,2,55.5555555555556,55.5555555555556
1,16,415,3,6,415003006,"Thanh pho Ha Noi",4,2,1.5,99,2,NA,1,"TBR225",1,1120,"1_RRD",8,2,2,41.6666666666667,NA
1,16,415,3,7,415003007,"Thanh pho Ha Noi",4,2,1.5,99,2,NA,1,"Thơm",1,1120,"1_RRD",8,2,2,41.6666666666667,NA
1,16,415,3,9,415003009,"Thanh pho Ha Noi",4,2,2,9,2,2,1,"TBR225",1,1120,"1_RRD",8,2,2,55.5555555555556,55.5555555555556
1,16,415,3,14,415003014,"Thanh pho Ha Noi",4,2,1.5,99,2,NA,1,"Thơm",1,1120,"1_RRD",8,2,2,41.6666666666667,NA
1,16,415,3,15,415003015,"Thanh pho Ha Noi",4,2,1.8,99,2,NA,1,"TBR225",1,1120,"1_RRD",8,2,2,50,NA
1,16,415,3,17,415003017,"Thanh pho Ha Noi",4,2,1.8,10,2,1.8,1,"HT01",1,1120,"1_RRD",8,2,2,50,50
