"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","STT","M4B11A5_C6","M4B11A5_C7","M4B11A5_C8","M4B11A5_C9","KYDIEUTRA"
"1","01","016","00400","011","006","00400011006",0,3,8,6,99,1
"2","01","016","00400","011","006","00400011006",1,7,9,6,99,1
"3","01","016","00400","011","008","00400011008",0,4,8,6,99,1
"4","01","016","00400","011","008","00400011008",1,6,10,6,99,1
"5","01","016","00400","011","012","00400011012",0,17,7,1,1,1
"6","01","016","00415","003","003","00415003003",0,17,10,1,1,1
"7","01","016","00415","003","005","00415003005",0,4,10,6,99,1
"8","01","016","00415","003","005","00415003005",1,6,15,6,99,1
"9","01","016","00415","003","006","00415003006",0,7,10,6,99,1
"10","01","016","00415","003","006","00415003006",1,6,12,6,99,1
"11","01","016","00415","003","007","00415003007",0,4,10,6,99,1
"12","01","016","00415","003","007","00415003007",1,6,12,6,99,1
"13","01","016","00415","003","009","00415003009",0,16,7,1,1,1
"14","01","016","00415","003","014","00415003014",0,2,10,6,99,1
"15","01","016","00415","003","014","00415003014",1,5,12,6,99,1
"16","01","016","00415","003","015","00415003015",0,17,7,1,1,1
"17","01","016","00415","003","017","00415003017",0,17,7,1,1,1
"18","02","027","00811","007","004","00811007004",0,6,8,6,10,1
"19","02","031","01006","007","001","01006007001",0,4,2,6,3,1
"20","02","031","01006","007","001","01006007001",1,3,0,99,99,1
"21","02","031","01006","007","002","01006007002",0,1,2,6,99,1
"22","02","031","01006","007","003","01006007003",0,2,1,99,1,1
"23","02","031","01006","007","004","01006007004",0,2,1,6,1,1
"24","02","031","01006","007","005","01006007005",0,4,2,6,2,1
"25","02","031","01006","007","006","01006007006",0,2,2,99,3,1
"26","02","031","01006","007","008","01006007008",0,4,1,6,2,1
"27","02","031","01006","007","009","01006007009",0,2,1,6,1,1
"28","02","031","01006","007","011","01006007011",0,4,2,99,2,1
"29","02","031","01006","007","012","01006007012",0,3,1,6,2,1
"30","02","031","01006","007","013","01006007013",0,3,1,6,2,1
"31","02","031","01006","007","015","01006007015",0,3,2,6,2,1
"32","02","031","01006","007","015","01006007015",1,7,1,6,3,1
"33","02","034","01171","004","002","01171004002",0,1,6,6,2,1
"34","02","034","01171","004","013","01171004013",0,7,2,6,99,1
"35","02","034","01171","004","015","01171004015",0,11,2,6,99,1
"36","02","034","01171","004","015","01171004015",1,11,4,6,99,1
"37","02","034","01186","011","002","01186011002",0,7,2,5,2,1
"38","02","034","01186","011","005","01186011005",0,2,2,99,2,1
"39","02","034","01186","011","009","01186011009",0,3,2,6,2,1
"40","02","034","01186","011","014","01186011014",0,4,1,6,1,1
"41","02","034","01186","011","015","01186011015",0,2,1,6,1,1
"42","04","042","01318","009","001","01318009001",0,9,6,1,2,1
"43","04","042","01318","009","002","01318009002",0,9,7,1,2,1
"44","04","042","01318","009","003","01318009003",0,9,7,1,3,1
"45","04","042","01318","009","004","01318009004",0,16,10,1,3,1
"46","04","042","01318","009","005","01318009005",0,14,8,1,4,1
"47","04","042","01318","009","006","01318009006",0,15,9,1,4,1
"48","04","042","01318","009","007","01318009007",0,16,12,1,3,1
"49","04","042","01318","009","012","01318009012",0,16,5,1,8,1
"50","04","042","01318","009","013","01318009013",0,17,5,1,3,1
"51","04","042","01318","009","014","01318009014",0,9,5,1,4,1
"52","04","042","01318","009","015","01318009015",0,17,7,1,5,1
"53","04","043","01321","011","002","01321011002",0,9,2,6,3,1
"54","04","043","01321","011","002","01321011002",1,17,6,1,0,1
"55","04","043","01321","011","003","01321011003",0,6,1,6,10,1
"56","04","043","01321","011","003","01321011003",1,11,1,6,10,1
"57","04","043","01321","011","003","01321011003",3,17,5,1,0,1
"58","04","043","01321","011","004","01321011004",0,5,2,6,5,1
"59","04","043","01321","011","004","01321011004",1,17,5,1,0,1
"60","04","043","01321","011","006","01321011006",0,5,5,6,3,1
"61","04","047","01498","004","001","01498004001",0,9,3,6,2,1
"62","04","047","01498","004","001","01498004001",1,10,3,6,2,1
"63","04","047","01498","004","001","01498004001",2,12,3,6,2,1
"64","04","047","01498","004","002","01498004002",0,5,3,6,2,1
"65","04","047","01498","004","002","01498004002",1,7,3,6,99,1
"66","04","047","01498","004","002","01498004002",2,4,3,6,99,1
"67","04","047","01498","004","004","01498004004",0,7,3,6,2,1
"68","04","047","01498","004","004","01498004004",1,12,3,6,2,1
"69","04","047","01498","004","004","01498004004",2,13,3,6,2,1
"70","04","047","01498","004","012","01498004012",0,6,3,6,3,1
"71","04","047","01498","004","012","01498004012",1,7,3,6,3,1
"72","04","047","01498","004","012","01498004012",2,9,3,6,3,1
"73","04","048","01537","004","001","01537004001",0,16,7,1,2,1
"74","04","048","01537","004","002","01537004002",0,17,6,1,2,1
"75","04","048","01537","004","003","01537004003",0,17,7,1,2,1
"76","04","048","01537","004","005","01537004005",0,17,5,1,3,1
"77","04","048","01537","004","006","01537004006",0,17,5,1,1,1
"78","04","048","01537","004","010","01537004010",0,17,5,1,1,1
"79","04","048","01537","004","011","01537004011",0,17,7,1,2,1
"80","04","048","01537","004","013","01537004013",0,16,6,1,3,1
"81","04","048","01537","004","014","01537004014",1,NA,NA,NA,NA,1
"82","04","048","01537","004","015","01537004015",0,16,6,1,2,1
"83","04","051","01666","003","001","01666003001",0,2,2,1,4,1
"84","04","051","01666","003","001","01666003001",1,5,3,1,3,1
"85","04","051","01666","003","001","01666003001",2,18,3,1,2,1
"86","04","051","01666","003","002","01666003002",1,NA,NA,NA,NA,1
"87","04","051","01666","003","003","01666003003",0,4,4,1,5,1
"88","04","051","01666","003","003","01666003003",1,11,4,1,3,1
"89","04","051","01666","003","004","01666003004",0,8,6,1,6,1
"90","04","051","01666","003","004","01666003004",1,15,10,1,3,1
"91","04","051","01666","003","005","01666003005",0,8,3,1,3,1
"92","04","051","01666","003","005","01666003005",1,5,2,1,3,1
"93","04","051","01666","003","006","01666003006",1,NA,NA,NA,NA,1
"94","04","051","01666","003","007","01666003007",0,3,3,1,5,1
"95","04","051","01666","003","007","01666003007",1,9,4,1,5,1
"96","04","051","01666","003","008","01666003008",0,6,5,3,5,1
"97","04","051","01666","003","008","01666003008",1,14,10,3,3,1
"98","04","051","01666","003","009","01666003009",0,2,3,1,4,1
