"","MATINH","MAHUYEN","MAXA","KYDIEUTRA","M41_C5","M41_C6","M41_C71","M41_C72","M41_C73","M41_C74","M41_C75","M41_C75_GHIRO","M42_C1","M42_C2","M42_C3","M42_C4","M42_C5","M42_C6","M42_C7","M42_C8","M42_C9","M42_C13","M42_C141","M42_C142","M42_C143","M42_C144","M42_C144_GHIRO","M42_C151","M42_C152","M42_C153","M42_C154","M42_C154_GHIRO","M43_C1","M43_C2","M43_C3","M43_C41","M43_C42","M43_C43","M43_C44","M43_C45","M43_C45_GHIRO","M43_C91","M43_C92","M43_C93","M43_C9B01","M43_C9B02","M43_C9B03","M43_C9B04","M43_C9B05","M43_C9B06","M43_C9B07","M43_C9B08","M43_C9B09","M43_C9B10","M43_C9B11","M43_C9B11_GHIRO"
"1","01","016","00400",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2","01","016","00439",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"3","01","018","00550",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"4","01","018","00553",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"5","01","020","00661",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"6","02","026","00766",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,917.42,2019,1,2,2,2,2,"",917.42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"7","02","028","00847",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,2,2,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1278.9,2010,2,2,2,1,2,"",1218.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"8","02","029","00889",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1532,2015,1,2,2,2,2,"",1219.53,809.65,12.33,2,2,2,2,2,2,2,2,2,2,1,"sa mộc"
"9","02","030","00925",1,2,2,NA,NA,NA,NA,NA,"",1,3,2,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,2012,1,2,2,1,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"10","02","032","01090",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,2100.28,2014,1,2,2,2,2,"",1542.8,0,557.48,2,2,2,2,2,2,1,2,2,1,1,"xa mộc"
"11","02","034","01195",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,6273.61,2021,2,2,1,2,2,"",6273.61,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"12","02","035","01228",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,5394.17,2012,1,2,2,2,2,"",0,0,5394.17,1,2,2,1,2,2,1,2,2,2,2,""
"13","04","042","01316",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,2,3,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1440.46,2010,1,2,2,2,2,"",2577.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"14","04","047","01465",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,713.29,2022,1,2,2,2,2,"",690.2,0,548.93,1,2,2,1,2,2,2,2,2,2,1,"sa mộc"
"15","04","048","01549",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"16","04","051","01666",1,2,2,NA,NA,NA,NA,NA,"",1,3,2,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,3136.98,2023,2,2,2,2,2,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17","04","051","01675",1,2,2,NA,NA,NA,NA,NA,"",1,3,2,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"18","04","040","01720",1,2,2,NA,NA,NA,NA,NA,"",1,3,2,2,3,1,8,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"19","06","060","01870",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,654.9,2018,1,2,2,2,2,"",654.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"20","06","063","01990",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"21","06","063","02017",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"22","06","064","02050",1,3,3,NA,NA,NA,NA,NA,"",1,2,1,1,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"23","06","065","02116",1,3,3,NA,NA,NA,NA,NA,"",1,3,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"24","06","066","02197",1,2,2,NA,NA,NA,NA,NA,"",1,2,2,2,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"25","08","073","02338",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"26","08","073","02341",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,6216.1,2013,1,2,2,2,2,"",4322.42,0,320.91,2,2,2,2,2,2,2,2,2,1,1,"gỗ tạp"
