"","MATINH","MAHUYEN","MAXA","MADIABAN","IDHO","KYDIEUTRA","store_method","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","timing","moisture","dry_method","n_app_drug","n_app_insect_fungi","n_insecticide","n_fungicide","n_app_fert","sum_fert","water_source","pipe","n_drydown","ws_method","ws_area_unit","ws_rate_ha","certified","rice_name","Province_name","Region","HOSO","DANTOCCHUHO","THUNHAP","TONGCHITIEU","M8_C1","dummy_1m","dummy_1r","dummy_1m1r","dummy_2r_fert","dummy_2r_n_app","dummy_1m2r","dummy_3r_n_app","dummy_3r_insect_1app","dummy_3r_fungi_2app","dummy_3r_stage","dummy_1m3r","dummy_4r","dummy_1m4r","dummy_5r","dummy_1m5r"
"1",1,16,400,11,400011006,1,3,1,0,0,0,2,1,3,2,2,2,1,2,61.11,1,NA,2,4,"Sao Bac Bo (360m2)",50,1,"Khang Dân","Thanh pho Ha Noi","1_RRD","6",1,273420,NA,3,1,1,1,1,0,0,1,0,1,0,NA,0,0,1,0
"2",1,16,400,11,400011008,1,3,1,0,0,0,2,1,3,2,2,2,0,2,66.67,1,NA,2,4,"Sao Bac Bo (360m2)",50,1,"Thơm","Thanh pho Ha Noi","1_RRD","8",1,62495,NA,3,1,1,1,1,0,0,1,0,1,0,NA,0,0,1,0
"3",1,16,400,11,400011012,1,3,1,0,0,0,3,1,2,3,2,2,0,3,33.33,1,NA,1,5,"Sao Bac Bo (360m2)",55.5555555555556,1,"TBR225","Thanh pho Ha Noi","1_RRD","12",1,57717,NA,3,1,1,1,1,1,1,1,0,1,0,NA,0,0,0,0
"4",1,16,415,3,415003003,1,3,1,0,0,0,3,1,2,3,2,1,2,3,33.33,1,NA,1,5,"Sao Bac Bo (360m2)",50,1,"TBR225","Thanh pho Ha Noi","1_RRD","3",1,186409,NA,3,1,1,1,1,1,1,1,1,1,0,NA,0,0,0,0
"5",1,16,415,3,415003005,1,3,1,0,0,0,2,1,2,2,2,2,0,2,18.06,4,2,2,4,"Sao Bac Bo (360m2)",55.5555555555556,1,"thơm","Thanh pho Ha Noi","1_RRD","5",1,29378,NA,3,1,1,1,1,0,0,1,0,1,0,NA,0,0,1,0
"6",1,16,415,3,415003006,1,3,1,0,0,0,2,1,2,2,2,2,0,2,0,1,NA,2,4,"Sao Bac Bo (360m2)",41.6666666666667,1,"TBR225","Thanh pho Ha Noi","1_RRD","6",1,243540,NA,3,1,1,1,1,0,0,1,0,1,0,NA,0,0,1,0
"7",1,16,415,3,415003007,1,3,1,0,0,0,2,1,2,2,2,2,0,2,0,1,NA,2,4,"Sao Bac Bo (360m2)",41.6666666666667,1,"Thơm","Thanh pho Ha Noi","1_RRD","7",1,148320,NA,3,1,1,1,1,0,0,1,0,1,0,NA,0,0,1,0
"8",1,16,415,3,415003009,1,3,1,0,0,0,3,1,2,3,2,2,2,3,26.66,1,NA,1,4,"Sao Bac Bo (360m2)",55.5555555555556,1,"TBR225","Thanh pho Ha Noi","1_RRD","9",1,273962,NA,3,1,1,1,1,1,1,1,0,1,0,NA,0,0,0,0
"9",1,16,415,3,415003014,1,3,1,0,0,0,2,1,3,2,2,2,1,2,26.67,1,NA,2,4,"Sao Bac Bo (360m2)",41.6666666666667,1,"Thơm","Thanh pho Ha Noi","1_RRD","14",1,155998,195811.5,3,1,1,1,1,0,0,1,0,1,0,NA,0,0,1,0
"10",1,16,415,3,415003015,1,2,1,0,0,0,3,1,2,3,2,2,0,3,27.78,1,NA,1,4,"Sao Bac Bo (360m2)",50,1,"TBR225","Thanh pho Ha Noi","1_RRD","15",1,367485,118186,3,1,1,1,1,1,1,1,0,1,0,NA,0,0,0,0
"11",1,16,415,3,415003017,1,3,1,0,0,0,3,1,2,3,2,2,0,3,44.44,1,NA,1,4,"Sao Bac Bo (360m2)",50,1,"HT01","Thanh pho Ha Noi","1_RRD","17",1,809027,NA,3,1,1,1,1,1,1,1,0,1,0,NA,0,0,0,0
"12",2,27,811,7,811007003,1,2,0,0,1,0,3,2,2,1,1,1,0,1,230000,4,2,0,5,"Sao Bac Bo (360m2)",111.111111111111,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"13",2,27,811,7,811007004,1,2,0,0,1,0,3,2,3,1,1,1,0,1,92000,4,2,1,99,"Sao Bac Bo (360m2)",111.111111111111,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
"14",2,27,811,7,811007005,1,2,0,0,1,0,3,1,3,0,0,0,0,1,0,3,2,0,1,"Sao Bac Bo (360m2)",111.111111111111,99,"nghi hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,NA,NA,0,0,0,0
"15",2,27,811,7,811007007,1,2,0,0,1,0,3,1,3,1,1,1,0,2,240000,3,2,0,NA,NA,NA,NA,NA,"Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,NA,0,0,0,0
"16",2,27,811,7,811007010,1,2,0,0,1,0,3,1,3,0,0,0,0,1,0,3,2,0,NA,NA,NA,NA,NA,"Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,0,0
"17",2,27,811,7,811007011,1,2,0,0,1,0,3,2,2,1,1,1,0,1,460000,4,2,0,5,"Sao Bac Bo (360m2)",277.777777777778,1,"Nghi Hương","Tinh Ha Giang","2_NMMA",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,NA,0,0,0,0
