"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","STT","M4B11A3_C3","M4B11A3_C41","M4B11A3_C42","M4B11A3_C43","M4B11A3_C499","M4B11A3_C5","M4B11A3_C6","M4B11A3_C8","KYDIEUTRA"
"1","01","016","00400","011","006","00400011006",0,"4;7;8;",2,1,2,2,3,2,NA,1
"2","01","016","00400","011","006","00400011006",1,"4;7;8;20;",2,1,2,2,6,2,NA,1
"3","01","016","00400","011","008","00400011008",0,"1;4;7;8;",2,1,2,2,4,2,NA,1
"4","01","016","00400","011","008","00400011008",1,"4;7;8;",2,1,2,2,6,2,NA,1
"5","01","016","00400","011","012","00400011012",0,"4;5;",1,1,2,2,1,2,NA,1
"6","01","016","00400","011","012","00400011012",1,"5;7;",1,1,2,2,7,2,NA,1
"7","01","016","00415","003","003","00415003003",0,"4;17;",1,1,2,2,2,3,NA,1
"8","01","016","00415","003","003","00415003003",1,"19;",1,1,2,2,4,2,NA,1
"9","01","016","00415","003","005","00415003005",0,"1;4;7;8;",2,1,2,2,4,2,NA,1
"10","01","016","00415","003","005","00415003005",1,"4;7;",2,1,2,2,6,2,NA,1
"11","01","016","00415","003","006","00415003006",0,"1;4;7;8;",2,1,2,2,4,2,NA,1
"12","01","016","00415","003","006","00415003006",1,"4;7;",2,1,2,2,6,2,NA,1
"13","01","016","00415","003","007","00415003007",0,"1;4;7;8;",2,1,2,2,4,2,NA,1
"14","01","016","00415","003","007","00415003007",1,"4;7;",2,1,2,2,6,2,NA,1
"15","01","016","00415","003","009","00415003009",0,"4;17;",1,1,2,2,3,2,NA,1
"16","01","016","00415","003","009","00415003009",1,"7;18;",1,1,2,2,6,2,NA,1
"17","01","016","00415","003","014","00415003014",0,"1;4;7;8;",2,1,2,2,4,2,NA,1
"18","01","016","00415","003","014","00415003014",1,"4;7;8;23;",2,1,2,2,6,2,NA,1
"19","01","016","00415","003","015","00415003015",0,"1;4;",1,1,2,2,0,2,NA,1
"20","01","016","00415","003","015","00415003015",1,"4;7;",1,1,2,2,4,2,NA,1
"21","01","016","00415","003","017","00415003017",0,"4;",1,1,2,2,3,2,NA,1
"22","01","016","00415","003","017","00415003017",1,"5;7;",1,1,2,2,7,2,NA,1
"23","02","027","00811","007","003","00811007003",0,"4;",2,1,2,2,5,1,NA,1
"24","02","027","00811","007","004","00811007004",0,"4;",2,1,2,2,4,1,NA,1
"25","02","027","00811","007","007","00811007007",0,"4;",2,1,2,2,4,1,NA,1
"26","02","027","00811","007","011","00811007011",0,"4;",2,1,2,2,4,1,NA,1
"27","02","027","00811","007","012","00811007012",0,"4;",2,1,2,2,6,1,NA,1
"28","02","031","01006","007","001","01006007001",0,"4;",2,1,2,2,3,1,NA,1
"29","02","031","01006","007","002","01006007002",0,"3;4;",1,1,2,2,6,2,NA,1
"30","02","031","01006","007","002","01006007002",1,"3;4;",2,1,2,2,4,1,NA,1
"31","02","031","01006","007","003","01006007003",0,"2;3;4;5;6;",2,1,2,2,4,1,NA,1
"32","02","031","01006","007","004","01006007004",0,"4;6;",2,1,2,2,5,1,NA,1
"33","02","031","01006","007","004","01006007004",1,"4;6;",2,1,2,2,4,1,NA,1
"34","02","031","01006","007","005","01006007005",0,"3;4;5;6;",1,1,2,2,3,1,NA,1
"35","02","031","01006","007","005","01006007005",1,"3;4;5;6;",2,1,2,2,4,1,NA,1
"36","02","031","01006","007","006","01006007006",0,"4;5;6;",2,1,2,2,7,1,NA,1
"37","02","031","01006","007","008","01006007008",0,"4;",2,1,2,2,11,1,NA,1
"38","02","031","01006","007","009","01006007009",0,"2;3;4;5;6;",2,1,2,2,2,1,NA,1
"39","02","031","01006","007","011","01006007011",0,"3;4;5;6;7;",2,1,2,2,7,1,NA,1
"40","02","031","01006","007","012","01006007012",0,"2;3;",2,1,2,2,5,1,NA,1
"41","02","031","01006","007","013","01006007013",0,"2;3;4;",2,1,2,2,8,1,NA,1
"42","02","031","01006","007","015","01006007015",0,"4;",2,1,2,2,3,1,NA,1
"43","02","034","01171","004","002","01171004002",0,"1;4;7;",1,1,2,2,4,1,NA,1
"44","02","034","01171","004","002","01171004002",1,"1;4;7;",2,1,2,2,3,1,NA,1
"45","02","034","01171","004","013","01171004013",0,"2;3;",2,1,2,2,5,1,NA,1
