"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_hh"
"01","Ha Noi","001","Ba Dinh","00001","Phuc Xa","5863"
"01","Ha Noi","001","Ba Dinh","00004","Truc Bach","1948"
"01","Ha Noi","001","Ba Dinh","00006","Vinh Phuc","6314"
"01","Ha Noi","001","Ba Dinh","00007","Cong Vi","4357"
"01","Ha Noi","001","Ba Dinh","00008","Lieu Giai","5639"
"01","Ha Noi","001","Ba Dinh","00010","Nguyen Trung Truc","2127"
"01","Ha Noi","001","Ba Dinh","00013","Quan Thanh","2078"
"01","Ha Noi","001","Ba Dinh","00016","Ngoc Ha","5257"
"01","Ha Noi","001","Ba Dinh","00019","Dien Bien","2463"
"01","Ha Noi","001","Ba Dinh","00022","Doi Can","3812"
"01","Ha Noi","001","Ba Dinh","00025","Ngoc Khanh","5847"
"01","Ha Noi","001","Ba Dinh","00028","Kim Ma","4029"
"01","Ha Noi","001","Ba Dinh","00031","Giang Vo","5183"
"01","Ha Noi","001","Ba Dinh","00034","Thanh Cong","6342"
"01","Ha Noi","002","Hoan Kiem","00037","Phuc Tan","4638"
"01","Ha Noi","002","Hoan Kiem","00040","Dong Xuan","2402"
"01","Ha Noi","002","Hoan Kiem","00043","Hang Ma","1836"
"01","Ha Noi","002","Hoan Kiem","00046","Hang Buom","1531"
"01","Ha Noi","002","Hoan Kiem","00049","Hang Dao","1553"
"01","Ha Noi","002","Hoan Kiem","00052","Hang Bo","1480"
"01","Ha Noi","002","Hoan Kiem","00055","Cua Dong","1802"
"01","Ha Noi","002","Hoan Kiem","00058","Ly Thai To","1391"
"01","Ha Noi","002","Hoan Kiem","00061","Hang Bac","1372"
"01","Ha Noi","002","Hoan Kiem","00064","Hang Gai","1587"
"01","Ha Noi","002","Hoan Kiem","00067","Chuong Duong","6554"
"01","Ha Noi","002","Hoan Kiem","00070","Hang Trong","1397"
"01","Ha Noi","002","Hoan Kiem","00073","Cua Nam","1856"
"01","Ha Noi","002","Hoan Kiem","00076","Hang Bong","1737"
"01","Ha Noi","002","Hoan Kiem","00079","Trang Tien","1164"
"01","Ha Noi","002","Hoan Kiem","00082","Tran Hung Dao","2025"
"01","Ha Noi","002","Hoan Kiem","00085","Phan Chu Trinh","1426"
"01","Ha Noi","002","Hoan Kiem","00088","Hang Bai","1563"
"01","Ha Noi","003","Tay Ho","00091","Phu Thuong","6666"
"01","Ha Noi","003","Tay Ho","00094","Nhat Tan","4554"
"01","Ha Noi","003","Tay Ho","00097","Tu Lien","4799"
"01","Ha Noi","003","Tay Ho","00100","Quang An","2609"
"01","Ha Noi","003","Tay Ho","00103","Xuan La","7740"
"01","Ha Noi","003","Tay Ho","00106","Yen Phu","6183"
"01","Ha Noi","003","Tay Ho","00109","Buoi","6507"
"01","Ha Noi","003","Tay Ho","00112","Thuy Khue","4015"
"01","Ha Noi","004","Long Bien","00115","Thuong Thanh","7899"
"01","Ha Noi","004","Long Bien","00118","Ngoc Thuy","10134"
"01","Ha Noi","004","Long Bien","00121","Giang Bien","6633"
"01","Ha Noi","004","Long Bien","00124","Duc Giang","7403"
"01","Ha Noi","004","Long Bien","00127","Viet Hung","5849"
"01","Ha Noi","004","Long Bien","00130","Gia Thuy","4105"
"01","Ha Noi","004","Long Bien","00133","Ngoc Lam","6364"
"01","Ha Noi","004","Long Bien","00136","Phuc Loi","5174"
"01","Ha Noi","004","Long Bien","00139","Bo De","8346"
"01","Ha Noi","004","Long Bien","00142","Sai Dong","4690"
"01","Ha Noi","004","Long Bien","00145","Long Bien","5904"
"01","Ha Noi","004","Long Bien","00148","Thach Ban","7459"
"01","Ha Noi","004","Long Bien","00151","Phuc Dong","3798"
"01","Ha Noi","004","Long Bien","00154","Cu Khoi","2477"
"01","Ha Noi","005","Cau Giay","00157","Nghia Do","9700"
"01","Ha Noi","005","Cau Giay","00160","Nghia Tan","5950"
"01","Ha Noi","005","Cau Giay","00163","Mai Dich","13223"
"01","Ha Noi","005","Cau Giay","00166","Dich Vong","8634"
"01","Ha Noi","005","Cau Giay","00167","Dich Vong Hau","8356"
"01","Ha Noi","005","Cau Giay","00169","Quan Hoa","12637"
"01","Ha Noi","005","Cau Giay","00172","Yen Hoa","13962"
"01","Ha Noi","005","Cau Giay","00175","Trung Hoa","16934"
"01","Ha Noi","006","Dong Da","00178","Cat Linh","3131"
"01","Ha Noi","006","Dong Da","00181","Van Mieu","2870"
"01","Ha Noi","006","Dong Da","00184","Quoc Tu Giam","2351"
"01","Ha Noi","006","Dong Da","00187","Lang Thuong","13358"
"01","Ha Noi","006","Dong Da","00190","O Cho Dua","8988"
"01","Ha Noi","006","Dong Da","00193","Van Chuong","5017"
"01","Ha Noi","006","Dong Da","00196","Hang Bot","5175"
"01","Ha Noi","006","Dong Da","00199","Lang Ha","8341"
"01","Ha Noi","006","Dong Da","00202","Kham Thien","2628"
"01","Ha Noi","006","Dong Da","00205","Tho Quan","4790"
"01","Ha Noi","006","Dong Da","00208","Nam Dong","4268"
"01","Ha Noi","006","Dong Da","00211","Trung Phung","4821"
"01","Ha Noi","006","Dong Da","00214","Quang Trung","3667"
"01","Ha Noi","006","Dong Da","00217","Trung Liet","6898"
"01","Ha Noi","006","Dong Da","00220","Phuong Lien","5042"
"01","Ha Noi","006","Dong Da","00223","Thinh Quang","5266"
"01","Ha Noi","006","Dong Da","00226","Trung Tu","3087"
"01","Ha Noi","006","Dong Da","00229","Kim Lien","4067"
"01","Ha Noi","006","Dong Da","00232","Phuong Mai","5715"
"01","Ha Noi","006","Dong Da","00235","Nga Tu So","2420"
