"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_rice_hh"
"01","Ha Noi","003","Tay Ho","00091","Phu Thuong",0
"01","Ha Noi","003","Tay Ho","00094","Nhat Tan",0
"01","Ha Noi","003","Tay Ho","00097","Tu Lien",0
"01","Ha Noi","003","Tay Ho","00100","Quang An",0
"01","Ha Noi","003","Tay Ho","00103","Xuan La",0
"01","Ha Noi","003","Tay Ho","00106","Yen Phu",0
"01","Ha Noi","004","Long Bien","00115","Thuong Thanh",57
"01","Ha Noi","004","Long Bien","00118","Ngoc Thuy",0
"01","Ha Noi","004","Long Bien","00121","Giang Bien",444
"01","Ha Noi","004","Long Bien","00124","Duc Giang",0
"01","Ha Noi","004","Long Bien","00127","Viet Hung",0
"01","Ha Noi","004","Long Bien","00136","Phuc Loi",69
"01","Ha Noi","004","Long Bien","00139","Bo De",0
"01","Ha Noi","004","Long Bien","00145","Long Bien",0
"01","Ha Noi","004","Long Bien","00148","Thach Ban",41
"01","Ha Noi","004","Long Bien","00151","Phuc Dong",1
"01","Ha Noi","004","Long Bien","00154","Cu Khoi",0
"01","Ha Noi","008","Hoang Mai","00301","Thanh Tri",0
"01","Ha Noi","008","Hoang Mai","00304","Vinh Hung",0
"01","Ha Noi","008","Hoang Mai","00307","Dinh Cong",0
"01","Ha Noi","008","Hoang Mai","00328","Linh Nam",0
"01","Ha Noi","008","Hoang Mai","00334","Tran Phu",225
"01","Ha Noi","008","Hoang Mai","00337","Hoang Liet",0
"01","Ha Noi","008","Hoang Mai","00340","Yen So",123
"01","Ha Noi","016","Soc Son","00376","Soc Son",79
"01","Ha Noi","016","Soc Son","00379","Bac Son",3172
"01","Ha Noi","016","Soc Son","00382","Minh Tri",2781
"01","Ha Noi","016","Soc Son","00385","Hong Ky",2097
"01","Ha Noi","016","Soc Son","00388","Nam Son",1807
"01","Ha Noi","016","Soc Son","00391","Trung Gia",1334
"01","Ha Noi","016","Soc Son","00394","Tan Hung",2148
"01","Ha Noi","016","Soc Son","00397","Minh Phu",2613
"01","Ha Noi","016","Soc Son","00400","Phu Linh",1584
"01","Ha Noi","016","Soc Son","00403","Bac Phu",2210
"01","Ha Noi","016","Soc Son","00406","Tan Minh",2729
"01","Ha Noi","016","Soc Son","00409","Quang Tien",1478
"01","Ha Noi","016","Soc Son","00412","Hien Ninh",2406
"01","Ha Noi","016","Soc Son","00415","Tan Dan",2077
"01","Ha Noi","016","Soc Son","00418","Tien Duoc",2054
"01","Ha Noi","016","Soc Son","00421","Viet Long",1768
"01","Ha Noi","016","Soc Son","00424","Xuan Giang",1798
"01","Ha Noi","016","Soc Son","00427","Mai Dinh",2980
"01","Ha Noi","016","Soc Son","00430","Duc Hoa",1723
"01","Ha Noi","016","Soc Son","00433","Thanh Xuan",2366
"01","Ha Noi","016","Soc Son","00436","Dong Xuan",1850
"01","Ha Noi","016","Soc Son","00439","Kim Lu",2069
"01","Ha Noi","016","Soc Son","00442","Phu Cuong",1190
"01","Ha Noi","016","Soc Son","00445","Phu Minh",1370
"01","Ha Noi","016","Soc Son","00448","Phu Lo",1439
"01","Ha Noi","016","Soc Son","00451","Xuan Thu",1964
"01","Ha Noi","017","Dong Anh","00454","Dong Anh",3
"01","Ha Noi","017","Dong Anh","00457","Xuan Non",2296
"01","Ha Noi","017","Dong Anh","00460","Thuy Lam",2831
"01","Ha Noi","017","Dong Anh","00463","Bac Hong",2243
"01","Ha Noi","017","Dong Anh","00466","Nguyen Khe",1429
"01","Ha Noi","017","Dong Anh","00469","Nam Hong",1752
"01","Ha Noi","017","Dong Anh","00472","Tien Duong",2336
"01","Ha Noi","017","Dong Anh","00475","Van Ha",1260
"01","Ha Noi","017","Dong Anh","00478","Uy No",1529
"01","Ha Noi","017","Dong Anh","00481","Van Noi",813
"01","Ha Noi","017","Dong Anh","00484","Lien Ha",2093
"01","Ha Noi","017","Dong Anh","00487","Viet Hung",2205
"01","Ha Noi","017","Dong Anh","00490","Kim No",1718
"01","Ha Noi","017","Dong Anh","00493","Kim Chung",1060
"01","Ha Noi","017","Dong Anh","00496","Duc Tu",2811
"01","Ha Noi","017","Dong Anh","00499","Dai Mach",1097
"01","Ha Noi","017","Dong Anh","00502","Vinh Ngoc",2114
"01","Ha Noi","017","Dong Anh","00505","Co Loa",2322
"01","Ha Noi","017","Dong Anh","00508","Hai Boi",866
"01","Ha Noi","017","Dong Anh","00511","Xuan Canh",1615
"01","Ha Noi","017","Dong Anh","00514","Vong La",152
"01","Ha Noi","017","Dong Anh","00517","Tam Xa",4
"01","Ha Noi","017","Dong Anh","00520","Mai Lam",1293
"01","Ha Noi","017","Dong Anh","00523","Dong Hoi",1527
"01","Ha Noi","018","Gia Lam","00526","Yen Vien",0
"01","Ha Noi","018","Gia Lam","00529","Yen Thuong",2473
"01","Ha Noi","018","Gia Lam","00532","Yen Vien",603
"01","Ha Noi","018","Gia Lam","00535","Ninh Hiep",482
"01","Ha Noi","018","Gia Lam","00538","Dinh Xuyen",1279
"01","Ha Noi","018","Gia Lam","00541","Duong Ha",847
"01","Ha Noi","018","Gia Lam","00544","Phu Dong",1831
"01","Ha Noi","018","Gia Lam","00547","Trung Mau",1111
"01","Ha Noi","018","Gia Lam","00550","Le Chi",1786
"01","Ha Noi","018","Gia Lam","00553","Co Bi",800
"01","Ha Noi","018","Gia Lam","00556","Dang Xa",630
"01","Ha Noi","018","Gia Lam","00559","Phu Thi",334
