"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","M4B11A2_C1","M4B11A2_C2A","M4B11A2_C2B","M4B11A2_C3","M4B11A2_C4A","M4B11A2_C4B","M4B11A2_C5","M4B11A2_C6","M4B11A3_C1","M4B11A3_C2","M4B11A3_C2B","M4B11A4_C1","M4B11A5_C1","M4B11A5_C1_GHIRO","M4B11A5_C3","M4B11A5_C4","M4B11A5_C5","M4B11A6_C1","M4B11A6_C21","M4B11A6_C22","M4B11A6_C23","M4B11A6_C24","M4B11A6_C24_GHIRO","M4B11A6_C3","M4B11A6_C4","M4B11A6_C4_GHIRO","M4B11A6_C5","M4B11A6_C6","M4B11A6_C7","M4B11A7_C11","M4B11A7_C12","M4B11A7_C13","M4B11A7_C14","KYDIEUTRA"
"1","01","016","00400","011","006","00400011006",4,2,1.8,99,NA,NA,1,"Khang Dân",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,6,3,NA,NA,3,1,99,99,99,99,1
"2","01","016","00400","011","008","00400011008",4,2,1.8,99,NA,NA,1,"Thơm",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,6,3,NA,NA,3,1,99,99,99,99,1
"3","01","016","00400","011","012","00400011012",5,2,2,8,2,2,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,3,1,99,99,99,99,1
"4","01","016","00415","003","003","00415003003",5,2,1.8,10,2,1.8,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,3,1,99,99,99,99,1
"5","01","016","00415","003","005","00415003005",4,2,2,1,2,2,1,"thơm",2,2,NA,2,4,NA,99,2,2,2,1,2,2,2,NA,5,2,NA,NA,3,1,99,99,99,99,1
"6","01","016","00415","003","006","00415003006",4,2,1.5,99,NA,NA,1,"TBR225",2,2,2,2,1,NA,99,NA,2,2,1,2,2,2,NA,5,2,NA,NA,3,1,99,99,99,99,1
"7","01","016","00415","003","007","00415003007",4,2,1.5,99,NA,NA,1,"Thơm",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,5,2,NA,NA,3,1,99,99,99,99,1
"8","01","016","00415","003","009","00415003009",4,2,2,9,2,2,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,3,1,99,99,99,99,1
"9","01","016","00415","003","014","00415003014",4,2,1.5,99,NA,NA,1,"Thơm",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,5,3,NA,NA,3,1,99,99,99,99,1
"10","01","016","00415","003","015","00415003015",4,2,1.8,99,NA,NA,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,2,1,99,1,1,1,1
