"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","Province_name","ws_method","ws_area_unit","ws_rate","seed_rate_duration","pre_area_unit","pre_rate","certified","rice_name","KYDIEUTRA","Region","count","dom_ea","dom_commune","ws_rate_ha"
"1",1,16,400,11,6,400011006,"Thanh pho Ha Noi",4,2,1.8,99,NA,NA,1,"Khang Dân",1,"1_RRD",3,2,2,50
"2",1,16,400,11,8,400011008,"Thanh pho Ha Noi",4,2,1.8,99,NA,NA,1,"Thơm",1,"1_RRD",3,2,2,50
"3",1,16,400,11,12,400011012,"Thanh pho Ha Noi",5,2,2,8,2,2,1,"TBR225",1,"1_RRD",3,2,2,55.5555555555556
"4",1,16,415,3,3,415003003,"Thanh pho Ha Noi",5,2,1.8,10,2,1.8,1,"TBR225",1,"1_RRD",8,2,2,50
"5",1,16,415,3,5,415003005,"Thanh pho Ha Noi",4,2,2,1,2,2,1,"thơm",1,"1_RRD",8,2,2,55.5555555555556
"6",1,16,415,3,6,415003006,"Thanh pho Ha Noi",4,2,1.5,99,NA,NA,1,"TBR225",1,"1_RRD",8,2,2,41.6666666666667
"7",1,16,415,3,7,415003007,"Thanh pho Ha Noi",4,2,1.5,99,NA,NA,1,"Thơm",1,"1_RRD",8,2,2,41.6666666666667
"8",1,16,415,3,9,415003009,"Thanh pho Ha Noi",4,2,2,9,2,2,1,"TBR225",1,"1_RRD",8,2,2,55.5555555555556
"9",1,16,415,3,14,415003014,"Thanh pho Ha Noi",4,2,1.5,99,NA,NA,1,"Thơm",1,"1_RRD",8,2,2,41.6666666666667
"10",1,16,415,3,15,415003015,"Thanh pho Ha Noi",4,2,1.8,99,NA,NA,1,"TBR225",1,"1_RRD",8,2,2,50
"11",1,16,415,3,17,415003017,"Thanh pho Ha Noi",4,2,1.8,10,2,1.8,1,"HT01",1,"1_RRD",8,2,2,50
"12",2,27,811,7,3,811007003,"Tinh Ha Giang",5,1,4,2,1,4,1,"Nghi Hương",1,"2_NMMA",6,1,1,40000
"13",2,27,811,7,4,811007004,"Tinh Ha Giang",99,1,4,1,1,4,1,"Nghi Hương",1,"2_NMMA",6,1,1,40000
"14",2,27,811,7,5,811007005,"Tinh Ha Giang",1,1,4,99,NA,NA,99,"nghi hương",1,"2_NMMA",6,1,1,40000
"15",2,27,811,7,7,811007007,"Tinh Ha Giang",1,1,300,3,1,3,99,"tạp giao",1,"2_NMMA",6,1,1,3000000
"16",2,27,811,7,10,811007010,"Tinh Ha Giang",1,1,0,NA,NA,NA,99,"0",1,"2_NMMA",5,1,1,0
"17",2,27,811,7,11,811007011,"Tinh Ha Giang",5,1,10,2,1,10,1,"Nghi Hương",1,"2_NMMA",6,1,1,100000
"18",2,27,811,7,12,811007012,"Tinh Ha Giang",5,1,6,2,1,6,1,"Nghi Hương",1,"2_NMMA",6,1,1,60000
"19",2,27,811,7,13,811007013,"Tinh Ha Giang",99,1,0,NA,NA,NA,99,"không trồng",1,"2_NMMA",5,1,1,0
"20",2,27,811,7,14,811007014,"Tinh Ha Giang",5,1,0,NA,NA,NA,99,"không biết",1,"2_NMMA",5,1,1,0
"21",2,27,811,7,15,811007015,"Tinh Ha Giang",99,1,0,NA,NA,NA,99,"nghi hương",1,"2_NMMA",5,1,1,0
"22",2,27,811,7,16,811007016,"Tinh Ha Giang",99,1,0,NA,NA,NA,99,"0",1,"2_NMMA",5,1,1,0
"23",2,31,1006,7,1,1006007001,"Tinh Ha Giang",5,1,2,99,NA,NA,99,"bao thai",1,"2_NMMA",11,1,1,20000
"24",2,31,1006,7,2,1006007002,"Tinh Ha Giang",99,1,5,10,1,5,2,"lúa thuần",1,"2_NMMA",11,1,1,50000
"25",2,31,1006,7,3,1006007003,"Tinh Ha Giang",5,1,5,6,1,7,2,"lúa thuần",1,"2_NMMA",11,1,1,50000
"26",2,31,1006,7,4,1006007004,"Tinh Ha Giang",5,1,5,8,1,7,2,"lúa thuần",1,"2_NMMA",11,1,1,50000
"27",2,31,1006,7,5,1006007005,"Tinh Ha Giang",4,1,5,10,1,5,99,"lúa thuần",1,"2_NMMA",11,1,1,50000
"28",2,31,1006,7,6,1006007006,"Tinh Ha Giang",4,1,5,7,1,9,2,"lúa thuần",1,"2_NMMA",11,1,1,50000
"29",2,31,1006,7,8,1006007008,"Tinh Ha Giang",99,1,5,99,NA,NA,99,"lúa thuần",1,"2_NMMA",11,1,1,50000
"30",2,31,1006,7,9,1006007009,"Tinh Ha Giang",5,1,8,8,1,8,3,"lúa thuần",1,"2_NMMA",11,1,1,80000
"31",2,31,1006,7,11,1006007011,"Tinh Ha Giang",5,1,6,99,NA,NA,3,"lúa thuần",1,"2_NMMA",11,1,1,60000
"32",2,31,1006,7,12,1006007012,"Tinh Ha Giang",5,2,6,8,1,7,3,"lúa thuần",1,"2_NMMA",1,1,1,166.666666666667
"33",2,31,1006,7,13,1006007013,"Tinh Ha Giang",5,1,6,99,NA,NA,3,"lúa thuần",1,"2_NMMA",11,1,1,60000
"34",2,31,1006,7,15,1006007015,"Tinh Ha Giang",5,1,4,99,NA,NA,3,"lúa thuần",1,"2_NMMA",11,1,1,40000
"35",2,32,1057,1,1,1057001001,"Tinh Ha Giang",1,1,0,99,NA,NA,99,"o",1,"2_NMMA",13,1,1,0
"36",2,32,1057,1,2,1057001002,"Tinh Ha Giang",1,1,0,0,1,0,99,"0",1,"2_NMMA",13,1,1,0
"37",2,32,1057,1,3,1057001003,"Tinh Ha Giang",1,1,0,0,1,0,99,"0",1,"2_NMMA",13,1,1,0
"38",2,32,1057,1,4,1057001004,"Tinh Ha Giang",99,1,0,99,NA,NA,99,"o",1,"2_NMMA",13,1,1,0
"39",2,32,1057,1,5,1057001005,"Tinh Ha Giang",99,1,0,0,2,0,99,"0",1,"2_NMMA",13,1,1,0
"40",2,32,1057,1,6,1057001006,"Tinh Ha Giang",99,1,0,99,NA,NA,99,"0",1,"2_NMMA",13,1,1,0
"41",2,32,1057,1,7,1057001007,"Tinh Ha Giang",99,1,0,NA,NA,NA,99,"không có",1,"2_NMMA",1,1,1,0
"42",2,32,1057,1,8,1057001008,"Tinh Ha Giang",1,1,0,0,1,0,99,"0",1,"2_NMMA",13,1,1,0
"43",2,32,1057,1,9,1057001009,"Tinh Ha Giang",99,1,0,0,1,0,99,"0",1,"2_NMMA",13,1,1,0
"44",2,32,1057,1,10,1057001010,"Tinh Ha Giang",99,2,0,99,NA,NA,99,"0",1,"2_NMMA",1,1,1,0
"45",2,32,1057,1,11,1057001011,"Tinh Ha Giang",99,1,0,99,NA,NA,99,"0",1,"2_NMMA",13,1,1,0
"46",2,32,1057,1,12,1057001012,"Tinh Ha Giang",1,1,0,99,NA,NA,99,"0",1,"2_NMMA",13,1,1,0
"47",2,32,1057,1,13,1057001013,"Tinh Ha Giang",1,1,0,99,NA,NA,99,"0",1,"2_NMMA",13,1,1,0
"48",2,32,1057,1,14,1057001014,"Tinh Ha Giang",1,1,0,99,NA,NA,99,"0",1,"2_NMMA",13,1,1,0
